"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1929","Robins","1731","5954","5273","99","755","80","",".304",".291",".355",".427",".358","94","14.5","1535","282","69","99","504","22","811",""
"1955","Dodgers","1822","6037","5193","201","857","79","56",".278",".271",".356",".448",".358","109","33.3","1406","230","44","201","674","41","848",""
"1976","Reds","2135","6538","5702","141","857","210","57",".309",".280",".357",".424",".357","120","45.9","1599","271","63","141","681","28","882","15.67"
"2000","White Sox","1791","6410","5646","216","978","119","42",".309",".286",".356",".470",".357","106","25.9","1615","325","33","216","591","53","934","2.53"
"1932","Phillies","1759","6108","5510","122","844","71","",".307",".292",".348",".442",".357","99","20.0","1608","330","67","122","446","27","866",""
"1998","Rangers","1876","6401","5672","201","940","82","47",".321",".289",".357",".462",".357","108","27.6","1637","314","32","201","595","39","928","1.46"
"1995","Rockies","2118","5647","4994","200","785","125","59",".311",".282",".350",".471",".357","91","12.4","1406","259","43","200","484","56","813","-0.90"
"1900","Superbas","1354","5440","4860","26","816","274","","",".293",".359",".383",".357","104","24.1","1423","199","81","26","421","81","819",""
"1924","Browns","1767","5908","5222","67","765","85","85",".306",".295",".356",".408",".357","91","15.0","1539","264","62","67","459","35","768",""
"1912","Cubs","1642","5830","5048","42","756","164","",".309",".277",".354",".386",".357","104","27.9","1398","245","91","42","560","40","785",""
"1934","Indians","1683","6026","5396","100","814","52","32",".298",".287",".352",".423",".357","96","21.0","1550","340","46","100","524","19","828",""
"1941","Yankees","1668","6137","5444","151","830","51","33",".278",".269",".346",".419",".357","106","37.1","1464","243","60","151","616","28","815",""
"2001","Rockies","2179","6394","5690","213","923","132","54",".322",".292",".354",".483",".357","95","26.5","1663","324","61","213","511","61","948","0.43"
"1922","Indians","1787","6089","5291","32","767","90","58",".307",".292",".364",".398",".357","99","18.8","1546","320","73","32","550","46","803",""
"1948","Braves","1818","6121","5297","95","739","43","",".292",".275",".358",".399",".357","110","33.7","1458","272","49","95","667","17","791",""
"1897","Phillies","1265","5294","4756","40","752","163","","",".293",".353",".398",".357","98","14.4","1392","213","83","40","399","42","808",""
"1937","Indians","1709","6040","5353","103","817","78","51",".297",".280",".352",".423",".356","95","16.4","1499","304","76","103","570","21","818",""
"2000","Athletics","2066","6432","5560","239","947","40","15",".300",".270",".360",".458",".356","109","22.8","1501","281","23","239","750","52","931","7.32"
"1896","Reds","1211","4911","4360","20","783","350","",".307",".294",".357",".388",".356","94","20.7","1283","204","73","20","382","42","763",""
"1926","Cardinals","1702","6104","5381","90","817","83","",".304",".286",".348",".415",".356","103","29.1","1541","259","82","90","478","33","789",""
"1995","Red Sox","1522","5716","4997","175","791","99","44",".310",".280",".357",".455",".356","107","30.2","1399","286","31","175","560","65","823","3.78"
"1876","White Stockings","595","2818","2748","8","624","","",".341",".337",".353",".417",".356","135","26.0","926","131","32","8","70","","593",""
"2000","Angels","1839","6373","5628","236","864","93","52",".303",".280",".352",".472",".356","106","31.3","1574","309","34","236","608","47","920","0.43"
"1937","Cubs","1725","6028","5349","96","811","71","",".303",".287",".355",".416",".356","109","31.2","1537","253","74","96","538","22","815",""
"1925","White Sox","1699","6167","5225","38","811","131","87",".302",".284",".369",".385",".356","96","22.0","1482","299","59","38","663","48","814",""
"2006","Yankees","2430","6455","5651","210","930","139","35",".315",".285",".363",".461",".356","113","24.2","1608","327","21","210","649","72","943","13.17"
"1996","Red Sox","1787","6545","5756","209","928","91","44",".311",".283",".359",".457",".356","104","16.8","1631","308","31","209","642","67","956","0.92"
"1937","Red Sox","1662","6085","5354","100","821","79","61",".299",".281",".357",".411",".356","90","11.8","1506","269","64","100","601","26","822",""
"1953","Yankees","1929","5960","5194","139","801","34","44",".290",".273",".358",".417",".355","115","34.1","1420","226","52","139","655","34","804",""
"1924","White Sox","1705","6117","5240","41","794","137","89",".308",".289",".366",".383",".355","98","17.4","1512","255","59","41","608","35","788",""
"1912","Red Sox","1545","5872","5071","29","799","185","","",".277",".355",".380",".355","111","30.5","1404","269","84","29","565","45","782",""
"1996","Orioles","1702","6494","5689","257","949","77","40",".284",".274",".350",".472",".355","106","23.1","1557","299","29","257","645","61","946","6.16"
"1977","Red Sox","1590","6184","5510","213","859","66","47",".301",".281",".345",".465",".355","111","29.2","1551","258","56","213","528","42","873","5.71"
"1901","Orioles","1264","5111","4589","24","761","207","","",".294",".353",".397",".355","102","15.5","1348","179","111","24","369","52","775",""
"1922","Yankees","1602","5998","5240","95","757","62","58",".305",".287",".353",".411",".355","98","26.0","1502","221","73","95","498","40","781",""
"1894","Browns","1242","5092","4610","54","771","190","",".297",".286",".354",".408",".355","84","4.7","1320","171","113","54","442","40","813",""
"2020","Braves","900","2344","2074","103","348","23","4",".322",".268",".349",".483",".355","121","11.2","556","130","3","103","239","23","364","4.62"
"2019","Astros","2309","6394","5613","288","920","67","27",".296",".274",".352",".495",".355","125","40.8","1538","323","28","288","645","66","996","9.49"
"2008","Rangers","2281","6478","5728","194","901","81","25",".325",".283",".354",".462",".355","112","23.5","1619","376","35","194","595","63","919","8.71"
"1947","Dodgers","1908","6125","5249","83","774","88","",".292",".272",".364",".384",".355","100","30.0","1428","241","50","83","732","29","782",""
"1893","Orioles","1210","5260","4651","27","820","233","",".292",".275",".359",".365",".354","93","11.8","1281","164","86","27","539","70","843",""
"1999","Rockies","2282","6369","5717","223","906","70","43",".304",".288",".348",".472",".354","84","1.3","1644","305","39","223","508","43","901","-0.19"
"1913","Athletics","1667","5816","5044","33","794","221","",".309",".280",".356",".375",".354","117","37.3","1412","223","80","33","534","65","751",""
"1926","White Sox","1703","6035","5221","32","731","123","78",".307",".289",".360",".390",".354","99","25.2","1507","314","60","32","551","34","768",""
"1895","Giants","1235","5127","4605","32","852","292","",".302",".288",".355",".389",".354","95","14.5","1324","191","90","32","454","30","815",""
"1910","Giants","1699","5873","5061","31","715","282","",".299",".275",".354",".366",".354","109","29.8","1391","204","83","31","562","57","749",""
"1951","Giants","1824","6153","5360","179","781","55","34",".267",".260",".347",".418",".354","105","31.2","1396","201","53","179","671","40","802",""
"1941","Browns","1787","6285","5408","91","765","50","39",".283",".266",".360",".390",".354","96","19.7","1440","281","58","91","775","13","821",""
"1925","Indians","1760","6169","5440","52","783","90","77",".312",".297",".361",".399",".354","93","16.6","1613","284","58","52","521","28","808",""
"1997","Red Sox","1875","6430","5781","185","851","68","48",".325",".291",".352",".463",".354","109","28.5","1684","373","32","185","514","59","908","3.17"
"1993","Tigers","1701","6505","5620","178","899","104","63",".313",".275",".362",".434",".354","114","25.7","1546","282","38","178","765","35","922","6.21"
"2003","Braves","2362","6378","5670","235","907","68","22",".302",".284",".349",".475",".354","112","35.6","1608","321","31","235","545","49","916","14.20"
"1924","Senators","1687","6099","5303","22","753","116","85",".314",".294",".362",".388",".354","98","27.6","1561","256","88","22","507","55","778",""
"1890","Athletics","1208","5337","4855","49","941","203","",".290",".278",".343",".393",".354","95","14.3","1350","187","113","49","431","51","893",""
"1914","Hoosiers","1604","5907","5176","33","762","273","",".320",".285",".349",".383",".354","102","28.2","1474","230","90","33","470","38","748",""
"1898","Phillies","1401","5779","5118","33","823","182","","",".280",".348",".377",".353","108","22.5","1431","238","81","33","472","69","838",""
"1947","Yankees","1725","6031","5308","115","794","27","23",".287",".271",".349",".407",".353","109","32.2","1439","230","72","115","610","27","763",""
"1994","White Sox","1205","4556","3942","121","633","77","27",".307",".287",".366",".444",".353","112","22.6","1133","175","39","121","497","20","654","4.54"
"2000","Cardinals","2196","6369","5478","235","887","87","51",".308",".270",".356",".455",".353","105","31.2","1481","259","25","235","675","84","900","7.08"
"1900","Phillies","1337","5594","4969","29","810","205","","",".290",".356",".378",".353","104","19.8","1439","187","82","29","440","72","826",""
"2000","Rockies","2221","6453","5660","161","968","131","61",".322",".294",".362",".455",".353","82","15.5","1664","320","53","161","601","42","914","1.47"
"1999","Blue Jays","1862","6370","5642","212","883","119","48",".311",".280",".352",".457",".353","104","23.7","1580","337","14","212","578","76","898","1.45"
"1889","Athletics","1265","5464","4868","43","880","252","",".299",".275",".354",".377",".353","107","25.8","1339","239","65","43","534","62","929",""
"1886","White Stockings","1146","4838","4378","53","900","213","",".307",".279",".348",".401",".353","115","28.3","1223","198","87","53","460","","897",""
"1979","Red Sox","1733","6184","5538","194","841","60","43",".292",".283",".344",".456",".353","108","28.1","1567","310","34","194","512","33","862","3.70"
"1897","Reds","1289","5104","4524","22","763","194","","",".290",".353",".383",".353","91","12.8","1311","219","69","22","380","65","764",""
"1936","Browns","1827","6107","5391","79","804","62","20",".304",".279",".356",".403",".353","84","4.3","1502","299","66","79","625","19","816",""
"1942","Yankees","1596","6009","5305","108","801","69","33",".285",".269",".346",".394",".353","109","39.4","1429","223","57","108","591","29","761",""
"1923","Cubs","1678","5896","5259","90","756","181","143",".304",".288",".348",".406",".353","98","23.9","1516","243","52","90","455","31","755",""
"1998","Mariners","1858","6331","5631","234","859","115","39",".302",".276",".345",".468",".353","109","26.0","1554","321","28","234","558","57","896","2.81"
