"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1891","Colonels","1302","5346","4833","17","713","230","",".283",".258",".329",".324",".323","93","10.9","1247","130","69","17","443","70","746",""
"1890","Giants","1226","5232","4832","25","713","289","",".283",".259",".315",".354",".323","95","14.9","1250","208","89","25","350","50","745",""
"1970","Pirates","2054","6231","5637","130","729","66","34",".297",".270",".325",".406",".323","95","25.0","1522","235","70","130","444","44","723",""
"1973","Brewers","1709","6227","5526","145","708","110","66",".282",".253",".325",".388",".323","101","20.0","1399","229","40","145","563","42","706",""
"1993","Athletics","1706","6295","5543","158","715","131","59",".285",".254",".330",".394",".323","101","14.9","1408","260","21","158","622","33","737","-4.38"
"1987","Orioles","1693","6185","5576","211","729","69","45",".275",".258",".322",".418",".323","96","14.0","1437","219","20","211","524","22","747","-3.44"
"2005","Blue Jays","2281","6233","5581","136","775","72","35",".296",".265",".331",".407",".323","94","19.1","1480","307","39","136","486","89","733","-6.41"
"2013","Orioles","2246","6144","5620","212","745","79","29",".288",".260",".313",".431",".323","101","25.7","1460","298","14","212","416","36","719","7.39"
"1942","Cubs","1794","5988","5354","75","591","63","",".275",".254",".321",".353",".323","98","19.4","1360","224","41","75","511","19","635",""
"1912","Highlanders","1570","5772","5092","18","632","247","","",".259",".329",".334",".323","86","2.9","1320","168","79","18","463","65","633",""
"1935","Phillies","1766","5944","5442","92","685","52","",".293",".269",".322",".378",".323","74","-2.2","1466","249","32","92","392","26","656",""
"2002","Marlins","2319","6263","5496","146","699","177","73",".301",".261",".337",".403",".323","97","19.1","1433","280","32","146","595","61","734","-1.09"
"2012","Diamondbacks","2213","6150","5462","165","734","93","51",".307",".259",".328",".418",".323","97","21.8","1416","307","33","165","539","41","736","-0.59"
"2003","Angels","2286","6119","5487","150","736","129","61",".291",".268",".330",".413",".323","96","20.2","1473","276","33","150","476","56","725","-3.73"
"2005","Athletics","2164","6275","5627","155","772","31","22",".281",".262",".330",".407",".323","99","23.0","1476","310","20","155","537","52","738","0.80"
"1985","Athletics","1796","6215","5581","155","757","117","58",".286",".264",".325",".401",".323","104","21.3","1475","230","34","155","508","16","733","-0.88"
"1975","Yankees","1798","6039","5415","110","681","103","60",".284",".264",".325",".382",".323","101","23.3","1430","230","39","110","486","30","671","-0.34"
"1975","Cubs","2108","6323","5470","95","712","67","54",".285",".259",".338",".368",".323","89","8.2","1419","229","41","95","650","30","698","-0.48"
"2020","Orioles","906","2242","2026","77","274","19","14",".309",".258",".321",".429",".323","102","3.9","523","102","7","77","164","27","287","-2.26"
"2006","Royals","2272","6229","5589","124","757","65","34",".311",".271",".332",".411",".323","92","18.3","1515","335","37","124","474","64","736","-1.31"
"1982","Indians","1759","6359","5559","109","683","151","68",".277",".262",".341",".373",".323","96","13.9","1458","225","32","109","651","35","738","-2.17"
"2015","Yankees","2401","6268","5567","212","764","63","25",".283",".251",".323",".421",".323","103","20.7","1397","272","19","212","554","63","754","-1.08"
"1931","Pirates","1673","5999","5360","41","636","59","",".284",".266",".330",".360",".323","87","16.2","1425","243","70","41","493","16","662",""
"1966","Orioles","1984","6199","5529","175","755","55","43",".280",".258",".324",".409",".323","110","31.2","1426","243","35","175","514","39","746",""
"1927","Braves","1826","5941","5370","37","652","100","",".294",".279",".326",".363",".323","88","7.4","1498","216","61","37","346","28","623",""
"1963","Cardinals","2069","6283","5678","128","747","77","42",".302",".271",".326",".403",".323","101","31.2","1540","231","66","128","458","25","743",""
"1997","Expos","2215","6131","5526","172","691","75","46",".290",".258",".316",".425",".323","91","17.9","1423","339","34","172","420","73","703","-5.72"
"1889","Alleghenys","1223","5212","4748","42","726","231","",".274",".253",".320",".351",".323","97","18.3","1202","209","65","42","420","44","756",""
"1986","Mariners","1653","6187","5498","158","718","93","76",".292",".253",".326",".399",".323","94","4.1","1392","243","41","158","572","34","725","-6.67"
"1912","Senators","1559","5726","5075","20","698","274","","",".256",".324",".341",".323","90","19.5","1298","202","86","20","472","38","625",""
"1961","Twins","2037","6156","5417","167","707","47","43",".266",".250",".326",".397",".323","90","13.2","1353","215","40","167","597","33","720",""
"1963","Giants","2043","6176","5579","197","725","55","49",".275",".258",".316",".414",".323","109","29.6","1442","206","35","197","441","45","732",""
"1918","Browns","1332","4627","4019","5","426","138","",".282",".259",".331",".320",".323","96","16.6","1040","152","40","5","397","35","467",""
"1991","Orioles","1854","6257","5604","170","686","50","33",".278",".254",".319",".401",".323","101","22.3","1421","256","29","170","528","33","728","-6.66"
"2001","Marlins","2034","6184","5542","166","742","89","40",".303",".264",".326",".423",".323","95","21.2","1461","325","30","166","470","67","738","-1.00"
"1896","Colonels","1296","5057","4588","37","653","195","",".281",".261",".322",".351",".323","82","1.6","1197","142","80","37","371","45","639",""
"1986","Orioles","1806","6203","5524","169","708","64","34",".276",".258",".327",".395",".323","99","17.1","1425","223","13","169","563","31","726","-4.23"
"2013","Rangers","2321","6196","5585","176","730","149","46",".294",".262",".323",".412",".323","97","19.7","1465","262","23","176","462","61","722","-1.99"
"2003","Diamondbacks","2319","6261","5570","152","717","76","38",".295",".263",".330",".417",".323","86","7.7","1467","303","47","152","531","45","736","-11.70"
"2010","Royals","2190","6209","5604","121","676","115","50",".305",".274",".331",".399",".323","98","9.9","1534","279","31","121","471","35","721","-6.57"
"1989","Athletics","1751","6110","5416","127","712","157","55",".286",".261",".331",".381",".323","107","27.4","1414","220","25","127","562","34","708","7.83"
"2014","Orioles","2294","6130","5596","211","705","44","20",".296",".256",".311",".422",".323","104","27.4","1434","264","16","211","401","62","717","2.50"
"2017","Athletics","2350","6126","5464","234","739","57","22",".294",".246",".319",".436",".323","103","17.5","1344","305","15","234","565","43","756","5.11"
"1970","Astros","2077","6305","5574","129","744","114","41",".288",".259",".332",".391",".323","94","16.0","1446","250","47","129","598","27","727",""
"1919","Reds","1423","5214","4577","20","578","143","",".283",".263",".327",".342",".323","106","26.1","1204","135","83","20","405","33","541",""
"1909","Red Sox","1576","5574","4979","20","596","215","","",".263",".321",".333",".323","105","25.5","1307","151","69","20","348","77","596",""
"1961","Cardinals","2060","5944","5307","103","703","46","28",".296",".271",".334",".393",".323","86","17.8","1436","236","51","103","494","33","696",""
"1962","Phillies","2112","6131","5420","142","705","79","42",".288",".260",".330",".390",".322","94","19.6","1410","199","39","142","531","53","713",""
"1944","Browns","1733","5927","5269","72","684","44","33",".273",".252",".323",".352",".322","90","15.2","1328","223","45","72","530","21","628",""
"1991","Reds","2195","6134","5501","164","689","124","56",".287",".258",".320",".403",".322","100","23.4","1419","250","27","164","488","32","708","-4.13"
"2006","Mariners","2259","6213","5670","172","756","106","37",".300",".272",".325",".424",".322","95","19.7","1540","266","42","172","404","63","731","-4.48"
"1996","Astros","2177","6270","5508","129","753","180","63",".301",".262",".336",".397",".322","98","22.2","1445","297","29","129","554","84","734","5.37"
"1996","Pirates","2279","6336","5665","138","776","126","49",".299",".266",".329",".407",".322","90","10.6","1509","319","33","138","510","40","740","-2.40"
"2002","Braves","2319","6224","5495","164","708","76","39",".290",".260",".331",".409",".322","94","20.5","1428","280","25","164","558","54","724","1.14"
"1946","Pirates","1909","5907","5199","60","552","48","",".271",".250",".328",".344",".322","88","9.4","1300","202","52","60","592","15","592",""
"1892","Giants","1408","5835","5291","39","811","301","",".269",".251",".320",".338",".322","101","19.4","1326","173","85","39","510","34","800",""
"1991","Blue Jays","1753","6167","5489","133","684","148","53",".292",".257",".322",".400",".322","98","19.8","1412","295","45","133","499","58","716","-1.63"
"1995","Mets","1887","5581","4958","125","657","58","39",".309",".267",".330",".400",".322","94","14.6","1323","218","34","125","446","42","641","1.50"
"2006","Brewers","2206","6130","5433","180","730","71","37",".300",".258",".327",".420",".322","89","15.9","1400","301","20","180","502","82","715","-1.07"
"1975","Rangers","1754","6343","5599","134","714","102","64",".279",".256",".330",".371",".322","99","16.9","1431","208","17","134","613","25","701","-2.38"
"1996","Royals","1753","6229","5542","123","746","195","85",".299",".267",".332",".398",".322","83","6.4","1477","286","38","123","529","43","732","-7.00"
"1977","Tigers","1678","6177","5604","166","714","60","46",".278",".264",".318",".410",".322","94","13.5","1480","228","45","166","452","20","711","-1.32"
"1917","White Sox","1669","5861","5057","18","657","219","",".277",".253",".329",".326",".322","100","23.4","1281","152","81","18","522","47","607",""
"2003","Athletics","2197","6189","5497","176","768","48","14",".273",".254",".327",".417",".322","95","12.7","1398","317","24","176","556","59","730","0.48"
"1990","Reds","2145","6163","5525","125","693","166","66",".296",".265",".325",".399",".322","94","20.3","1466","284","40","125","466","42","698","2.91"
"2018","Rays","2371","6195","5475","150","716","128","51",".317",".258",".333",".406",".322","106","23.4","1415","274","43","150","540","101","761","-2.68"
"1907","Pirates","1548","5650","4957","19","634","264","","",".254",".325",".324",".322","103","25.7","1261","133","78","19","469","46","611",""
"2013","Cardinals","2341","6202","5557","125","783","45","22",".314",".269",".332",".401",".322","104","26.1","1494","322","20","125","481","64","715","9.04"
"1889","Nationals","1166","4904","4395","25","632","232","",".276",".251",".329",".329",".322","92","7.8","1105","151","57","25","466","43","708",""
"1972","Reds","1952","6003","5241","124","707","140","63",".280",".251",".330",".380",".322","104","35.5","1317","214","44","124","606","37","664",""
"2018","Brewers","2496","6210","5542","218","754","124","32",".302",".252",".323",".424",".322","99","27.5","1398","252","24","218","537","58","760","7.38"
"1948","Phillies","1773","5826","5287","91","591","68","",".277",".259",".318",".368",".322","86","9.5","1367","227","39","91","437","21","600",""
"1917","Giants","1719","5787","5211","39","635","162","",".285",".261",".317",".343",".322","106","33.5","1360","170","71","39","373","52","598",""
"2008","Astros","2312","6051","5451","167","712","114","52",".296",".263",".323",".415",".322","93","23.3","1432","284","22","167","449","52","695","4.30"
"2002","Reds","2353","6254","5470","169","709","116","52",".293",".253",".330",".408",".322","91","16.6","1386","297","21","169","583","66","724","-3.65"
"1913","Braves","1706","5845","5145","32","641","177","",".288",".256",".326",".335",".322","85","9.8","1318","191","60","32","488","43","622",""
"1955","Cardinals","2021","5855","5266","143","654","64","59",".270",".261",".321",".400",".322","89","13.1","1375","228","36","143","458","31","658",""
"1969","Senators","2227","6196","5447","148","694","52","40",".274",".251",".330",".378",".322","101","26.6","1365","171","40","148","630","32","701",""
"1935","Reds","1792","5798","5296","73","646","72","",".284",".265",".319",".378",".322","89","13.4","1403","244","68","73","392","30","633",""
"2001","Dodgers","2084","6169","5493","206","758","89","42",".279",".255",".323",".425",".322","97","18.2","1399","264","27","206","519","56","735","4.82"
"1985","Angels","1836","6263","5442","153","732","106","51",".274",".251",".333",".386",".322","99","21.8","1364","215","31","153","648","39","732","2.26"
"1962","Athletics","2066","6302","5576","116","745","76","21",".287",".263",".332",".386",".322","88","13.9","1467","220","58","116","556","42","731",""
"1976","Royals","1913","6199","5540","65","713","218","105",".291",".269",".327",".371",".322","103","25.3","1490","259","57","65","484","31","683","0.51"
"1908","Tigers","1515","5668","5115","19","645","165","","",".263",".312",".347",".322","109","24.5","1347","199","86","19","320","42","616",""
"1995","Dodgers","2032","5544","4942","140","634","127","45",".305",".264",".329",".400",".322","98","18.2","1303","191","31","140","468","30","635","1.97"
"1996","Cardinals","2258","6177","5502","142","759","149","58",".307",".267",".330",".407",".322","93","24.8","1468","281","31","142","495","44","720","2.43"
"2008","Blue Jays","2244","6191","5503","126","714","80","27",".295",".264",".331",".399",".322","94","17.3","1453","303","32","126","521","59","711","-7.54"
"1978","Phillies","2111","6154","5448","133","708","152","58",".283",".258",".328",".388",".322","98","32.0","1404","248","32","133","552","42","685","6.77"
"2015","Dodgers","2379","6090","5385","187","667","59","34",".292",".250",".326",".413",".322","106","29.0","1346","263","26","187","563","60","722","3.76"
"2007","Pirates","2304","6214","5569","148","724","68","30",".303",".263",".325",".411",".322","90","12.5","1463","322","31","148","463","71","715","-8.60"
"1983","Twins","1659","6171","5601","141","709","44","29",".281",".261",".319",".401",".322","93","14.7","1463","280","41","141","467","29","711","-6.62"
"1914","Braves","1727","5979","5206","35","657","139","",".279",".251",".323",".335",".322","90","19.1","1307","213","60","35","502","50","629",""
"2011","Reds","2358","6329","5612","183","735","97","50",".297",".256",".326",".408",".322","99","29.4","1438","264","19","183","535","63","735","3.79"
"1973","Expos","2237","6251","5369","125","668","77","68",".271",".251",".340",".364",".322","94","22.6","1345","190","23","125","695","44","698",""
"2010","Cardinals","2347","6241","5542","150","736","79","41",".296",".263",".332",".402",".322","99","25.0","1456","285","18","150","541","50","720","0.80"
"2017","Mets","2396","6169","5510","224","735","58","23",".286",".250",".320",".434",".322","101","22.6","1379","286","28","224","529","57","753","-1.21"
"1987","Phillies","2289","6190","5475","169","702","111","49",".288",".254",".327",".410",".322","91","19.6","1390","248","51","169","587","25","733","-4.10"
"1970","Athletics","2186","6105","5376","171","678","131","68",".274",".249",".325",".392",".322","101","27.9","1338","208","24","171","584","36","701",""
"1973","Pirates","2107","6167","5608","154","704","23","30",".282",".261",".315",".405",".322","100","21.4","1465","257","44","154","432","27","691",""
"2016","Nationals","2302","6201","5490","203","763","121","39",".293",".256",".326",".426",".322","96","22.3","1403","268","29","203","536","64","744","4.50"
"1994","Athletics","1290","4396","3885","113","549","91","39",".286",".260",".330",".399",".322","92","11.6","1009","178","13","113","417","18","513","-1.83"
"1903","Naps","1307","5225","4773","31","639","175","","",".265",".308",".373",".322","104","25.4","1265","231","95","31","259","40","634",""
"1999","Padres","2305","6136","5394","153","710","174","67",".294",".252",".332",".393",".322","90","17.6","1360","256","22","153","631","35","693","-5.05"
"1892","Beaneaters","1391","5889","5301","34","862","338","",".270",".250",".325",".327",".322","94","21.8","1324","203","51","34","526","62","804",""
"1993","Red Sox","1832","6196","5496","114","686","73","38",".293",".264",".330",".395",".322","90","17.1","1451","319","29","114","508","62","716","-5.94"
"2011","Diamondbacks","2230","6096","5421","172","731","133","55",".294",".250",".322",".413",".322","97","30.5","1357","293","37","172","531","61","710","5.28"
"2006","Astros","2393","6326","5521","174","735","79","36",".286",".255",".332",".409",".322","90","19.7","1407","275","27","174","585","73","734","-7.00"
"2012","White Sox","2277","6111","5518","211","748","109","43",".289",".255",".318",".422",".322","99","20.7","1409","228","29","211","461","65","728","-0.27"
"1900","Reds","1376","5517","5026","33","703","183","","",".266",".318",".354",".322","84","10.2","1335","178","83","33","333","50","675",""
"1949","Reds","1904","5994","5469","86","627","31","",".277",".260",".316",".368",".322","82","8.6","1423","264","35","86","429","20","605",""
"1918","Red Sox","1266","4607","3982","15","473","110","",".268",".249",".322",".327",".321","100","22.3","990","159","54","15","407","27","460",""
"1986","Phillies","2119","6229","5483","154","739","153","59",".292",".253",".327",".400",".321","97","20.9","1386","266","39","154","589","40","719","1.52"
"1917","Reds","1676","5728","5251","26","601","153","",".286",".264",".309",".354",".321","102","21.7","1385","196","100","26","312","34","589",""
"1912","Reds","1663","5794","5115","21","656","248","",".280",".256",".323",".339",".321","82","7.7","1310","183","89","21","479","25","627",""
"2016","Diamondbacks","2399","6260","5665","190","752","137","31",".315",".261",".320",".432",".321","93","15.6","1479","285","56","190","463","50","751","-2.08"
"1891","Phillies","1296","5469","4929","21","756","232","",".272",".252",".326",".322",".321","91","13.8","1244","180","51","21","482","58","753",""
"1958","Redlegs","2092","5980","5273","123","695","61","38",".279",".258",".331",".389",".321","87","13.8","1359","242","40","123","572","21","677",""
"1973","Tigers","1776","6135","5508","157","642","28","30",".267",".254",".320",".390",".321","96","13.9","1400","213","32","157","509","39","687",""
"1916","White Sox","1734","5809","5081","17","601","197","61",".282",".251",".319",".339",".321","97","23.0","1277","194","100","17","447","60","591",""
"1980","Angels","1721","6134","5443","106","698","91","63",".297",".265",".332",".378",".321","97","10.4","1442","236","32","106","539","32","692","-5.17"
"1996","Expos","2315","6171","5505","148","741","108","34",".300",".262",".327",".406",".321","92","16.7","1441","297","27","148","492","58","713","-0.12"
"2008","Dodgers","2376","6194","5506","137","700","126","43",".301",".264",".333",".399",".321","93","16.7","1455","271","29","137","543","43","705","-3.43"
"1967","Red Sox","2070","6149","5471","158","722","68","59",".285",".255",".321",".395",".321","103","27.3","1394","216","39","158","522","31","712",""
"1988","Mariners","1658","6018","5436","148","664","95","61",".275",".257",".317",".398",".321","97","14.2","1397","271","27","148","461","38","699","-5.37"
"2017","Rangers","2268","6122","5430","237","799","113","44",".291",".244",".320",".430",".321","90","10.1","1326","255","21","237","544","81","747","-0.71"
"1995","Royals","1720","5528","4903","119","629","120","53",".291",".260",".328",".396",".321","86","11.0","1275","240","35","119","475","43","635","-3.37"
"1945","Senators","1686","6007","5326","27","622","110","65",".280",".258",".330",".334",".321","97","19.8","1375","197","63","27","544","23","616",""
"1977","Orioles","1894","6173","5494","148","719","90","51",".289",".261",".329",".393",".321","103","26.4","1433","231","25","148","560","24","706","11.37"
"2001","Padres","2259","6278","5482","161","789","129","44",".297",".252",".336",".399",".321","97","17.7","1379","273","26","161","678","41","745","4.48"
"1966","Tigers","2043","6195","5507","179","719","41","34",".275",".251",".321",".406",".321","107","28.3","1383","224","45","179","551","33","738",""
"1998","Brewers","2277","6232","5541","152","707","81","59",".294",".260",".330",".396",".321","91","16.5","1439","266","17","152","532","66","714","-4.06"
"1965","Braves","2139","6077","5542","196","708","64","37",".278",".256",".310",".416",".321","104","31.7","1419","243","28","196","408","37","714",""
"2017","Brewers","2423","6135","5467","224","732","128","41",".308",".249",".322",".429",".321","94","17.3","1363","267","22","224","547","53","745","-1.56"
"2015","Red Sox","2268","6237","5640","161","748","71","27",".305",".265",".325",".415",".321","99","17.9","1495","294","33","161","478","46","740","-2.64"
"1983","Cardinals","2242","6242","5550","83","679","207","89",".305",".270",".335",".384",".321","100","26.3","1496","262","63","83","543","24","712","3.25"
"1979","Expos","2020","6029","5465","143","701","121","55",".291",".264",".319",".408",".321","98","26.8","1445","273","42","143","432","27","687","5.74"
"1981","Royals","1089","3941","3560","61","397","100","53",".286",".267",".325",".383",".321","102","13.0","952","169","29","61","301","17","435","-1.87"
"1988","Mets","1963","6105","5408","152","703","140","51",".276",".256",".325",".396",".321","111","29.9","1387","251","24","152","544","32","705","14.43"
"1906","Pirates","1508","5686","5030","12","622","162","","",".261",".324",".327",".321","102","25.3","1313","164","67","12","424","42","617",""
"1916","Indians","1765","5853","5064","16","630","160","55",".281",".250",".324",".331",".321","92","16.1","1264","233","66","16","522","33","593",""
"1915","Phillies","1613","5591","4916","58","589","121","113",".272",".247",".316",".340",".321","96","21.4","1216","202","39","58","460","34","583",""
"2000","Devil Rays","1887","6206","5505","162","733","90","46",".287",".257",".329",".399",".321","83","7.4","1414","253","22","162","558","51","708","-7.36"
"1971","Giants","2069","6258","5461","140","706","101","36",".280",".247",".329",".378",".321","100","26.8","1348","224","36","140","654","37","690",""
"1906","Highlanders","1565","5661","5095","17","641","192","","",".266",".316",".339",".321","97","19.4","1354","166","77","17","331","46","614",""
"2015","Rockies","2436","6071","5572","186","737","97","43",".313",".265",".315",".432",".321","86","9.7","1479","274","49","186","388","33","717","-1.84"
"1990","Giants","2269","6216","5573","152","719","109","56",".291",".262",".323",".396",".321","100","23.4","1459","221","35","152","488","33","700","2.13"
"2000","Padres","2169","6291","5560","157","752","131","53",".294",".254",".330",".402",".321","91","15.3","1413","279","37","157","602","46","714","-0.54"
"1970","Dodgers","2040","6293","5606","87","749","138","57",".302",".270",".334",".382",".321","98","29.4","1515","233","67","87","541","24","719",""
"2017","Mariners","2323","6166","5551","200","750","89","35",".300",".259",".325",".424",".321","103","21.6","1436","281","17","200","487","78","751","2.43"
"2003","Cubs","2285","6187","5519","172","724","73","31",".297",".259",".323",".416",".321","91","16.8","1431","302","24","172","492","50","718","-4.53"
"1969","Athletics","2145","6403","5614","148","740","100","39",".275",".249",".329",".376",".321","101","29.3","1400","210","28","148","617","63","720",""
"2017","Tigers","2336","6150","5556","187","735","65","34",".306",".258",".324",".424",".321","98","14.2","1435","289","35","187","503","52","749","-7.21"
"1975","Giants","2037","6186","5447","84","659","99","47",".286",".259",".333",".365",".321","91","13.1","1412","235","45","84","604","22","672","0.85"
"1947","Cubs","1890","5857","5305","71","567","22","",".280",".259",".321",".361",".321","84","10.6","1373","231","48","71","469","19","596",""
"2014","Angels","2468","6284","5652","155","773","81","39",".305",".259",".322",".406",".321","110","30.4","1464","304","31","155","492","60","726","11.59"
"1996","Mets","2235","6220","5618","147","746","97","48",".307",".270",".324",".412",".321","94","25.2","1515","267","47","147","445","33","716","0.42"
"2001","Phillies","2083","6219","5497","164","746","153","47",".297",".260",".329",".414",".321","92","22.9","1431","295","29","164","551","43","735","4.35"
"1949","Cubs","1869","5723","5214","97","593","53","",".273",".256",".312",".373",".321","82","6.9","1336","212","53","97","396","26","574",""
"2018","Cubs","2490","6369","5624","167","761","66","38",".313",".258",".333",".410",".321","100","25.1","1453","286","34","167","576","78","772","1.98"
"1918","Yankees","1360","4783","4224","20","493","88","",".278",".257",".320",".330",".321","94","16.2","1085","160","45","20","367","23","476",""
"1914","Red Sox","1787","5819","5117","18","589","177","176",".277",".250",".320",".338",".321","99","24.1","1278","226","85","18","490","39","605",""
"2019","Rays","2459","6285","5628","217","769","94","37",".306",".254",".325",".431",".321","102","23.0","1427","291","29","217","542","73","795","-1.26"
"2004","Marlins","2223","6160","5486","148","718","96","43",".295",".264",".329",".406",".321","94","18.2","1447","275","32","148","499","58","710","1.85"
"2015","Rangers","2358","6187","5511","172","751","101","39",".300",".257",".325",".413",".321","98","21.6","1419","279","32","172","503","76","732","3.12"
"1975","Orioles","1783","6211","5474","124","682","104","54",".276",".252",".326",".373",".321","102","29.1","1382","224","33","124","580","38","678","8.71"
"2001","Reds","2338","6222","5583","176","735","103","54",".301",".262",".324",".419",".321","88","9.3","1464","304","22","176","468","65","733","-6.43"
"2009","Athletics","2306","6247","5584","135","759","133","48",".298",".262",".328",".397",".320","94","14.6","1464","307","21","135","527","50","705","-4.43"
"1919","Senators","1526","5375","4757","24","533","142","",".288",".260",".325",".339",".320","89","10.6","1238","177","63","24","416","40","548",""
"2009","Mets","2377","6159","5453","95","671","122","44",".307",".270",".335",".394",".320","94","12.8","1472","295","49","95","526","36","691","-3.56"
"2000","Phillies","1954","6273","5511","144","708","102","30",".290",".251",".329",".400",".320","83","11.8","1386","304","40","144","611","44","707","-10.76"
"1960","Orioles","2067","5911","5170","123","682","37","24",".276",".253",".332",".377",".320","97","23.9","1307","206","33","123","596","36","671",""
"1971","Athletics","2016","6191","5494","160","691","80","53",".281",".252",".321",".384",".320","105","32.8","1383","195","25","160","542","37","680",""
"1946","Phillies","1818","5772","5233","80","560","41","",".279",".258",".315",".359",".320","90","11.7","1351","209","40","80","418","19","567",""
"1990","Indians","1684","6087","5485","110","732","107","52",".295",".267",".324",".391",".320","97","17.9","1465","266","41","110","458","29","687","-0.63"
"1969","Cubs","2055","6243","5530","142","720","30","32",".279",".253",".323",".384",".320","90","17.1","1400","215","40","142","559","36","697",""
"1989","White Sox","1685","6132","5504","94","693","97","52",".305",".271",".328",".383",".320","100","15.7","1493","262","36","94","464","28","699","-1.03"
"2001","Brewers","2303","6148","5488","209","740","66","36",".299",".251",".319",".426",".320","90","14.5","1378","273","30","209","488","72","722","-7.87"
"1961","Orioles","2066","6211","5481","149","691","39","30",".278",".254",".326",".390",".320","95","24.7","1393","227","36","149","581","23","711",""
"2002","Indians","2236","6099","5423","192","739","52","37",".271",".249",".321",".412",".320","95","10.4","1349","255","26","192","542","56","704","-0.86"
"2013","Blue Jays","2314","6152","5537","185","712","112","41",".284",".252",".318",".411",".320","99","17.0","1398","273","24","185","510","38","704","-1.23"
"1983","Angels","1717","6294","5640","154","722","41","39",".280",".260",".322",".393",".320","97","12.0","1467","241","22","154","509","31","716","-2.36"
"1886","Colonels","1251","5357","4921","20","833","202","","",".263",".323",".348",".320","107","21.3","1294","182","88","20","410","26","856",""
"1911","Senators","1578","5761","5065","16","624","215","","",".258",".330",".320",".320","84","9.5","1308","159","54","16","466","80","614",""
"1981","Tigers","1235","4109","3600","65","427","61","37",".279",".256",".331",".368",".320","102","19.2","922","148","29","65","404","18","450","1.82"
"1982","Expos","2052","6221","5557","133","697","156","56",".284",".262",".325",".396",".320","102","28.1","1454","270","38","133","503","35","703","-2.49"
"1933","Browns","1724","5905","5283","64","669","72","60",".273",".253",".322",".360",".320","76","2.1","1337","243","64","64","520","15","639",""
"1994","Cubs","1606","4386","3918","109","500","69","53",".294",".259",".325",".404",".320","89","10.8","1015","189","26","109","364","27","502","-1.71"
"1990","Mariners","1824","6207","5474","107","640","105","51",".281",".259",".333",".373",".320","97","20.7","1419","251","26","107","596","40","700","-1.88"
"1995","Giants","1992","5603","4971","152","652","138","46",".292",".253",".323",".404",".320","93","25.4","1256","229","33","152","472","57","634","0.65"
"1977","Indians","1728","6204","5491","100","676","87","87",".289",".269",".334",".380",".320","96","14.3","1476","221","46","100","531","34","703","-6.32"
"1929","Red Sox","1937","5779","5158","28","605","86","78",".291",".267",".325",".366",".320","79","5.3","1377","287","69","28","415","29","602",""
"2004","Blue Jays","2194","6178","5531","145","719","58","31",".298",".260",".328",".403",".320","88","12.7","1438","290","34","145","513","71","712","-11.65"
"1994","Marlins","1561","4387","3926","94","468","65","26",".305",".266",".330",".396",".320","90","13.6","1043","180","24","94","349","40","502","-6.72"
"1945","White Sox","1602","5661","5077","22","596","78","54",".285",".262",".326",".337",".320","94","14.5","1330","204","55","22","470","14","574",""
"2007","Diamondbacks","2305","6101","5398","171","712","109","24",".282",".250",".321",".413",".320","82","10.0","1350","286","40","171","532","57","692","-5.35"
"1959","Yankees","1955","5980","5379","153","687","45","22",".280",".260",".319",".402",".320","101","24.4","1397","224","40","153","457","30","687",""
"1958","Dodgers","2018","5804","5173","172","668","73","47",".268",".251",".317",".402",".320","86","8.6","1297","166","50","172","495","25","649",""
"2006","Cubs","2399","6147","5587","166","716","121","49",".294",".268",".319",".422",".320","84","13.7","1496","271","46","166","395","43","705","-9.37"
"2011","Orioles","2262","6156","5585","191","708","81","25",".288",".257",".316",".413",".320","96","12.3","1434","273","13","191","452","52","709","-2.86"
"2005","Mets","2213","6146","5505","175","722","153","40",".290",".258",".322",".416",".320","93","18.1","1421","279","32","175","486","48","701","-0.03"
"2010","Giants","2354","6143","5488","162","697","55","32",".293",".257",".321",".408",".320","98","25.8","1411","284","30","162","487","50","692","-0.58"
"1974","Astros","2167","6120","5489","110","653","108","65",".292",".263",".322",".378",".320","99","23.4","1441","222","41","110","471","29","665","2.94"
"2006","Giants","2313","6136","5472","163","746","58","25",".282",".259",".324",".422",".320","88","15.7","1418","297","52","163","494","53","706","-3.10"
"1958","Pirates","1915","5779","5247","134","662","30","15",".285",".264",".317",".410",".320","91","22.0","1386","229","68","134","396","28","644",""
"2007","Padres","2334","6326","5612","171","741","55","24",".291",".251",".322",".411",".320","96","15.8","1408","322","31","171","557","49","717","-1.03"
"1975","Cardinals","2110","6209","5597","81","662","116","49",".294",".273",".327",".375",".320","95","18.2","1527","239","46","81","444","29","671","0.20"
"1959","Athletics","1942","5885","5264","117","681","34","24",".287",".263",".326",".390",".320","93","13.1","1383","231","43","117","481","33","675",""
"1916","Robins","1657","5833","5234","28","585","187","46",".287",".261",".313",".345",".320","100","24.6","1366","195","80","28","355","41","588",""
"2002","Cubs","2294","6242","5496","200","706","63","21",".283",".246",".321",".413",".320","93","17.1","1351","259","29","200","585","44","712","-5.65"
"1987","White Sox","1671","6164","5538","173","748","138","52",".282",".258",".319",".415",".319","92","23.0","1427","283","36","173","487","33","724","-9.61"
"1997","Brewers","2085","6097","5444","135","681","103","55",".291",".260",".325",".398",".319","86","13.2","1415","294","27","135","494","58","685","-6.22"
