"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"1886","White Stockings","1097.2",".277","2.54","3.22","15.9","","555","310","988","49","262","0","647","",".242","91","23.8"
"1913","Naps","1386.2",".281","2.54","2.83","16.9","","537","392","1278","19","502","43","689","",".246","94","24.0"
"1942","Cardinals","1410.1",".248","2.55","2.99","22.9","5800","480","399","1192","49","473","19","651","",".225","85","30.0"
"1872","Mutuals","512.0",".306","2.55","3.57","3.8","","362","145","618","2","32","","44","",".300","99","12.6"
"1874","Athletics","487.0",".272","2.55","3.08","6.0","","344","138","514","5","29","","10","",".272","96","10.1"
"1883","Beaneaters","860.0",".309","2.55","2.49","12.9","","456","244","853","11","90","","538","",".260","81","15.9"
"1908","Athletics","1400.1",".270","2.56","2.01","17.0","","563","398","1194","10","410","53","741","",".232","93","11.9"
"1917","Tigers","1396.1",".264","2.56","2.84","12.7","5622","577","397","1209","12","504","55","516","",".239","101","11.9"
"1943","Cardinals","1427.0",".260","2.57","2.86","23.6","5841","473","407","1246","33","477","18","639","",".233","86","32.9"
"1903","Americans","1255.0",".275","2.57","2.70","14.5","","505","358","1142","22","269","36","579","",".244","95","20.9"
"1904","Highlanders","1380.2",".264","2.57","2.38","19.1","","526","394","1180","29","311","42","684","",".233","91","21.0"
"1915","Braves","1405.2",".270","2.57","2.51","16.7","","545","402","1257","23","366","46","630","",".241","94","15.7"
"1890","Colonels","1206.0",".281","2.57","2.92","16.9","","588","345","1120","18","293","56","587","",".248","88","26.4"
"1972","Athletics","1417.2",".248","2.58","2.99","14.2","5718","457","406","1170","96","418","19","862","",".222","98","22.0"
"1906","Phillies","1354.1",".263","2.58","2.77","9.1","","568","388","1201","18","436","64","500","",".239","108","10.0"
"1916","Browns","1443.2",".271","2.58","2.82","11.6","5750","545","414","1292","15","478","38","505","",".247","103","17.0"
"1901","Pirates","1244.2",".282","2.58","2.91","15.8","","534","357","1198","20","244","60","505","",".254","92","23.9"
"1912","Giants","1369.2",".291","2.58","2.98","19.5","","571","393","1352","36","338","24","652","",".259","88","26.2"
"1873","Red Stockings","536.0",".322","2.59","3.13","6.2","","460","154","708","5","35","","31","",".319","95","9.6"
"1909","Red Sox","1360.1",".267","2.59","2.42","11.1","","548","392","1214","18","384","47","555","",".240","104","10.1"
"1915","Pirates","1380.0",".265","2.60","2.65","13.3","","520","398","1229","21","384","38","544","",".240","100","16.7"
"1878","Grays","547.0",".296","2.60","2.37","7.2","","386","158","589","3","55","","147","",".276","96","1.5"
"1906","Athletics","1322.0",".274","2.60","2.29","17.0","","536","382","1135","9","425","57","749","",".233","92","14.9"
"1916","Giants","1397.1",".265","2.60","2.53","12.1","5651","503","404","1267","41","310","39","638","",".239","101","14.5"
"1915","Pepper","1406.2",".276","2.60","2.69","13.9","","562","407","1308","15","453","53","581","",".248","99","16.6"
"1907","Browns","1381.1",".265","2.61","2.43","8.6","","560","400","1254","17","352","52","463","",".244","110","12.1"
"1888","Beaneaters","1225.1",".264","2.61","2.91","14.7","","611","355","1104","36","269","46","484","",".242","95","15.2"
"1902","Beaneaters","1259.2",".287","2.61","2.89","13.2","","515","365","1233","16","372","46","523","",".258","99","19.6"
"1910","Highlanders","1399.0",".271","2.61","2.32","19.7","","556","406","1238","16","364","55","654","",".239","90","18.6"
"1917","Cubs","1404.0",".274","2.62","2.51","16.6","5719","567","408","1303","34","374","30","654","",".245","94","12.4"
"1873","Mutuals","477.0",".296","2.62","3.18","4.0","","385","139","539","5","69","","76","",".286","101","8.9"
"1920","Robins","1427.1",".276","2.62","2.94","20.3","5848","530","416","1381","25","327","22","553","",".251","89","24.3"
"1966","Dodgers","1458.0",".274","2.62","2.60","25.5","5941","490","425","1287","84","356","27","1084","",".232","83","28.8"
"1918","Indians","1161.0",".275","2.64","2.63","16.5","4791","447","340","1126","9","343","16","364","",".254","89","15.5"
"1904","Cardinals","1368.0",".275","2.64","2.56","15.6","","595","401","1286","23","319","40","529","",".250","95","14.8"
"1908","Cardinals","1368.0",".265","2.64","2.42","11.6","","622","401","1217","16","430","45","528","",".240","103","-2.2"
"1918","Giants","1111.2",".252","2.64","2.55","10.9","4493","415","326","1002","20","228","23","330","",".236","98","12.3"
"1915","Whales","1397.2",".263","2.64","2.75","11.9","","538","410","1232","33","402","36","576","",".238","102","17.2"
"1909","Highlanders","1350.1",".272","2.65","2.47","12.8","","592","397","1223","21","422","69","597","",".243","103","9.1"
"1881","Wolverines","744.2",".297","2.65","2.67","7.6","","429","219","785","8","137","","265","",".272","97","7.3"
"1879","Blues","741.0",".311","2.65","2.50","6.4","","461","218","818","4","116","","287","",".281","104","3.6"
"1916","Cubs","1416.2",".260","2.65","2.60","15.8","5792","541","417","1265","32","365","43","616","",".235","96","14.7"
