"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"1957","Red Sox","1376.2",".279","3.88","3.71","21.5","5917","668","593","1391","116","498","36","692","",".258","89","17.0"
"1957","Pirates","1395.0",".277","3.88","3.95","10.1","5981","696","601","1463","158","421","29","663","",".265","105","9.7"
"2001","Diamondbacks","1459.2",".284","3.88","4.08","21.8","6090","677","629","1352","195","461","59","1297","13.15",".243","91","28.0"
"1990","Cardinals","1443.1",".284","3.88","3.59","17.5","6132","698","622","1432","98","475","34","833","-1.77",".255","95","12.3"
"1954","Orioles","1373.1",".266","3.88","3.71","9.8","5971","668","592","1279","78","688","19","668","",".243","106","5.9"
"2006","Padres","1463.2",".276","3.88","4.27","16.4","6175","679","631","1385","176","468","50","1097","6.70",".245","98","19.7"
"1982","Mets","1447.1",".290","3.88","3.98","6.3","6271","723","624","1508","119","582","17","759","-9.86",".266","111","6.6"
"1980","Mets","1451.1",".287","3.88","3.88","7.3","6204","702","626","1473","140","510","21","886","-7.43",".260","108","5.2"
"2017","Nationals","1446.2",".287","3.88","3.99","23.0","6068","672","624","1300","189","495","60","1457","12.02",".236","91","25.6"
"1997","Cardinals","1455.2",".297","3.88","3.89","20.6","6222","708","628","1422","124","536","59","1130","-2.20",".253","91","18.1"
"1943","Dodgers","1369.2",".271","3.88","3.57","8.2","5980","667","591","1326","59","637","29","585","",".250","108","5.1"
"1965","Reds","1457.1",".280","3.88","3.51","16.7","6230","704","629","1355","136","587","46","1113","",".242","97","13.3"
"1882","Orioles","646.1",".304","3.88","3.22","2.8","","515","279","760","15","108","","113","",".294","118","-6.4"
"2002","Yankees","1452.0",".293","3.89","3.62","28.2","6159","697","627","1441","144","403","48","1135","11.41",".252","83","23.1"
"1940","Yankees","1373.0",".270","3.89","4.30","10.7","5907","671","593","1389","119","511","16","559","",".258","105","20.8"
"1980","Cubs","1479.0",".298","3.89","3.71","14.4","6402","728","639","1525","109","589","28","923","-4.86",".264","99","12.2"
"1975","Angels","1453.1",".281","3.89","3.69","15.0","6242","723","628","1386","123","613","39","975","-4.50",".248","99","7.5"
"1936","Pirates","1395.1",".282","3.89","4.01","17.9","5994","718","603","1475","74","379","21","559","",".264","93","15.7"
"1927","White Sox","1367.0",".284","3.89","4.04","12.1","5858","708","591","1467","55","440","29","365","",".272","102","16.7"
"1900","Superbas","1225.2",".298","3.89","3.65","10.7","","722","530","1370","30","405","72","300","",".284","102","12.9"
"1983","Yankees","1456.2",".285","3.89","3.54","22.1","6165","703","630","1449","116","455","20","892","0.98",".255","91","15.4"
"2008","Phillies","1449.2",".292","3.89","4.30","14.9","6229","680","627","1444","160","533","57","1081","8.21",".256","98","19.3"
"2020","Reds","504.0",".278","3.89","3.92","9.5","2125","243","218","401","67","213","29","615","3.09",".213","86","9.3"
"1962","Twins","1463.1",".273","3.89","3.90","19.7","6174","713","633","1400","166","493","43","948","",".248","93","17.9"
"1949","Phillies","1391.2",".277","3.89","3.89","13.6","5763","668","602","1389","104","502","17","495","",".265","99","15.5"
"1961","Braves","1391.1",".263","3.89","4.18","6.2","5895","656","602","1357","153","493","23","652","",".252","111","15.2"
"1970","Red Sox","1446.1",".277","3.90","3.98","17.9","6258","722","626","1391","156","594","44","1003","",".248","96","13.3"
"1941","Indians","1377.0",".279","3.90","3.92","13.6","6015","668","596","1366","71","660","21","617","",".256","99","18.2"
"2012","Orioles","1483.0",".285","3.90","4.20","16.0","6278","705","642","1433","184","481","53","1177","12.20",".249","98","19.8"
"1973","Tigers","1447.2",".288","3.90","3.77","16.7","6158","674","627","1468","154","493","30","911","",".261","96","17.8"
"1921","Braves","1385.0",".285","3.90","4.05","9.1","5927","696","600","1488","54","420","38","382","",".272","107","12.7"
"1931","Braves","1380.1",".279","3.90","4.05","9.8","5915","681","598","1465","66","406","17","419","",".267","106","12.2"
"1923","Giants","1378.0",".277","3.90","4.02","9.9","5875","679","597","1440","82","424","21","453","",".265","104","16.9"
"1963","Tigers","1456.1",".266","3.90","4.02","8.9","6204","703","631","1407","195","477","48","930","",".248","109","10.5"
"1979","Cubs","1446.2",".298","3.90","3.75","18.9","6232","707","627","1500","127","521","43","933","4.55",".265","95","18.0"
"1946","Athletics","1342.2",".277","3.90","3.70","9.3","5896","680","582","1371","83","577","25","562","",".259","107","5.9"
"1959","Pirates","1393.1",".281","3.90","3.69","15.0","5918","680","604","1432","134","418","20","730","",".261","98","13.2"
"1921","Indians","1377.0",".297","3.90","3.82","19.8","5989","709","597","1534","43","431","27","475","",".277","90","21.7"
"1885","Orioles","971.0",".309","3.90","2.91","9.6","","683","421","1059","12","222","48","395","",".279","101","2.8"
"1986","Pirates","1450.2",".278","3.90","3.99","10.1","6201","700","629","1397","138","570","37","924","-7.38",".250","105","10.7"
"1982","Mariners","1476.0",".279","3.90","4.05","21.2","6251","712","640","1431","173","547","25","1002","5.76",".252","93","21.1"
"2002","Mets","1442.2",".287","3.91","4.14","13.4","6212","703","626","1408","163","543","55","1107","1.33",".251","101","12.3"
"1975","Rangers","1465.2",".279","3.91","3.75","13.9","6252","733","636","1456","123","518","43","792","0.38",".256","100","10.4"
"1981","Brewers","986.0",".280","3.91","3.75","7.7","4181","459","428","994","72","352","11","448","2.22",".260","105","6.0"
"1970","Indians","1451.1",".275","3.91","4.12","14.2","6228","675","630","1333","163","689","40","1076","",".242","101","17.1"
"1998","Pirates","1449.0",".292","3.91","4.08","17.5","6217","718","629","1433","147","530","31","1112","-1.03",".253","95","16.8"
"1948","Cardinals","1368.0",".280","3.91","3.77","20.1","5835","646","594","1392","103","476","10","635","",".260","90","19.8"
"1985","Angels","1457.1",".274","3.91","4.27","13.7","6164","703","633","1453","171","514","27","767","6.74",".258","102","17.8"
"1984","Rangers","1438.2",".280","3.91","4.06","13.0","6188","714","625","1443","148","518","34","863","-6.75",".256","103","13.6"
"1895","Spiders","1143.2",".299","3.91","4.44","17.3","","720","497","1272","33","346","8","326","",".283","90","25.9"
"1923","Indians","1376.0",".291","3.91","3.78","17.7","6033","745","598","1517","36","465","37","407","",".274","93","13.2"
"1997","Orioles","1461.0",".287","3.91","4.23","20.2","6219","681","635","1404","164","563","30","1139","13.78",".250","93","27.4"
"2012","Pirates","1433.1",".286","3.91","3.94","13.7","6097","674","623","1357","153","490","45","1192","0.24",".244","104","16.1"
"2011","Mariners","1433.0",".285","3.91","3.84","17.4","6014","675","623","1369","145","436","51","1088","-2.83",".248","98","15.8"
"1938","Yankees","1382.0",".283","3.91","4.15","17.7","6007","711","601","1436","85","566","8","567","",".264","95","23.7"
"1989","Rangers","1434.1",".274","3.92","3.76","17.0","6161","714","624","1279","119","654","48","1112","-1.59",".234","98","13.4"
"1966","Red Sox","1463.2",".273","3.92","3.93","12.5","6279","731","637","1402","164","577","34","977","",".247","103","8.3"
"1992","Blue Jays","1440.2",".275","3.92","3.80","18.6","6108","682","627","1346","124","541","45","954","10.16",".244","94","17.4"
"1946","Giants","1353.1",".261","3.92","4.12","3.6","5917","689","589","1299","114","660","18","581","",".248","117","4.3"
"1974","Phillies","1447.1",".282","3.92","3.82","14.1","6264","701","630","1394","111","682","31","892","-0.23",".251","103","15.4"
"1916","Athletics","1343.2",".298","3.92","3.38","4.0","5653","776","585","1311","26","715","31","575","",".267","120","-10.7"
"1961","Pirates","1362.0",".295","3.92","3.55","19.1","5790","675","593","1442","121","400","25","759","",".269","91","14.4"
"1980","White Sox","1435.1",".278","3.92","3.98","13.8","6199","722","625","1434","108","563","39","724","-3.82",".256","100","14.2"
"2013","Diamondbacks","1495.0",".292","3.92","4.04","8.5","6338","695","651","1460","176","485","60","1218","2.12",".252","107","12.8"
"1958","Red Sox","1380.0",".278","3.92","3.81","17.0","5949","691","601","1396","121","521","31","695","",".259","95","12.0"
"2020","Cardinals","473.0",".250","3.92","4.58","3.8","1989","229","206","376","69","204","26","464","1.02",".214","105","7.4"
"1963","Athletics","1458.0",".273","3.92","3.85","14.0","6247","704","635","1417","156","540","44","887","",".250","101","13.0"
"1984","Royals","1444.0",".271","3.92","3.95","14.1","6076","686","629","1426","136","433","27","724","3.09",".254","100","17.2"
"1987","Expos","1450.1",".284","3.92","3.75","18.7","6151","720","632","1428","145","446","26","1012","6.13",".251","92","15.8"
"1991","Royals","1466.0",".296","3.92","3.59","19.5","6310","722","639","1473","105","529","43","1004","6.16",".257","93","15.8"
"1986","Reds","1468.0",".286","3.92","3.82","15.2","6240","717","640","1465","136","524","17","924","1.88",".257","99","13.4"
"2014","Cubs","1463.1",".304","3.92","3.51","20.5","6208","707","638","1398","115","504","55","1311","-1.39",".247","95","10.4"
"1920","Athletics","1380.1",".317","3.93","3.75","14.3","5892","832","602","1612","56","461","40","423","",".299","99","7.1"
"1923","Browns","1373.1",".283","3.93","4.04","16.4","5963","719","599","1430","59","528","49","488","",".266","96","17.9"
"2002","Diamondbacks","1446.2",".289","3.93","3.67","26.4","6067","674","631","1361","170","421","54","1303","11.72",".243","85","23.9"
"1948","Giants","1373.0",".275","3.93","4.31","9.9","5959","700","599","1425","122","551","27","527","",".265","106","12.1"
"1884","Quakers","981.0",".309","3.93","3.71","5.7","","824","428","1090","38","254","0","411","",".283","113","-9.3"
"1955","Phillies","1356.2",".255","3.93","4.05","13.0","5750","666","592","1291","161","477","25","657","",".246","101","14.5"
"1975","Braves","1430.0",".292","3.93","3.75","16.0","6279","739","624","1543","101","519","44","669","-9.63",".270","97","9.4"
"1875","Centennials","126.0",".331","3.93","2.25","1.4","","138","55","170","0","3","","12","",".324","92","-2.6"
"1975","White Sox","1452.1",".291","3.93","3.87","14.1","6343","703","634","1489","107","655","33","799","0.57",".263","103","17.8"
"1982","Cubs","1447.1",".288","3.93","3.78","13.0","6182","709","632","1510","125","452","29","764","-1.81",".265","102","11.8"
"1997","Blue Jays","1442.2",".299","3.93","4.13","21.9","6149","694","630","1453","167","497","39","1150","2.66",".259","92","27.1"
"1965","Senators","1435.2",".269","3.93","4.15","4.1","6208","721","627","1376","160","633","34","867","",".248","116","4.1"
"1980","Cardinals","1447.0",".282","3.93","3.71","10.0","6113","710","632","1454","90","495","21","664","-3.46",".260","105","6.8"
"1980","Twins","1451.0",".289","3.93","3.82","18.0","6142","724","634","1502","120","468","23","744","4.80",".266","94","17.7"
"2010","Rangers","1455.1",".280","3.93","4.17","19.3","6213","687","636","1355","162","551","63","1181","7.59",".242","96","24.1"
"1969","Red Sox","1466.2",".278","3.93","4.11","13.4","6391","736","641","1423","155","685","48","935","",".252","102","11.3"
"1990","Royals","1420.2",".299","3.93","3.73","13.9","6193","709","621","1449","116","560","46","1006","-3.25",".259","99","12.2"
"1986","Red Sox","1429.2",".296","3.93","3.89","18.7","6102","696","625","1469","167","474","26","1033","5.91",".262","95","22.4"
"1987","Cardinals","1466.0",".289","3.94","3.97","14.3","6254","693","641","1484","129","533","27","873","5.27",".261","100","19.0"
"1988","Twins","1431.2",".290","3.94","3.88","15.7","6064","672","626","1457","146","453","42","897","5.04",".262","98","21.7"
"1937","Reds","1358.1",".292","3.94","3.76","13.9","5927","707","594","1428","38","533","18","581","",".266","98","8.4"
"1974","White Sox","1465.2",".287","3.94","3.59","16.8","6293","721","641","1470","103","548","51","826","0.81",".258","100","15.0"
"1928","Reds","1371.2",".289","3.94","3.86","13.7","5876","685","600","1516","58","410","16","355","",".278","98","12.8"
"1922","White Sox","1403.2",".284","3.94","4.02","14.5","6070","691","614","1472","57","529","21","484","",".267","100","19.0"
"1976","Cubs","1471.1",".289","3.94","3.62","16.0","6289","728","644","1511","123","490","28","850","4.23",".262","98","11.4"
"1969","Indians","1437.0",".274","3.94","3.85","15.4","6226","717","629","1330","134","681","48","1000","",".242","99","9.1"
"1925","Giants","1354.0",".296","3.94","4.09","13.9","5865","701","593","1532","73","408","16","446","",".282","99","18.1"
"1936","Bees","1413.1",".289","3.94","4.31","6.0","6140","714","619","1566","69","451","23","421","",".276","111","10.4"
"2015","Angels","1440.2",".285","3.94","4.06","12.2","6096","675","631","1355","166","466","71","1221","3.62",".244","102","14.0"
"2012","Diamondbacks","1433.2",".301","3.94","3.81","15.3","6063","688","628","1432","155","417","51","1200","0.59",".256","97","14.6"
"2013","Yankees","1447.1",".302","3.94","3.89","14.8","6128","671","634","1452","171","437","51","1233","7.39",".257","95","15.7"
"1986","White Sox","1442.1",".272","3.94","4.05","15.5","6115","699","632","1361","143","561","33","895","-3.23",".247","97","20.6"
"1875","Atlantics","397.0",".327","3.94","2.57","1.5","","438","174","529","9","21","","51","",".321","113","-10.5"
"1941","Giants","1391.2",".282","3.94","3.88","11.2","6054","706","610","1455","90","539","15","566","",".265","103","8.7"
"1890","Ward's Wonders","1184.0",".306","3.95","4.06","14.2","","893","519","1334","26","570","53","377","",".285","96","15.4"
"1982","Blue Jays","1443.2",".273","3.95","4.04","17.5","6141","701","633","1428","147","493","25","776","3.48",".254","96","20.0"
"1928","Pirates","1354.0",".275","3.95","4.01","16.8","5861","704","594","1422","66","446","26","385","",".264","95","15.2"
"1955","Redlegs","1363.0",".265","3.95","4.09","16.3","5781","684","598","1373","161","443","24","576","",".258","96","16.7"
"1941","Braves","1385.2",".276","3.95","3.99","7.1","6051","720","608","1440","75","554","32","446","",".263","110","4.3"
"2010","Mariners","1438.0",".279","3.95","4.17","15.7","6091","698","631","1402","157","452","40","973","-3.83",".250","104","15.2"
"1951","Cardinals","1387.2",".271","3.95","4.06","14.4","5938","671","609","1391","119","558","21","546","",".260","99","16.3"
"1887","Wolverines","1116.1",".286","3.95","4.20","10.6","","710","490","1177","52","344","34","337","",".272","101","15.8"
"2006","Twins","1439.1",".302","3.95","3.99","20.6","6066","683","632","1490","182","356","36","1164","11.40",".263","91","25.6"
"1960","Indians","1382.1",".262","3.95","4.36","5.6","5972","693","607","1308","161","636","26","771","",".246","113","9.3"
"1946","Browns","1382.1",".288","3.95","3.50","15.4","6061","711","607","1465","73","573","9","574","",".267","97","7.7"
"2011","Marlins","1459.2",".292","3.95","3.79","15.3","6200","702","641","1403","149","500","37","1218","-2.50",".248","100","13.2"
"2010","Twins","1452.2",".299","3.95","3.91","17.3","6106","671","638","1493","155","383","47","1048","6.04",".263","95","19.6"
"1997","Mets","1459.1",".286","3.95","4.32","11.8","6210","709","641","1452","160","504","47","982","2.69",".257","104","16.1"
"2018","Giants","1461.1",".293","3.95","3.98","13.1","6191","699","642","1387","156","524","45","1269","0.58",".247","104","14.2"
"1996","Marlins","1443.0",".292","3.95","4.10","17.2","6183","703","634","1386","113","598","57","1050","4.02",".251","96","19.2"
"2017","Cubs","1447.1",".285","3.95","4.20","16.8","6108","695","636","1294","194","554","66","1439","8.85",".236","97","20.1"
"1915","Terrapins","1360.1",".300","3.96","3.10","11.7","","760","598","1455","52","466","41","570","",".275","104","-3.2"
"2001","Cardinals","1435.1",".281","3.96","4.57","12.2","6121","684","631","1389","196","526","72","1083","8.76",".251","104","20.8"
"1984","Angels","1458.0",".286","3.96","4.04","16.5","6234","697","641","1526","143","474","27","754","2.39",".266","98","17.0"
"1956","Cubs","1392.0",".261","3.96","4.20","9.3","6015","708","612","1325","161","613","33","744","",".247","107","9.1"
"1937","Cardinals","1392.0",".294","3.96","4.10","13.5","6067","733","612","1546","95","448","14","571","",".276","101","12.3"
"1947","Phillies","1362.0",".286","3.96","3.84","15.2","5690","687","599","1399","98","501","25","514","",".271","97","14.4"
"1897","Spiders","1118.2",".305","3.96","3.97","13.5","","680","492","1297","32","289","45","277","",".291","95","18.0"
"1900","Giants","1207.1",".309","3.96","3.75","6.6","","823","531","1423","26","442","94","277","",".295","110","1.3"
"1933","Tigers","1398.0",".275","3.96","4.01","14.5","6075","733","615","1415","84","561","23","575","",".258","99","18.3"
"1994","White Sox","1011.1",".279","3.96","4.29","14.8","4310","498","445","964","115","377","17","754","5.96",".246","92","17.0"
"1883","Buckeyes","840.1",".310","3.96","3.73","2.6","","659","370","980","16","211","","222","",".293","120","-4.2"
"1930","Senators","1369.0",".277","3.96","4.39","17.4","5848","687","603","1367","52","504","25","524","",".257","94","26.6"
"1946","Phillies","1369.0",".283","3.96","3.62","10.0","5973","704","603","1439","73","542","34","490","",".267","106","2.1"
"1903","Phillies","1212.1",".304","3.96","3.40","8.2","","743","534","1347","21","425","62","381","",".283","109","3.6"
"1993","Phillies","1473.0",".286","3.97","3.85","18.2","6360","740","649","1419","129","573","37","1117","4.25",".247","95","15.3"
"1956","Cardinals","1388.2",".264","3.97","4.02","13.2","5909","698","612","1339","155","546","18","709","",".251","101","11.1"
"1927","Athletics","1384.0",".289","3.97","3.87","18.4","5943","725","610","1467","65","442","36","553","",".268","92","18.4"
"1927","Giants","1381.2",".288","3.97","4.15","9.3","6006","720","609","1520","77","453","24","442","",".275","107","10.7"
"1927","Senators","1402.0",".278","3.97","3.95","14.0","6041","729","618","1434","53","491","41","497","",".260","98","16.2"
"1994","Astros","1029.2",".297","3.97","4.15","9.3","4412","503","454","1043","102","367","34","739","2.51",".260","101","10.4"
"2019","Athletics","1465.0",".278","3.97","4.34","18.8","6153","680","646","1342","201","477","66","1299","8.65",".239","97","25.4"
"1929","Giants","1372.0",".288","3.97","4.38","14.2","5920","709","605","1536","102","387","17","431","",".278","98","22.7"
"1950","Cardinals","1356.0",".279","3.97","4.07","16.9","5863","670","598","1398","119","535","25","603","",".264","94","17.7"
"1932","Cardinals","1396.0",".304","3.97","3.78","19.5","6028","717","616","1533","76","455","23","681","",".276","91","15.6"
"1947","Senators","1362.0",".284","3.97","3.60","14.3","5951","675","601","1408","63","579","17","551","",".263","98","6.9"
"1985","Pirates","1445.1",".287","3.97","3.59","15.6","6205","708","638","1406","107","584","32","962","-9.02",".252","97","8.1"
"1886","Athletics","1218.2",".303","3.97","3.59","10.4","","942","538","1308","35","388","61","513","",".276","106","1.6"
"1963","Red Sox","1449.2",".272","3.97","3.62","17.4","6202","704","640","1367","152","539","27","1009","",".243","95","11.8"
"1949","Red Sox","1377.0",".279","3.97","3.91","23.3","6005","667","608","1375","82","661","24","598","",".258","87","24.8"
"1921","Senators","1383.2",".300","3.97","3.96","13.9","6034","738","611","1568","51","442","35","452","",".282","99","15.8"
"1937","Cubs","1381.1",".282","3.97","4.17","11.0","5978","682","610","1434","91","502","22","596","",".263","104","15.4"
"1931","Cubs","1385.2",".284","3.97","4.05","12.7","6060","710","612","1448","54","524","36","541","",".263","101","12.0"
"1988","Red Sox","1426.1",".294","3.98","3.67","18.7","6088","689","630","1415","143","493","37","1085","4.91",".255","95","17.1"
"2002","Expos","1453.0",".295","3.98","4.08","16.6","6246","718","642","1475","165","508","46","1088","0.85",".259","95","15.8"
"2013","Padres","1455.0",".292","3.98","4.00","8.4","6179","700","643","1407","156","525","40","1171","-4.03",".251","108","5.2"
"1958","Giants","1389.1",".274","3.98","4.10","9.0","5988","698","614","1400","166","512","39","775","",".257","107","10.3"
"1981","Twins","979.2",".289","3.98","3.83","8.3","4230","486","433","1021","79","376","17","500","-7.27",".266","103","6.5"
"1873","Atlantics","500.0",".343","3.98","3.33","2.4","","549","221","737","8","42","","15","",".343","110","-1.2"
"1996","Cardinals","1452.1",".275","3.98","4.46","11.9","6184","706","642","1380","173","539","35","1050","4.57",".246","104","19.7"
"1973","Brewers","1454.0",".279","3.98","4.05","10.4","6306","731","643","1476","119","623","28","671","",".261","106","10.5"
"2005","Brewers","1438.0",".285","3.98","4.20","16.5","6208","697","636","1382","169","569","45","1173","1.58",".247","97","16.7"
"1923","Senators","1374.2",".299","3.98","4.10","8.3","6057","745","608","1527","56","563","43","474","",".280","107","8.9"
"1964","Senators","1435.1",".269","3.98","4.17","7.2","6120","733","635","1417","172","505","27","794","",".254","111","4.5"
"1932","Yankees","1408.0",".284","3.98","4.01","15.2","6150","724","623","1425","93","561","20","780","",".256","98","19.2"
"1922","Pirates","1387.1",".307","3.98","3.62","20.4","6006","736","614","1613","52","358","27","490","",".287","90","18.0"
"1936","Dodgers","1403.0",".284","3.98","4.30","12.5","6155","753","621","1466","84","528","25","651","",".262","102","11.3"
"2005","Braves","1443.2",".294","3.98","4.19","14.4","6186","674","639","1487","145","520","32","929","0.65",".264","99","17.8"
"2015","White Sox","1452.2",".311","3.98","3.82","17.4","6181","701","643","1443","162","474","62","1359","3.59",".256","93","13.0"
"1928","White Sox","1378.0",".277","3.98","4.08","10.0","6250","723","610","1518","66","501","32","418","",".266","106","13.8"
"1921","Red Sox","1364.1",".298","3.98","4.04","13.9","5924","695","604","1521","53","452","41","446","",".280","100","19.8"
"1940","Tigers","1375.1",".289","3.99","3.99","22.1","6020","716","609","1425","102","570","17","752","",".262","88","23.4"
"1949","Braves","1400.0",".281","3.99","3.85","13.0","6072","719","620","1466","110","520","22","591","",".265","101","9.2"
"2017","Rays","1445.0",".283","3.99","4.17","15.0","6099","704","640","1324","193","503","48","1352","3.65",".239","98","17.0"
"1986","Braves","1424.2",".296","3.99","3.80","16.2","6125","719","631","1443","117","576","26","932","-5.54",".261","97","12.4"
"1982","Brewers","1467.1",".281","3.99","4.17","11.2","6247","717","650","1514","152","511","21","717","2.72",".265","106","12.0"
"1982","Orioles","1462.1",".268","3.99","4.09","15.0","6185","687","648","1436","147","488","22","719","4.09",".253","99","17.3"
"1999","Reds","1462.0",".262","3.99","4.74","13.7","6221","711","648","1309","190","636","45","1081","7.12",".236","101","25.8"
"2008","Diamondbacks","1434.2",".297","3.99","3.84","22.9","6119","706","636","1403","147","451","68","1229","5.28",".251","87","18.3"
"1975","Red Sox","1436.2",".277","3.99","3.96","14.8","6129","709","637","1463","145","490","20","720","5.99",".260","100","17.5"
"1978","Indians","1407.1",".280","3.99","3.73","15.9","6068","694","624","1397","100","568","28","739","-6.39",".255","97","10.8"
"2020","Cubs","518.1",".278","3.99","4.18","6.8","2153","240","230","451","74","182","17","523","4.74",".231","94","10.0"
"1994","Giants","1025.1",".280","3.99","4.60","6.1","4369","500","455","1014","122","372","37","655","0.66",".256","108","10.9"
"1890","Orioles","315.1",".287","4.00","3.41","3.6","","192","140","307","3","123","46","134","",".257","100","4.8"
"2013","White Sox","1455.0",".295","4.00","4.13","15.3","6214","723","646","1424","182","509","60","1249","-3.09",".252","101","13.2"
"2013","Cubs","1448.0",".279","4.00","4.10","11.3","6149","689","643","1332","160","540","62","1184","-7.71",".240","108","11.0"
"2016","Mariners","1457.0",".292","4.00","4.30","14.5","6147","707","647","1410","213","460","55","1318","1.02",".250","103","15.3"
"1999","Red Sox","1436.2",".287","4.00","4.10","23.5","6120","718","638","1396","160","469","55","1131","12.47",".249","88","26.7"
"2017","Brewers","1445.2",".298","4.00","4.24","17.1","6164","697","642","1381","185","553","64","1346","6.56",".249","97","20.6"
"1986","Padres","1443.1",".279","4.00","4.15","7.6","6212","723","641","1406","150","607","27","934","-7.78",".252","109","6.5"
"1982","Yankees","1459.0",".292","4.00","3.49","24.1","6220","716","648","1471","113","491","22","939","1.28",".258","87","14.6"
"2013","Giants","1447.1",".295","4.00","3.80","7.1","6163","691","643","1380","145","521","50","1256","-10.15",".247","108","2.2"
"1973","Phillies","1447.1",".288","4.00","3.85","13.3","6241","717","643","1435","131","632","32","919","",".257","102","11.0"
"2008","Angels","1451.1",".296","4.00","4.12","17.5","6161","697","645","1455","160","457","63","1106","11.91",".258","96","22.9"
"1945","Reds","1365.2",".275","4.00","3.89","7.5","5984","694","607","1439","70","534","27","372","",".265","110","8.9"
"1960","Reds","1390.1",".282","4.00","3.76","13.0","5904","692","618","1417","134","442","42","740","",".261","101","11.0"
"2007","Blue Jays","1448.2",".282","4.00","4.28","17.5","6108","699","644","1383","157","479","55","1067","4.64",".248","96","24.6"
"2016","Red Sox","1439.2",".293","4.00","4.00","18.8","6073","694","640","1341","176","490","65","1362","2.97",".243","95","22.0"
"1991","Astros","1453.0",".276","4.00","3.99","5.6","6255","717","646","1347","129","651","29","1033","-8.78",".242","112","4.8"
"1989","Orioles","1448.1",".284","4.00","4.09","9.5","6189","686","644","1518","134","486","25","676","3.23",".267","107","13.8"
"1901","Athletics","1200.2",".304","4.00","3.49","14.3","","760","534","1346","20","374","59","350","",".284","96","11.5"
"1889","Quakers","1153.1",".309","4.00","3.80","14.7","","748","513","1288","33","428","27","443","",".284","92","13.7"
"2014","Blue Jays","1443.0",".294","4.00","3.97","14.2","6150","686","642","1400","151","490","57","1199","0.67",".250","103","15.9"
"1948","Cubs","1355.1",".277","4.00","3.96","13.1","5921","701","603","1355","89","609","17","636","",".256","100","9.3"
"2018","Pirates","1434.0",".296","4.00","4.06","15.1","6144","693","638","1380","174","497","69","1336","2.02",".247","100","14.7"
"2002","Astros","1445.0",".300","4.00","3.88","19.3","6205","695","643","1423","151","546","55","1219","6.23",".254","91","18.9"
"1989","Red Sox","1460.1",".294","4.01","3.68","16.2","6248","735","650","1448","131","548","35","1054","1.66",".256","96","12.2"
"1884","Nationals","543.2",".324","4.01","3.51","2.0","","481","242","643","21","110","20","235","",".295","118","-8.9"
"1976","Expos","1440.0",".287","4.01","3.81","8.5","6282","734","641","1442","89","659","43","783","-13.19",".258","108","5.4"
"2004","Dodgers","1453.1",".279","4.01","4.36","16.2","6155","684","647","1386","178","521","54","1066","6.92",".248","99","18.3"
"1926","Braves","1365.1",".297","4.01","3.83","9.9","5954","718","608","1536","46","455","36","408","",".281","105","7.9"
"1983","Reds","1441.1",".276","4.01","4.02","9.8","6166","710","642","1365","135","627","20","934","-2.40",".247","107","11.2"
"1957","Giants","1398.2",".277","4.01","3.94","10.7","6008","701","623","1436","150","471","38","701","",".261","103","9.9"
"2014","Red Sox","1465.2",".301","4.01","3.93","10.6","6231","715","653","1458","154","482","47","1213","0.20",".256","105","13.2"
"1959","Senators","1360.0",".272","4.01","3.80","17.3","5861","701","606","1358","123","467","34","694","",".253","95","11.0"
"1977","Expos","1481.0",".272","4.01","3.99","10.8","6333","736","660","1426","135","579","25","856","-1.90",".249","104","12.0"
"2014","Tigers","1454.0",".312","4.01","3.60","19.7","6191","705","648","1475","127","462","42","1244","2.40",".259","94","13.7"
"1960","Phillies","1375.1",".284","4.01","3.72","12.3","5880","691","613","1423","133","439","22","736","",".263","102","9.1"
"1959","Cubs","1391.0",".265","4.01","4.03","10.6","5930","688","620","1337","152","519","24","765","",".248","104","13.0"
"1989","Mariners","1438.0",".286","4.01","3.80","16.7","6187","728","641","1422","114","560","42","897","-4.83",".255","97","12.3"
"1891","Athletics","1233.2",".296","4.01","3.45","14.3","","794","550","1274","35","520","0","533","",".268","96","16.2"
"1898","Bridegrooms","1298.2",".295","4.01","3.75","9.7","","811","579","1446","34","476","57","294","",".283","107","6.7"
"2003","Expos","1437.2",".290","4.01","4.35","15.5","6171","716","641","1467","181","463","71","1028","5.33",".260","98","18.9"
"2008","Red Sox","1446.1",".289","4.01","4.09","18.4","6180","694","645","1369","147","548","68","1185","8.30",".246","97","27.0"
"1952","Reds","1363.1",".277","4.01","3.82","12.5","5809","659","608","1377","111","517","38","579","",".262","101","11.9"
"1897","Senators","1148.0",".319","4.01","4.07","12.4","","793","512","1383","27","400","81","348","",".299","98","10.6"
"2008","Athletics","1435.0",".287","4.01","4.19","14.6","6112","690","640","1364","135","576","54","1061","3.96",".249","99","20.5"
"2010","Dodgers","1441.2",".287","4.01","3.76","16.8","6141","692","643","1323","134","539","58","1274","3.92",".239","96","10.5"
"1954","Red Sox","1412.1",".279","4.01","3.86","16.6","6194","728","630","1434","118","612","36","707","",".259","96","11.1"
"2012","Padres","1434.2",".284","4.01","4.11","7.8","6151","710","640","1356","162","539","48","1205","-6.72",".244","109","5.0"
"2017","Cardinals","1450.1",".298","4.01","4.09","15.7","6153","705","647","1393","183","493","67","1351","3.47",".249","97","14.7"
