Season,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
2005,"MIL",1438,6208,3.98052851,1382,300,30,697,636,169,569,52,45,1173,0.25095333,0.32434189,0.40838932,0.3189336014591018
2005,"WSN",1458,6286,3.87037037,1456,279,21,673,627,140,539,77,72,997,0.26234234,0.33301112,0.39585586,0.317562007865159
2005,"NYM",1435.2,6121,3.77385651,1390,277,21,648,602,135,491,43,56,1012,0.25471871,0.32080159,0.38739234,0.3102562946712503
2005,"PHI",1435,6119,4.21463415,1379,319,28,726,672,189,487,51,72,1159,0.25288832,0.32017182,0.42563726,0.3222865535195213
2005,"PIT",1436,6264,4.43732591,1456,322,27,769,708,162,612,65,65,958,0.26656902,0.34425436,0.42438667,0.33367492444479063
2005,"STL",1445.2,6047,3.48628084,1399,267,21,634,560,153,443,27,60,974,0.25698016,0.31784759,0.3980529,0.3130928446467299
2005,"SDP",1455.1,6253,4.13101237,1452,318,42,726,668,146,503,45,46,1133,0.25873129,0.32242991,0.40841055,0.3175735398558629
2005,"SFG",1444.1,6280,4.34941149,1456,288,40,745,698,151,592,42,42,972,0.2633864,0.33644559,0.41190304,0.32662031047734486
2006,"LAA",1452.2,6149,4.03946765,1410,300,23,732,652,158,471,27,50,1164,0.2544667,0.31629812,0.40245443,0.31213591967848187
2006,"BAL",1419,6327,5.35306554,1579,286,28,899,844,216,613,26,48,1016,0.28399281,0.35657434,0.46205036,0.3530063502052251
2006,"BOS",1441.1,6292,4.82678076,1570,348,28,825,773,181,509,25,68,1070,0.27851694,0.34297125,0.4465141,0.34100320185291927
2006,"CHW",1449,6232,4.61490683,1534,296,31,794,743,200,433,59,58,1012,0.27083333,0.32645494,0.43997175,0.32765608667978086
2006,"CLE",1423.1,6190,4.43255269,1583,293,23,782,701,166,429,35,51,948,0.28177287,0.3352836,0.43075828,0.3305958050865486
2006,"DET",1448,6145,3.85359116,1420,263,38,675,620,160,489,35,53,1003,0.25654923,0.32069304,0.40451671,0.3147344785106627
2006,"KCR",1426.1,6434,5.67258705,1648,341,27,971,899,213,637,45,60,904,0.29240596,0.36697966,0.47586941,0.3621102435556897
2006,"MIN",1439.1,6066,3.95182955,1490,280,23,683,632,182,356,25,36,1164,0.26673827,0.31231331,0.42284282,0.31609559589536007
2006,"NYY",1443.2,6215,4.42622951,1463,294,22,767,710,170,496,41,59,1019,0.26171735,0.326326,0.41341682,0.32051675464826357
2006,"OAK",1451.2,6279,4.21584386,1525,289,34,727,680,162,529,47,55,1003,0.27164232,0.33760205,0.42180264,0.3286889654397964
2006,"SEA",1446.2,6294,4.59746544,1500,327,23,792,739,183,560,50,53,1067,0.26733203,0.33737825,0.43165211,0.33199446766000046
2006,"TBD",1420.1,6374,4.96784792,1600,334,27,856,784,180,606,39,63,979,0.28586743,0.35794289,0.45167054,0.3494090009870983
2006,"TEX",1431.1,6237,4.60898929,1558,283,25,784,733,162,496,18,66,972,0.27816461,0.3413299,0.4243885,0.33334382545114544
2006,"TOR",1428.1,6151,4.37292882,1447,291,21,754,694,185,504,56,59,1076,0.26156905,0.3281097,0.42208966,0.323596338188825
2006,"ARI",1459.2,6341,4.48869605,1503,325,49,788,728,168,536,44,61,1115,0.26677316,0.33519553,0.4313099,0.33096586145057
2006,"ATL",1441.1,6350,4.59574468,1529,304,36,805,736,183,572,69,55,1049,0.27303571,0.34325744,0.43821429,0.3357366419709734
2006,"CHC",1439,6366,4.74079222,1396,276,32,834,758,210,687,44,67,1250,0.25455872,0.34213877,0.43143691,0.33524803027319605
2006,"CIN",1445.2,6319,4.53216509,1576,332,23,801,728,213,464,55,60,1053,0.27790513,0.33680834,0.45723858,0.33949816060104804
2006,"COL",1447.1,6318,4.65753109,1549,331,55,812,749,155,553,81,66,952,0.27660714,0.34615999,0.43839286,0.3366950241850634
2006,"FLA",1433.1,6294,4.37023256,1465,268,47,772,696,166,622,58,74,1088,0.26684882,0.34737181,0.42349727,0.3346099191220302
2006,"HOU",1468.2,6219,4.09350885,1425,321,28,719,668,182,480,65,54,1160,0.255743,0.31869204,0.42139268,0.3172576803884315
2006,"LAD",1460.1,6289,4.22780187,1524,323,30,751,686,152,492,40,41,1068,0.26949602,0.33038869,0.4178603,0.32393710266568687
2006,"MIL",1425.2,6210,4.82931962,1454,355,32,833,765,177,514,34,74,1145,0.26465235,0.33295288,0.43756826,0.33207923647887905
2006,"WSN",1436.1,6424,5.03156185,1535,305,42,872,803,193,584,93,92,960,0.27400928,0.34890327,0.44680471,0.34030783235606743
2006,"NYM",1461.1,6240,4.15716241,1402,274,18,731,675,180,527,39,62,1161,0.25348038,0.32253361,0.40715965,0.3164922050478251
2006,"PHI",1460.1,6366,4.60990641,1561,335,40,812,748,211,512,63,62,1138,0.27496917,0.33888889,0.45957372,0.3406753945622055
2006,"PIT",1435,6354,4.54703833,1545,300,31,797,725,156,620,62,70,1060,0.28055202,0.3574856,0.43126929,0.34183047172133485
2006,"STL",1429.2,6196,4.53882024,1475,310,34,762,721,193,504,35,80,970,0.268377,0.33687827,0.44250364,0.33626623293551955
2006,"SDP",1463.2,6175,3.87998178,1385,264,35,679,631,176,468,63,50,1097,0.2492352,0.31160963,0.40435487,0.30809302221734663
2006,"SFG",1429.2,6225,4.63954302,1422,287,47,790,737,153,584,37,70,992,0.26096531,0.33712244,0.41512204,0.3270022016669231
2007,"LAA",1435,6161,4.2271777,1480,289,34,731,674,151,477,22,51,1156,0.2660435,0.3275159,0.41164839,0.3241871042168849
2007,"BAL",1438.2,6418,5.1860519,1491,283,17,868,829,161,696,37,72,1087,0.26821371,0.35424181,0.41212448,0.3388501534232582
2007,"BOS",1438.2,6071,3.8660797,1350,295,20,657,618,151,482,20,62,1149,0.24725275,0.31368003,0.39157509,0.3106930078205059
2007,"CHW",1440.2,6293,4.77279037,1556,297,36,839,764,174,499,50,59,1015,0.27632747,0.33840243,0.43455869,0.3356158733560286
