"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1925","Tigers","1858","5371","6262","50","901","798","97","10.2%","6.1%",".111",".319",".302",".380",".413",".793",".370","102","","6.8","21.3","50.2","27.5","1623","1212","277","84","50","639","","384","32","","220","","97","63",".370"
"1930","Phillies","1875","5667","6288","126","944","884","34","7.2%","7.3%",".143",".326",".315",".367",".458",".825",".370","89","","6.3","-103.8","-61.7","4.2","1783","1268","345","44","126","450","","459","23","","148","","34","",".370"
"1948","Red Sox","1679","5363","6282","121","907","854","38","13.1%","8.7%",".134",".288",".274",".374",".409",".782",".370","102","","-2.5","12.5","63.5","28.8","1471","1033","277","40","121","821","","549","32","","66","144","38","17",".370"
"1940","Tigers","1776","5418","6183","134","888","829","66","10.7%","9.0%",".156",".299",".286",".366",".442",".808",".370","103","","-6.8","14.7","10.1","24.4","1549","1038","312","65","134","664","","554","24","","77","115","66","39",".370"
"1948","Indians","1893","5446","6201","155","840","801","54","10.4%","9.3%",".150",".292",".282",".360",".431",".792",".369","114","","-10.4","97.6","112.8","42.0","1534","1083","242","54","155","646","","575","24","","85","132","54","44",".369"
"1895","Spiders","1221","4658","5266","29","917","772","187","9.0%","6.9%",".089",".327",".305",".375",".395",".770",".369","96","","-13.8","-46.7","35.5","17.2","1423","1133","194","67","29","472","","361","49","","87","","187","",".369"
"1930","Athletics","1703","5346","6161","125","951","895","50","9.7%","8.6%",".158",".309",".294",".369",".452",".821",".369","104","","-6.7","32.2","48.4","28.1","1573","1054","320","74","125","600","","531","32","","183","","50","33",".369"
"1927","Athletics","1842","5287","6089","56","841","767","101","9.1%","5.3%",".111",".316",".304",".373",".415",".788",".369","102","","-11.6","8.3","30.6","25.2","1606","1199","281","70","56","553","","325","30","","219","","101","63",".369"
"1929","Tigers","1768","5593","6252","110","927","851","95","8.2%","7.9%",".154",".313",".299",".360",".453",".813",".369","104","","-17.7","12.0","-33.3","19.2","1672","1129","337","96","110","515","","493","20","","124","","95","74",".369"
"1939","Red Sox","1729","5308","6054","124","890","832","42","9.8%","8.3%",".146",".303",".291",".363",".436",".800",".368","100","","-13.5","-13.6","21.6","22.2","1543","1075","287","57","124","591","","502","15","","140","146","42","44",".368"
"1895","Senators","1263","4577","5215","55","837","713","237","9.9%","7.6%",".125",".305",".287",".366",".412",".779",".368","101","","0.3","8.7","-54.8","12.5","1314","951","207","101","55","518","","396","52","","68","","237","",".368"
"1922","Cardinals","1890","5425","6061","107","863","787","73","7.4%","7.0%",".143",".312",".301",".357",".444",".802",".368","106","","0.7","53.4","-40.6","22.6","1634","1159","280","88","107","447","","425","28","","161","","73","63",".368"
"1928","Athletics","1701","5241","6003","89","828","760","61","8.8%","7.2%",".142",".308",".294",".363",".436",".799",".368","107","","-13.9","41.9","42.9","29.7","1541","1051","326","75","89","529","","435","37","","196","","61","54",".368"
"1935","Tigers","1584","5423","6182","106","919","836","70","10.2%","7.3%",".145",".302",".290",".366",".435",".801",".368","106","","-8.0","42.3","75.0","31.7","1573","1083","301","83","106","628","","453","19","","112","","70","45",".368"
"1887","Browns","1240","5048","5557","39","1131","862","581","8.0%","",".106","",".307",".371",".413",".783",".368","111","","19.0","125.3","33.8","33.7","1550","1172","261","78","39","442","","","67","","","","581","",".368"
"1923","Tigers","1839","5261","6166","41","833","739","87","9.6%","6.2%",".101",".318",".300",".377",".401",".778",".368","107","","6.8","65.2","28.6","28.9","1579","1200","269","69","41","592","","384","56","","257","","87","62",".368"
"1896","Phillies","1240","4680","5273","49","890","778","191","8.3%","5.6%",".117",".308",".295",".363",".413",".776",".368","104","","-13.0","23.5","-17.3","17.9","1382","1015","234","84","49","438","","297","60","","95","","191","",".368"
"1920","Browns","1609","5359","6029","50","797","707","121","7.0%","5.6%",".111",".322",".308",".363",".419",".782",".368","103","","11.9","35.8","25.3","27.4","1650","1238","278","84","50","425","","338","38","","207","","121","78",".368"
"1996","Mariners","1736","5668","6518","245","993","954","90","10.3%","16.1%",".197",".312",".287",".366",".484",".850",".367","112","","-1.2","109.5","33.1","37.1","1625","1018","343","19","245","670","57","1052","75","58","46","121","90","39",".367"
"1925","Athletics","1816","5393","6059","76","831","767","67","7.4%","7.1%",".127",".324",".308",".364",".434",".799",".367","99","","0.4","-8.4","43.2","23.3","1659","1206","298","79","76","448","","430","31","","187","","67","60",".367"
"1922","Tigers","1739","5360","6168","54","828","735","78","8.6%","6.2%",".110",".323",".306",".373",".416",".788",".367","106","","4.6","56.4","18.6","26.6","1642","1252","247","89","54","530","","382","36","","242","","78","60",".367"
"1925","Browns","1736","5435","6106","110","898","798","85","8.1%","6.1%",".142",".305",".298",".360",".440",".800",".367","95","","-4.4","-49.5","10.4","16.5","1620","1138","304","68","110","497","","373","31","","143","","85","78",".367"
"1924","Tigers","1802","5382","6263","35","847","768","100","9.9%","6.3%",".106",".317",".298",".374",".404",".779",".367","102","","4.0","24.9","28.3","27.0","1604","1178","315","76","35","617","","395","40","","224","","100","76",".367"
"1948","Yankees","1769","5324","6048","139","857","806","24","10.3%","7.9%",".154",".285",".278",".356",".432",".788",".367","109","","-7.9","60.9","44.3","30.9","1480","1015","251","75","139","623","","478","23","","78","136","24","24",".367"
"1930","Robins","1752","5433","6088","122","871","836","53","7.9%","8.9%",".150",".321",".304",".364",".454",".818",".367","98","","10.1","-6.4","92.2","27.5","1654","1156","303","73","122","481","","541","27","","147","","53","",".367"
"1996","Indians","1705","5681","6486","218","952","904","160","10.3%","13.0%",".182",".309",".293",".369",".475",".844",".367","111","","7.8","110.5","-35.0","30.2","1665","1089","335","23","218","671","44","844","43","57","34","164","160","50",".367"
"1924","Giants","1792","5445","6067","95","857","781","82","7.7%","7.9%",".131",".316",".300",".358",".432",".790",".367","114","","8.9","113.0","56.0","36.3","1634","1189","269","81","95","467","","479","28","","127","","82","53",".367"
"1999","Indians","1859","5634","6554","209","1009","960","147","11.3%","16.8%",".177",".323",".289",".373",".467",".840",".367","112","","6.9","114.3","18.6","34.4","1629","1079","309","32","209","743","41","1099","55","67","54","136","147","50",".367"
"1894","Spiders","1217","4764","5259","37","932","790","220","9.0%","5.7%",".112",".317",".303",".368",".414",".783",".366","87","","-6.3","-139.2","28.9","10.4","1442","1074","241","90","37","471","","301","24","","","","220","",".366"
"1940","Red Sox","1760","5481","6174","145","872","808","55","9.6%","9.7%",".163",".300",".286",".356",".449",".806",".366","103","","-13.0","15.9","0.9","23.6","1566","1040","301","80","145","590","","597","12","","91","129","55","49",".366"
"1925","Senators","1786","5191","5984","56","828","747","135","9.0%","7.0%",".108",".322",".304",".374",".412",".786",".366","103","","0.2","24.6","63.8","28.3","1576","1198","251","71","56","541","","420","44","","208","","135","92",".366"
"1925","Cardinals","1661","5329","5936","109","828","752","70","7.5%","7.0%",".146",".309",".299",".356",".445",".801",".366","102","","4.3","22.1","49.7","26.4","1592","1111","292","80","109","446","","414","27","","134","","70","51",".366"
"1891","Reds","1314","4889","5606","52","1028","776","447","11.6%","8.9%",".106",".297",".274",".367",".380",".748",".366","111","","29.5","128.4","30.5","35.0","1341","1026","163","100","52","651","","499","66","","","","447","",".366"
"1922","Giants","1749","5454","6109","80","852","756","116","7.3%","6.9%",".123",".319",".305",".363",".428",".790",".366","106","","1.4","49.5","96.9","36.2","1661","1238","253","90","80","448","","421","48","","159","","116","83",".366"
"1995","Indians","1527","5028","5686","207","840","803","132","9.5%","13.5%",".188",".306",".291",".361",".479",".839",".366","115","","1.8","116.2","-24.1","27.8","1461","952","279","23","207","542","40","766","35","48","31","128","132","53",".366"
"1994","Yankees","1192","3986","4611","139","670","632","55","11.5%","14.3%",".172",".315",".290",".374",".462",".836",".366","118","","-6.5","101.5","-16.0","23.4","1155","762","238","16","139","530","34","660","31","37","27","112","55","40",".366"
"1930","Pirates","1646","5346","6058","86","891","844","76","8.2%","7.4%",".146",".319",".303",".365",".449",".814",".365","95","","14.7","-34.9","16.0","17.3","1622","1132","285","119","86","494","","449","22","","196","","76","",".365"
"1894","Reds","1244","4671","5220","61","910","772","215","9.7%","4.8%",".116",".301",".294",".368",".410",".778",".365","86","","-7.4","-151.8","17.8","8.5","1374","1022","224","67","61","508","","252","41","","","","215","",".365"
"1921","Cardinals","1809","5309","5915","83","809","733","94","6.5%","7.6%",".129",".325",".308",".358",".437",".795",".365","111","","-4.9","76.4","30.9","30.4","1635","1204","260","88","83","382","","452","29","","195","","94","94",".365"
"1899","Phillies","1466","5353","5986","31","916","787","212","7.4%","",".093","",".301",".363",".395",".757",".365","109","","-4.9","74.5","27.6","30.3","1613","1258","241","83","31","441","","","75","","117","","212","",".365"
"2009","Yankees","2369","5660","6449","244","915","881","111","10.3%","15.7%",".194",".306",".283",".362",".478",".839",".365","117","","0.2","137.9","-25.5","33.8","1604","1014","325","21","244","663","35","1014","54","39","31","144","111","28",".365"
