"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1979","Reds","2072","5477","6218","132","731","686","99","9.9%","14.5%",".132",".292",".264",".338",".396",".734",".327","100","","2.8","2.2","49.1","26.6","1445","1016","266","31","132","614","73","902","19","46","62","128","99","47",".327"
"2007","Orioles","2348","5631","6264","142","756","718","144","8.0%","15.0%",".141",".302",".272",".333",".412",".746",".327","95","","-9.0","-45.5","-17.2","15.1","1529","1051","306","30","142","500","31","939","47","47","38","139","144","42",".327"
"2000","Twins","1972","5615","6283","116","748","711","90","8.8%","16.3%",".137",".309",".270",".337",".407",".744",".327","86","","-1.9","-122.0","-64.5","3.3","1516","1026","325","49","116","556","31","1021","35","51","24","142","90","45",".327"
"1958","Braves","1850","5225","5859","167","675","641","26","8.2%","11.0%",".146",".274",".266",".329",".412",".741",".327","102","","5.4","18.9","99.7","31.5","1388","979","221","21","167","478","68","646","36","41","79","132","26","8",".327"
"1961","Angels","2204","5424","6252","189","744","700","37","10.9%","17.1%",".153",".272",".245",".331",".398",".729",".327","88","","-1.9","-97.5","43.0","14.1","1331","902","218","22","189","681","25","1068","30","37","80","116","37","28",".327"
"1890","Stars","1165","4469","4961","14","698","487","292","9.2%","",".070","",".259",".333",".329",".661",".327","101","","3.5","12.8","-4.2","14.8","1158","934","151","59","14","457","","","35","","","","292","",".327"
"1892","Orioles","1406","5296","5857","30","779","628","227","8.5%","8.2%",".089",".274",".253",".325",".343",".667",".327","99","","-8.8","-14.8","-79.2","11.4","1342","1041","160","111","30","499","","480","62","","","","227","",".327"
"2013","Athletics","2313","5521","6209","186","767","725","74","9.2%","19.0%",".165",".289",".254",".327",".419",".745",".327","108","","10.0","66.0","-32.4","25.4","1403","891","301","25","186","573","29","1178","45","49","21","108","74","28",".327"
"1941","Cubs","1791","5230","5901","99","666","610","39","9.5%","11.3%",".112",".274",".253",".327",".365",".692",".327","96","","5.2","-20.5","7.2","16.6","1323","960","239","25","99","559","","668","14","","98","102","39","",".327"
"1993","Astros","1993","5464","6136","138","716","656","103","8.1%","14.8%",".142",".296",".267",".330",".409",".739",".327","101","","-3.1","4.1","72.4","29.4","1459","996","288","37","138","497","58","911","40","47","82","124","103","60",".327"
"2011","Brewers","2292","5447","6113","185","721","693","94","7.9%","17.7%",".164",".293",".261",".325",".425",".750",".327","103","","0.3","20.9","82.0","30.5","1422","930","276","31","185","481","53","1083","56","44","85","114","94","31",".327"
"1988","Yankees","1740","5592","6297","148","772","713","146","9.3%","14.8%",".132",".290",".263",".333",".395",".728",".327","104","","9.4","39.4","-54.5","20.7","1469","1037","272","12","148","588","56","935","30","51","36","130","146","39",".327"
"2000","Cubs","2269","5577","6397","183","764","722","93","9.9%","17.5%",".155",".288",".256",".335",".411",".746",".327","89","","2.4","-95.1","47.8","15.7","1426","948","272","23","183","632","50","1120","54","45","89","114","93","37",".327"
"2014","Dodgers","2364","5560","6231","134","718","686","138","8.3%","20.0%",".140",".318",".265",".333",".406",".738",".327","112","","-0.4","81.1","20.3","31.8","1476","1002","302","38","134","519","30","1246","61","43","47","119","138","50",".327"
"1997","Twins","1963","5634","6267","132","772","730","151","7.9%","17.9%",".139",".313",".270",".333",".409",".741",".327","91","","8.2","-67.9","-22.3","12.7","1522","1045","305","40","132","495","32","1121","60","56","20","117","151","52",".327"
"2016","Blue Jays","2349","5479","6233","221","759","728","54","10.1%","21.9%",".178",".289",".248",".330",".426",".755",".327","104","89.2","-9.0","22.0","8.8","25.1","1358","843","276","18","221","632","16","1362","55","40","26","153","54","24",".327"
"1956","Cardinals","2001","5378","5986","124","678","628","41","8.4%","10.4%",".131",".283",".268",".333",".399",".732",".327","96","","-2.4","-34.6","62.5","20.0","1443","1036","234","49","124","503","53","622","33","31","41","128","41","35",".327"
"1951","Phillies","1869","5332","5961","108","648","609","63","8.5%","8.8%",".116",".272",".260",".326",".375",".701",".327","90","","5.7","-69.8","23.9","15.6","1384","1030","199","47","108","505","","525","21","","103","111","63","28",".327"
"2018","Astros","2348","5453","6146","205","797","763","71","9.2%","19.5%",".170",".289",".255",".329",".425",".754",".327","109","88.0","-7.0","59.9","-11.5","25.9","1390","889","278","18","205","565","19","1197","61","45","14","156","71","26",".327"
"1961","White Sox","2039","5556","6285","138","765","704","100","8.8%","9.7%",".130",".275",".265",".335",".395",".730",".327","97","","5.8","-18.8","33.3","21.3","1475","1075","216","46","138","550","30","612","57","51","71","118","100","40",".327"
"2010","Phillies","2277","5581","6291","166","772","736","108","8.9%","16.9%",".153",".292",".260",".332",".413",".745",".327","99","","13.3","5.2","27.4","23.1","1451","961","290","34","166","560","69","1064","63","43","44","121","108","21",".327"
"1998","Athletics","1908","5490","6283","149","804","755","131","10.1%","17.9%",".140",".296",".257",".338",".397",".735",".327","94","","5.7","-45.8","-83.0","8.5","1413","956","295","13","149","633","22","1122","55","46","58","120","131","47",".327"
"1914","Rebels","1644","5114","5753","34","605","520","153","7.1%","9.7%",".090",".288",".262",".321",".352",".674",".327","92","","13.5","-38.2","-28.4","13.4","1339","1035","180","90","34","410","","556","39","","190","","153","",".327"
"1930","White Sox","1825","5416","5992","63","729","679","74","6.5%","8.0%",".116",".294",".276",".329",".392",".721",".327","84","","-4.9","-143.9","-10.8","6.3","1497","1087","256","91","63","391","","478","32","","153","","74","39",".327"
"1898","Colonels","1445","5193","5775","32","728","601","235","6.5%","",".075","",".267",".325",".342",".667",".326","92","","13.7","-48.6","5.8","16.2","1389","1136","150","71","32","375","","","66","","141","","235","",".326"
"2016","Indians","2366","5484","6155","185","777","733","134","8.6%","20.2%",".168",".304",".262",".329",".430",".759",".326","100","88.6","15.8","14.3","16.8","24.9","1435","913","308","29","185","531","16","1246","49","60","31","137","134","31",".326"
"1999","Expos","2385","5559","6151","163","718","680","70","7.1%","15.3%",".162",".292",".265",".323",".427",".751",".326","86","","-9.0","-125.5","5.4","7.6","1473","943","320","47","163","438","39","939","53","28","71","138","70","51",".326"
"1992","Mariners","1795","5564","6180","149","679","638","100","7.7%","13.6%",".139",".285",".263",".323",".402",".725",".326","102","","-2.6","9.0","-65.0","15.3","1466","1015","278","24","149","474","47","841","38","51","52","148","100","55",".326"
"1902","Browns","1307","4736","5251","29","619","520","137","7.1%","",".088","",".265",".323",".353",".676",".326","92","","-5.4","-60.4","40.5","17.6","1254","956","208","61","29","373","","","38","","104","","137","",".326"
"1962","Cardinals","2187","5643","6307","137","774","707","86","8.2%","13.4%",".123",".296",".271",".335",".394",".728",".326","88","","1.3","-92.1","105.1","23.1","1528","1139","221","31","137","515","41","846","45","35","69","129","86","41",".326"
"1994","Brewers","1224","3978","4494","99","547","510","59","9.3%","15.1%",".145",".292",".263",".335",".408",".742",".326","91","","-4.4","-60.8","20.8","11.2","1045","687","238","21","99","417","30","680","33","38","28","85","59","37",".326"
"1985","Tigers","1842","5575","6223","202","729","703","75","8.5%","14.9%",".170",".269",".253",".318",".424",".742",".326","103","","-3.1","21.0","13.7","24.6","1413","912","254","45","202","526","56","926","27","53","40","81","75","41",".326"
"1971","Red Sox","1931","5401","6107","161","691","650","51","9.0%","14.3%",".145",".272",".252",".322",".397",".719",".326","98","","-1.1","-16.9","52.6","24.1","1360","925","246","28","161","552","46","871","32","47","75","146","51","34",".326"
"1945","Red Sox","1776","5367","6018","50","599","559","72","9.0%","8.9%",".086",".281",".260",".330",".346",".676",".326","93","","-8.2","-56.0","48.5","18.9","1393","1074","225","44","50","541","","534","23","","87","117","72","50",".326"
"2004","Reds","2361","5518","6278","194","750","713","77","9.5%","21.3%",".168",".295",".250",".331",".418",".749",".326","92","","-9.3","-77.5","25.6","15.6","1380","871","287","28","194","599","38","1335","81","25","55","125","77","25",".326"
"1911","White Sox","1667","5213","5854","20","718","593","201","6.6%","",".081","",".269",".325",".350",".675",".326","91","","-1.0","-66.2","49.0","19.2","1401","1110","179","92","20","385","","","48","","208","","201","",".326"
"1998","Reds","2270","5496","6269","138","750","723","95","9.7%","17.7%",".140",".303",".262",".337",".402",".739",".326","92","","0.6","-63.3","52.5","18.3","1441","977","298","28","138","608","39","1107","37","49","78","133","95","42",".326"
"1981","Angels","1134","3688","4191","97","476","439","44","9.4%","13.6%",".124",".278",".256",".330",".380",".710",".326","109","","-2.9","36.6","-15.1","16.3","944","697","134","16","97","393","23","571","29","30","51","98","44","32",".326"
"2010","Rays","2361","5439","6270","160","802","769","172","10.7%","20.6%",".156",".293",".247",".333",".403",".736",".326","106","","37.6","78.3","-3.2","30.7","1343","851","295","37","160","672","30","1292","57","57","39","92","172","47",".326"
"1940","Senators","1667","5365","5909","52","665","602","94","7.9%","8.5%",".104",".291",".271",".331",".374",".706",".326","86","","-1.2","-113.0","-4.7","9.3","1453","1068","266","67","52","465","","504","18","","61","99","94","40",".326"
"1920","Robins","1671","5399","5966","28","660","566","70","6.0%","6.6%",".090",".294",".277",".324",".367",".691",".326","97","","-0.8","-23.6","20.5","19.4","1493","1161","205","99","28","359","","391","19","","189","","70","80",".326"
"1974","Red Sox","1745","5499","6214","109","696","658","104","9.2%","13.1%",".114",".290",".264",".333",".377",".711",".326","98","","0.0","-12.2","26.2","22.4","1449","1073","236","31","109","569","57","811","33","49","64","127","104","58",".326"
"1995","Blue Jays","1477","5036","5650","140","642","613","75","8.7%","16.0%",".149",".290",".260",".328",".409",".737",".326","91","","6.7","-60.1","-75.1","5.5","1309","867","275","27","140","492","27","906","44","45","33","119","75","16",".326"
"1950","Reds","1811","5253","5845","99","654","617","37","8.6%","8.5%",".116",".272",".260",".327",".376",".702",".326","82","","5.8","-128.6","11.0","6.8","1366","983","257","27","99","504","","497","16","","72","135","37","",".326"
"1955","Giants","2040","5288","5940","169","702","643","38","8.4%","9.8%",".141",".263",".260",".325",".402",".727",".326","93","","3.6","-49.9","39.0","15.8","1377","1001","173","34","169","497","44","581","36","50","69","108","38","22",".326"
"1972","Astros","1839","5267","5936","134","708","660","111","8.8%","15.3%",".135",".286",".258",".326",".393",".719",".326","106","","3.7","42.4","-35.3","24.3","1359","954","233","38","134","524","69","907","32","51","62","98","111","56",".326"
"2006","Diamondbacks","2282","5645","6330","160","773","743","76","8.0%","15.2%",".157",".294",".267",".331",".424",".755",".326","87","","-6.6","-112.4","12.3","10.8","1506","977","331","38","160","504","47","965","67","53","61","136","76","30",".326"
"2007","Cardinals","2440","5529","6211","141","725","690","56","8.1%","14.6%",".132",".303",".274",".337",".405",".743",".326","94","","-12.7","-61.5","40.6","18.0","1513","1080","279","13","141","506","47","909","54","54","68","154","56","33",".326"
"1884","Maroons","1023","4285","4466","32","887","","","4.1%","",".102","",".292",".321",".394",".715",".326","132","","0.0","199.9","49.1","43.0","1251","919","259","41","32","181","","","","","","","","",".326"
"1950","White Sox","1880","5260","5943","93","625","592","19","9.2%","9.5%",".104",".277",".260",".333",".364",".697",".326","80","","-7.6","-169.6","54.1","9.6","1368","1056","172","47","93","549","","567","28","","106","156","19","22",".326"
"2005","Marlins","2296","5502","6214","128","717","678","96","8.2%","14.8%",".137",".304",".272",".339",".409",".748",".326","98","","-7.1","-23.3","2.5","18.2","1499","1033","306","32","128","512","61","918","67","50","82","144","96","38",".326"
"2002","Expos","2262","5479","6250","162","735","695","118","9.2%","17.7%",".157",".298",".261",".334",".418",".752",".326","93","","-0.3","-58.6","-12.7","13.2","1432","934","300","36","162","575","85","1104","46","42","108","123","118","64",".326"
"1904","Giants","1518","5150","5828","31","744","564","283","7.4%","",".083","",".262",".328",".344",".673",".326","107","","17.8","64.3","71.0","36.7","1347","1049","202","65","31","434","","","79","","165","","283","",".326"
"2009","White Sox","2241","5463","6132","184","724","695","113","8.7%","16.7%",".153",".285",".258",".329",".411",".740",".326","91","","-13.0","-83.7","-45.1","8.6","1410","960","246","20","184","534","25","1022","62","39","34","139","113","49",".326"
"2007","Blue Jays","2308","5536","6197","165","753","719","57","8.6%","16.8%",".160",".290",".259",".327",".419",".746",".326","95","","-11.3","-47.4","-0.8","16.2","1434","901","344","24","165","533","32","1044","47","48","33","127","57","22",".326"
"1961","Pirates","1904","5311","5867","128","694","646","26","7.3%","12.3%",".137",".293",".273",".328",".410",".738",".326","95","","-5.2","-44.6","26.8","18.1","1448","1031","232","57","128","428","51","721","27","37","64","140","26","30",".326"
"2007","Dodgers","2417","5614","6282","129","735","706","137","8.1%","13.8%",".131",".303",".275",".337",".406",".743",".326","94","","18.3","-33.6","-1.5","16.8","1544","1104","276","35","129","511","41","864","41","55","58","116","137","50",".326"
"1992","White Sox","1724","5498","6267","110","738","686","160","9.9%","12.5%",".122",".283",".261",".336",".383",".718",".326","104","","8.5","37.3","17.8","26.9","1434","1019","269","36","110","622","48","784","31","69","47","136","160","57",".326"
"1987","Giants","2285","5608","6250","205","783","731","126","8.2%","17.5%",".170",".288",".260",".324",".430",".754",".326","101","","-18.6","-7.4","56.3","26.1","1458","947","274","32","205","511","73","1094","39","35","55","99","126","97",".326"
"1940","Reds","1676","5372","5986","89","707","649","72","7.6%","8.4%",".113",".280",".266",".327",".379",".706",".326","95","","11.4","-24.4","128.5","28.8","1427","1036","264","38","89","453","","503","36","","125","108","72","",".326"
"2017","Cardinals","2416","5470","6219","196","761","728","81","9.5%","21.7%",".170",".304",".256",".334",".426",".760",".326","101","87.3","2.0","8.4","51.4","26.3","1402","894","284","28","196","593","36","1348","65","44","47","139","81","31",".326"
"1993","Cubs","2268","5627","6217","161","738","706","100","7.2%","14.8%",".143",".297",".270",".325",".414",".739",".326","95","","3.4","-35.7","82.3","26.6","1521","1069","259","32","161","446","61","923","34","42","67","131","100","43",".326"
"2016","Orioles","2257","5524","6089","253","744","710","19","7.7%","21.7%",".188",".291",".256",".317",".443",".760",".326","103","89.4","2.5","22.8","-29.8","20.7","1413","889","265","6","253","468","19","1324","44","36","17","119","19","13",".326"
"1979","Yankees","1762","5421","6061","150","734","694","65","8.4%","9.7%",".139",".273",".266",".328",".406",".733",".326","99","","-3.7","-10.2","2.8","19.7","1443","1027","226","40","150","509","48","590","18","63","50","148","65","46",".326"
"1915","Rebels","1655","5040","5732","20","592","507","224","7.8%","9.2%",".079",".289",".262",".326",".341",".667",".326","97","","41.1","22.4","24.2","22.2","1318","1038","180","80","20","448","","529","38","","206","","224","",".326"
"1957","White Sox","1925","5265","6082","106","707","670","109","10.4%","12.2%",".115",".283",".260",".344",".375",".720",".326","101","","6.5","11.5","95.2","30.4","1369","1014","208","41","106","632","33","744","68","42","75","121","109","51",".326"
"1989","Yankees","1733","5458","6096","130","698","657","137","8.2%","13.6%",".122",".295",".269",".331",".391",".722",".326","104","","1.5","29.2","0.0","24.4","1470","1088","229","23","130","502","48","831","27","49","58","130","137","60",".326"
"1989","Rangers","1841","5458","6099","122","695","654","101","8.2%","16.2%",".132",".299",".263",".326",".394",".721",".326","102","","-1.3","12.6","-21.5","20.5","1433","1005","260","46","122","503","28","989","34","40","63","151","101","49",".326"
"1979","Cubs","2220","5550","6182","135","706","663","73","7.7%","12.3%",".134",".289",".269",".329",".403",".731",".326","90","","-4.5","-77.3","-12.2","12.2","1494","1066","250","43","135","478","49","762","35","42","77","126","73","52",".326"
"1996","Padres","2181","5655","6419","147","771","718","109","9.4%","15.8%",".137",".297",".265",".338",".402",".740",".325","101","","-4.5","-0.1","17.4","20.3","1499","1043","285","24","147","601","61","1014","50","52","59","146","109","55",".325"
"2003","Brewers","2293","5548","6270","196","714","685","99","8.7%","19.5%",".163",".294",".256",".329",".419",".748",".325","93","","-27.1","-82.0","-26.6","9.6","1423","937","266","24","196","547","41","1221","71","40","62","158","99","39",".325"
"1957","Cardinals","1983","5472","6082","132","737","685","58","8.1%","11.0%",".131",".289",".274",".333",".405",".737",".325","94","","-1.4","-44.6","61.0","20.4","1497","1087","235","43","132","493","75","672","18","54","45","118","58","44",".325"
"1913","Reds","1739","5132","5781","27","607","541","226","7.9%","10.0%",".086",".290",".261",".325",".347",".672",".325","92","","4.0","-53.2","9.4","16.6","1339","1046","170","96","27","458","","579","29","","162","","226","",".325"
"1921","Red Sox","1622","5202","5841","17","666","589","83","7.3%","5.9%",".084",".293",".276",".334",".360",".694",".325","80","","4.9","-158.3","59.5","10.0","1437","1103","248","69","17","424","","344","28","","187","","83","65",".325"
"1990","Mets","2107","5504","6182","172","775","734","110","8.7%","13.8%",".152",".273",".256",".323",".408",".731",".325","103","","6.7","30.0","4.9","26.4","1410","939","278","21","172","536","65","851","32","56","54","89","110","33",".325"
"2018","Nationals","2441","5517","6288","191","771","737","119","10.0%","20.5%",".164",".297",".254",".335",".419",".753",".325","100","88.4","8.4","11.1","22.2","23.8","1402","902","284","25","191","631","56","1289","59","40","41","104","119","33",".325"
"2016","Mariners","2371","5583","6227","223","768","735","56","8.1%","20.7%",".171",".297",".259",".326",".430",".756",".325","108","89.3","-13.5","44.8","-51.2","21.3","1446","955","251","17","223","506","29","1288","72","41","24","138","56","28",".325"
"1891","Statesmen","1281","4715","5259","19","691","536","219","8.9%","9.2%",".079",".276",".251",".328",".330",".658",".325","90","","-6.9","-89.8","-107.6","1.4","1183","933","147","84","19","468","","485","76","","","","219","",".325"
"1985","Twins","1804","5509","6128","141","705","678","68","8.2%","12.7%",".143",".283",".264",".326",".407",".733",".325","97","","-5.8","-30.7","19.7","19.5","1453","989","282","41","141","502","36","779","31","47","39","117","68","44",".325"
"1976","Pirates","2029","5604","6177","110","708","660","130","7.0%","13.1%",".123",".293",".267",".321",".391",".711",".325","101","","7.8","13.3","47.2","28.3","1499","1084","249","56","110","433","57","807","29","50","61","131","130","45",".325"
"2005","Rockies","2302","5544","6240","150","741","704","65","8.2%","17.7%",".144",".307",".267",".333",".411",".744",".325","85","","-10.7","-131.0","30.5","10.3","1478","1014","280","34","150","509","36","1103","64","34","88","125","65","32",".325"
"1978","Twins","1812","5522","6326","82","666","621","99","9.5%","10.8%",".108",".289",".267",".339",".375",".714",".325","100","","-0.9","-2.3","-15.5","19.8","1472","1084","259","47","82","604","43","684","33","55","109","139","99","56",".325"
"1962","Braves","2015","5458","6155","181","730","685","57","9.4%","15.8%",".151",".276",".252",".326",".403",".729",".325","99","","1.2","-6.2","61.0","27.0","1376","953","204","38","181","581","44","975","34","35","47","133","57","27",".325"
"1970","Twins","2200","5483","6143","153","744","694","57","8.2%","14.7%",".141",".288",".262",".327",".403",".730",".325","97","","-7.4","-30.0","89.6","25.6","1438","1014","230","41","153","501","65","905","42","38","79","132","57","52",".325"
"2009","Cardinals","2358","5465","6168","160","730","694","75","8.6%","16.9%",".152",".296",".263",".332",".415",".747",".325","98","","13.4","-1.3","50.0","24.2","1436","953","294","29","160","528","73","1041","61","43","68","128","75","31",".325"
"1972","Cubs","1882","5247","5950","133","685","634","69","9.5%","13.7%",".131",".279",".257",".330",".387",".717",".325","95","","-1.5","-35.6","8.1","19.5","1346","967","206","40","133","565","78","815","28","43","67","126","69","47",".325"
"1972","Pirates","1924","5490","6021","110","691","654","49","6.7%","14.5%",".123",".306",".274",".324",".397",".721",".325","105","","0.4","36.1","48.0","32.2","1505","1097","251","47","110","404","69","871","25","50","52","110","49","30",".325"
"2019","Mets","2445","5624","6290","242","791","767","56","8.2%","22.0%",".185",".299",".257",".328",".442",".770",".325","104","89.1","-17.0","16.2","21.3","23.5","1445","906","280","17","242","516","34","1384","95","27","28","129","56","27",".325"
"2020","Rays","946","1975","2261","80","289","274","48","10.7%","26.9%",".187",".300",".238",".328",".425",".753",".325","109","88.9","5.6","31.0","5.6","9.4","470","273","105","12","80","243","9","608","28","14","0","38","48","9",".325"
"2014","Blue Jays","2397","5549","6167","177","723","690","78","8.1%","18.7%",".155",".295",".259",".323",".414",".736",".325","107","","0.0","44.6","-37.0","22.2","1435","952","282","24","177","502","27","1151","41","40","35","128","78","21",".325"
"1942","Senators","1656","5295","5947","40","653","593","98","9.7%","9.0%",".083",".281",".258",".333",".341",".674",".325","93","","5.6","-46.8","-74.4","9.4","1364","1051","224","49","40","579","","536","19","","54","106","98","29",".325"
"1940","Giants","1713","5324","5900","91","663","614","45","7.7%","8.1%",".106",".280",".267",".329",".374",".703",".325","92","","5.9","-51.4","51.2","18.2","1423","1085","201","46","91","453","","478","37","","86","130","45","",".325"
"1989","Blue Jays","1722","5581","6216","142","731","685","144","8.4%","14.8%",".138",".286",".260",".323",".398",".721",".325","102","","3.8","20.2","-18.7","21.9","1449","1002","265","40","142","521","32","923","31","53","30","124","144","58",".325"
"1926","Braves","1711","5216","5870","16","624","560","81","7.3%","5.9%",".073",".294",".277",".335",".350",".685",".325","90","","13.5","-62.5","-11.5","10.2","1444","1157","209","62","16","426","","348","29","","199","","81","",".325"
"1913","Pirates","1745","5252","5830","35","673","570","181","6.7%","9.3%",".093",".289",".263",".319",".356",".675",".325","96","","-3.5","-32.3","-1.1","18.1","1383","1052","210","86","35","391","","545","35","","152","","181","",".325"
"2010","Diamondbacks","2271","5473","6183","180","713","691","86","9.5%","24.7%",".166",".312",".250",".325",".416",".740",".325","93","","-8.3","-63.1","85.8","21.8","1366","851","301","34","180","589","45","1529","39","41","41","115","86","41",".325"
"1926","Robins","1836","5130","5790","40","623","568","76","8.2%","8.0%",".096",".283",".263",".328",".358",".687",".325","86","","12.7","-85.1","-8.1","8.1","1348","1000","246","62","40","475","","464","27","","158","","76","",".325"
"1996","Tigers","1760","5530","6203","204","783","741","87","8.8%","20.4%",".165",".294",".256",".323",".420",".743",".325","86","","-6.5","-130.6","-97.7","0.2","1413","931","257","21","204","546","26","1268","29","49","48","132","87","50",".325"
"1948","Cubs","1923","5352","5895","87","597","564","39","7.5%","9.7%",".107",".280",".262",".322",".369",".691",".325","87","","5.4","-88.0","37.1","14.2","1402","1046","225","44","87","444","","574","29","","70","104","39","",".325"
"2017","Reds","2321","5484","6213","219","753","715","120","9.1%","21.4%",".179",".294",".253",".329",".433",".761",".325","95","85.5","-5.3","-47.4","38.7","19.4","1390","884","249","38","219","565","41","1329","72","42","50","116","120","39",".325"
"2013","Angels","2311","5588","6260","164","733","696","82","8.4%","19.5%",".150",".307",".264",".329",".414",".743",".325","109","","-9.7","54.6","-58.0","21.6","1476","1003","270","39","164","523","40","1221","48","64","37","150","82","34",".325"
"1933","Phillies","1771","5261","5796","60","607","570","55","6.6%","8.3%",".095",".292",".274",".326",".369",".695",".325","85","","9.9","-89.7","1.3","8.6","1439","1098","240","41","60","381","","479","29","","125","128","55","",".325"
"2018","Rockies","2368","5541","6178","210","780","748","95","8.2%","22.6%",".179",".304",".256",".322",".435",".757",".325","88","88.9","3.2","-89.1","53.2","16.4","1418","886","280","42","210","507","38","1397","51","37","42","114","95","33",".325"
"1972","Braves","1891","5278","5938","144","628","593","47","9.0%","13.0%",".124",".277",".258",".328",".382",".710",".325","96","","-1.7","-24.9","-12.1","18.7","1363","1016","186","17","144","532","44","770","35","38","55","131","47","35",".325"
"1951","Senators","1757","5329","5979","54","672","627","45","9.4%","8.6%",".093",".283",".263",".336",".355",".691",".325","90","","-1.8","-78.7","-4.2","11.1","1399","1058","242","45","54","560","","514","26","","64","145","45","38",".325"
"2011","Royals","2134","5672","6267","129","730","705","153","7.1%","16.1%",".140",".311",".275",".329",".415",".744",".325","101","","0.7","4.8","-25.3","19.8","1560","1065","325","41","129","442","37","1006","39","57","55","122","153","58",".325"
"1902","White Sox","1297","4654","5255","14","675","537","265","7.8%","",".067","",".268",".332",".335",".667",".325","92","","17.9","-36.7","44.1","20.4","1248","1014","170","50","14","411","","","36","","154","","265","",".325"
"1987","Indians","1703","5606","6212","187","742","691","140","7.9%","15.7%",".158",".287",".263",".324",".422",".745",".325","95","","2.6","-35.8","-68.1","10.6","1476","992","267","30","187","489","30","977","31","42","44","104","140","54",".325"
"1943","Browns","1708","5175","5864","78","595","552","37","9.7%","11.0%",".103",".268",".245",".322",".349",".670",".325","93","","-10.6","-57.4","-11.6","13.2","1269","926","229","36","78","569","","645","15","","105","107","37","43",".325"
"1956","Senators","1999","5202","6043","112","652","612","37","11.4%","14.5%",".126",".280",".250",".341",".377",".717",".325","90","","-2.5","-76.9","-68.7","6.0","1302","930","198","62","112","690","42","877","41","35","75","142","37","34",".325"
"1959","Cardinals","2145","5317","5907","118","641","605","65","8.2%","12.6%",".131",".293",".269",".331",".400",".731",".325","90","","-6.2","-84.5","3.9","12.8","1432","1021","244","49","118","485","49","747","19","26","60","108","65","53",".325"
"2007","Astros","2409","5605","6324","167","723","700","65","8.6%","16.5%",".152",".291",".260",".330",".412",".742",".325","92","","-17.9","-86.9","5.3","12.4","1457","967","293","30","167","547","40","1043","55","40","77","142","65","33",".325"
"1960","Red Sox","2045","5215","5931","124","658","623","34","9.6%","13.5%",".128",".284",".261",".333",".389",".722",".325","92","","-2.2","-63.0","-17.9","9.6","1359","969","234","32","124","570","33","799","25","51","70","153","34","28",".325"
"1982","Yankees","1717","5526","6245","161","709","666","69","9.4%","11.5%",".142",".268",".256",".328",".398",".726",".325","102","","-3.9","9.5","-97.4","11.7","1417","994","225","37","161","590","45","719","24","49","55","153","69","45",".325"
"1959","Giants","1946","5281","5890","167","705","660","81","8.0%","14.9%",".153",".283",".261",".322",".414",".736",".325","96","","4.5","-25.4","46.5","23.2","1377","936","239","35","167","473","57","875","25","38","73","96","81","34",".325"
"1981","Orioles","1246","3516","3985","88","429","408","41","10.1%","11.4%",".128",".265",".251",".329",".379",".708",".325","107","","-4.3","26.6","-20.5","13.9","883","619","165","11","88","404","29","454","15","24","26","110","41","34",".325"
"1984","Cubs","2175","5437","6143","136","762","703","154","9.2%","15.7%",".136",".292",".260",".331",".397",".727",".325","97","","4.4","-18.9","18.1","21.3","1415","992","240","47","136","567","69","967","29","51","59","102","154","66",".325"
"1881","White Stockings","762","3114","3254","12","550","400","","4.3%","6.9%",".085",".315",".295",".325",".380",".705",".325","113","","0.0","58.2","50.4","22.3","918","713","157","36","12","140","","224","","","","","","",".325"
"1998","Padres","2282","5490","6245","167","749","715","79","9.7%","17.2%",".155",".285",".253",".330",".409",".739",".325","99","","-0.4","-7.7","-14.5","17.0","1390","901","292","30","167","604","40","1072","48","45","56","112","79","37",".325"
"1959","Dodgers","2017","5282","6033","148","705","667","84","9.8%","14.8%",".139",".284",".257",".334",".396",".730",".325","90","","-1.6","-76.0","35.8","17.4","1360","970","196","46","148","591","61","891","28","32","100","115","84","51",".325"
"2006","Padres","2396","5576","6287","161","731","698","123","9.0%","17.6%",".154",".299",".263",".332",".416",".749",".325","99","","5.2","-5.1","65.1","26.1","1465","968","298","38","161","564","37","1104","40","47","59","127","123","31",".325"
"1978","Yankees","1775","5583","6220","125","735","693","98","8.1%","11.2%",".122",".283",".267",".329",".388",".718",".325","104","","4.2","34.1","28.2","27.8","1489","1098","228","38","125","505","45","695","42","52","37","126","98","42",".325"
"1930","Braves","1755","5356","5870","66","693","631","69","5.7%","6.8%",".112",".294",".281",".326",".393",".719",".325","75","","13.4","-212.6","32.7","2.9","1503","1113","246","78","66","332","","397","28","","154","","69","",".325"
"1961","Indians","1953","5609","6252","150","737","682","34","7.9%","11.5%",".140",".280",".266",".326",".406",".732",".325","96","","4.4","-26.3","50.6","22.1","1493","1047","257","39","150","492","33","720","28","50","73","133","34","11",".325"
"1984","Indians","1833","5643","6375","123","761","704","126","9.4%","12.8%",".119",".288",".265",".335",".384",".719",".325","99","","-5.6","-12.9","-25.8","17.1","1498","1114","222","39","123","600","34","815","27","67","37","134","126","77",".325"
