"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1954","Red Sox","69","85","22","380","156","1412.1","4.51","3.90","0.75",".279","70.6%","","","","4.01","3.86","","16.6","6194","1434","728","630","118","612","","36","707","","",".259","1.45","11.1"
"2012","Padres","76","86","43","691","162","1434.2","7.56","3.38","1.02",".284","71.8%","47.5%","11.7%","","4.01","4.11","4.05","7.8","6151","1356","710","640","162","539","48","48","1205","23541","23541",".244","1.32","5.0"
"2017","Cardinals","83","79","43","708","162","1450.1","8.38","3.06","1.14",".298","73.6%","46.3%","13.5%","86.8","4.01","4.09","4.12","15.7","6153","1393","705","647","183","493","50","67","1351","23648","23648",".249","1.30","14.7"
"1977","Cubs","81","81","44","481","162","1468.0","5.78","3.00","0.78",".294","69.4%","","","","4.02","3.63","","24.6","6254","1500","739","655","128","489","101","22","942","","",".261","1.35","20.3"
"1981","Cubs","38","65","20","369","106","956.2","5.00","3.65","0.56",".292","69.4%","","","","4.02","3.57","","8.1","4165","983","483","427","59","388","60","21","532","","",".262","1.43","2.8"
"2012","Angels","89","73","38","606","162","1433.1","7.26","3.03","1.17",".277","72.6%","43.9%","12.1%","","4.02","4.26","4.15","10.4","6034","1339","699","640","186","483","20","40","1157","23301","23301",".243","1.27","13.3"
"2012","Rangers","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5%","43.9%","11.6%","","4.02","3.90","3.86","22.2","6067","1378","707","644","175","446","15","41","1286","23493","23493",".247","1.26","21.1"
"1991","Red Sox","84","78","45","490","162","1439.2","6.25","3.31","0.92",".285","71.2%","","","","4.02","3.96","","15.8","6126","1405","712","643","147","530","59","31","999","","",".252","1.34","19.1"
"2010","Reds","91","71","43","664","162","1453.0","7.00","3.25","0.98",".288","73.6%","42.9%","9.4%","","4.02","4.12","4.13","12.8","6182","1404","685","649","158","524","32","50","1130","24077","24077",".250","1.33","15.5"
"1986","Tigers","87","75","38","401","162","1443.2","5.49","3.56","1.14",".265","73.4%","","","","4.02","4.45","","10.3","6158","1374","714","645","183","571","61","30","880","","",".247","1.35","15.3"
"2012","White Sox","85","77","37","628","162","1445.2","7.76","3.13","1.16",".288","75.2%","42.7%","12.1%","","4.02","4.23","4.12","16.2","6098","1365","676","646","186","503","29","68","1246","23771","23771",".247","1.29","21.8"
"1983","Brewers","87","75","43","373","162","1454.0","4.26","3.04","0.82",".283","71.7%","","","","4.02","4.07","","10.2","6224","1513","708","650","133","491","32","28","689","","",".265","1.38","13.5"
"1987","Tigers","98","64","31","409","162","1456.0","6.03","3.48","1.11",".277","72.8%","","","","4.02","4.37","","18.3","6267","1430","735","651","180","563","61","33","976","","",".252","1.37","20.4"
"1979","Red Sox","91","69","29","358","160","1431.1","4.60","2.91","0.84",".285","70.9%","","","","4.02","3.97","","20.4","6120","1487","711","640","133","463","45","37","731","","",".265","1.36","23.2"
"2001","Cubs","88","74","41","614","162","1437.0","8.42","3.44","1.03",".294","72.7%","","","","4.03","3.91","","22.2","6159","1357","701","643","164","550","43","50","1344","","",".244","1.33","18.5"
"1930","Robins","86","68","15","292","154","1372.0","3.45","2.58","0.75",".283","66.7%","","","","4.03","4.73","","15.0","5881","1480","738","614","115","394","","19","526","","",".271","1.37","25.2"
"1967","Astros","69","93","21","456","162","1445.2","6.60","3.02","0.75",".294","68.2%","","","","4.03","3.25","","12.2","6208","1444","742","647","120","485","47","43","1060","","",".254","1.33","-2.3"
"2004","Padres","87","75","44","599","162","1441.0","6.74","2.64","1.15",".290","73.2%","42.9%","11.2%","","4.03","4.19","4.14","15.5","6135","1460","705","645","184","422","39","48","1079","22829","22829",".258","1.31","14.7"
"2015","Yankees","87","75","48","659","162","1457.2","8.46","2.93","1.12",".300","73.8%","47.0%","13.6%","88.2","4.03","3.97","3.70","18.4","6191","1416","698","653","182","474","16","56","1370","24237","24237",".250","1.30","17.9"
"1991","Giants","75","87","45","496","162","1442.0","5.65","3.40","0.89",".278","72.0%","","","","4.03","4.10","","6.9","6132","1397","697","646","143","544","60","36","905","","",".252","1.35","7.2"
"2003","Yankees","101","61","49","530","163","1462.0","6.89","2.31","0.89",".302","70.4%","42.7%","9.3%","","4.03","3.66","3.92","28.6","6209","1512","716","655","145","375","36","49","1119","23156","23156",".261","1.29","22.5"
"1920","Browns","76","77","14","256","154","1378.2","2.90","3.77","0.35",".294","65.6%","","","","4.03","3.95","","10.9","5965","1481","771","618","53","578","","38","444","","",".277","1.49","12.3"
"1995","Reds","85","59","38","473","144","1289.1","6.30","2.96","0.91",".288","71.5%","","","","4.03","4.08","","14.6","5445","1270","623","578","131","424","32","31","903","","",".255","1.31","16.4"
"1920","Tigers","61","93","7","277","155","1385.0","3.14","3.65","0.30",".302","62.3%","","","","4.04","3.82","","10.0","5920","1487","833","621","46","561","","56","483","","",".280","1.48","3.0"
"1945","Braves","67","85","13","320","154","1391.2","2.61","3.60","0.64",".274","69.2%","","","","4.04","4.12","","6.5","6100","1475","727","624","99","557","","19","404","","",".267","1.46","10.1"
"1986","Brewers","77","84","32","398","161","1431.2","5.98","3.11","0.99",".292","71.2%","","","","4.04","3.97","","17.1","6150","1478","734","642","158","494","22","29","952","","",".263","1.38","15.8"
"2015","Marlins","71","91","35","648","162","1427.0","7.27","3.20","0.89",".294","72.3%","44.5%","9.5%","88.5","4.04","3.98","4.23","12.2","6050","1374","678","640","141","508","25","52","1152","22956","22956",".250","1.32","11.1"
"2001","Yankees","95","65","57","523","161","1451.1","7.85","2.88","0.98",".300","71.5%","","","","4.04","3.79","","26.1","6174","1429","713","651","158","465","29","55","1266","","",".253","1.31","21.4"
"1979","Brewers","95","66","23","365","161","1439.2","3.63","2.38","1.01",".282","71.5%","","","","4.04","4.22","","12.1","6106","1563","722","646","162","381","24","20","580","","",".274","1.35","17.3"
"2018","Nationals","82","80","40","724","162","1446.0","8.82","3.03","1.23",".287","74.8%","41.2%","12.8%","87.9","4.04","4.15","4.13","16.7","6087","1320","682","649","198","487","37","76","1417","23698","23698",".239","1.25","19.4"
"2006","Angels","89","73","50","542","162","1452.2","7.21","2.92","0.98",".291","70.1%","42.3%","9.2%","","4.04","4.03","4.28","21.3","6149","1410","732","652","158","471","27","50","1164","23483","23483",".251","1.29","22.8"
"1993","Royals","84","78","48","465","162","1445.1","6.13","3.56","0.65",".287","70.4%","","","","4.04","3.85","","21.9","6145","1379","694","649","105","571","36","44","985","","",".249","1.35","24.4"
"2003","Marlins","91","71","36","557","162","1445.1","7.05","3.30","0.80",".297","71.6%","42.1%","8.3%","","4.04","3.80","4.21","21.3","6165","1415","692","649","128","530","40","40","1132","23591","23591",".253","1.35","17.0"
"1961","Dodgers","89","65","35","393","154","1378.1","7.22","3.55","1.09",".289","72.8%","","","","4.04","3.83","","17.7","5950","1346","697","619","167","544","71","48","1105","","",".251","1.37","16.0"
"1962","Senators","60","101","13","428","162","1445.0","4.80","3.69","0.94",".267","72.0%","","","","4.04","4.18","","12.8","6221","1400","716","649","151","593","42","21","771","","",".250","1.38","14.3"
"1980","Rangers","76","85","25","418","163","1451.2","5.52","3.22","0.74",".304","70.0%","","","","4.04","3.74","","17.1","6305","1561","752","652","119","519","49","37","890","","",".272","1.43","8.4"
"2010","Angels","80","82","39","572","162","1449.1","7.02","3.51","0.92",".292","72.9%","42.6%","8.5%","","4.04","4.11","4.24","13.5","6252","1422","702","651","148","565","33","46","1130","24330","24330",".252","1.37","13.6"
"2004","Twins","92","70","48","597","162","1476.0","6.85","2.63","1.02",".302","72.9%","44.6%","10.2%","","4.04","3.98","4.09","22.4","6269","1523","715","663","167","431","27","54","1123","23559","23559",".263","1.32","27.3"
"2011","Tigers","95","67","52","583","162","1440.0","6.97","3.08","0.93",".292","71.1%","44.5%","9.3%","","4.04","3.96","4.00","16.7","6108","1406","711","647","149","492","34","52","1115","23713","23713",".253","1.32","18.5"
"2007","Cubs","85","77","39","640","162","1446.2","7.53","3.56","1.03",".281","73.6%","41.3%","9.6%","","4.04","4.36","4.36","17.7","6186","1340","690","650","165","573","46","59","1211","23522","23522",".241","1.32","23.4"
"1982","Red Sox","89","73","33","376","162","1453.0","5.05","2.96","0.96",".294","73.2%","","","","4.04","4.04","","14.7","6246","1557","713","653","155","478","36","35","816","","",".272","1.40","19.7"
"1923","White Sox","69","85","11","282","156","1397.0","3.01","3.44","0.32",".288","66.7%","","","","4.05","3.95","","13.7","6165","1512","740","628","49","534","","37","467","","",".270","1.46","13.3"
"1922","Robins","76","78","8","270","155","1385.2","3.24","3.18","0.48",".301","67.5%","","","","4.05","4.12","","12.4","6082","1574","752","623","74","490","","35","499","","",".283","1.49","16.0"
"1991","Cubs","77","83","40","520","160","1456.2","5.73","3.35","0.72",".282","68.7%","","","","4.05","3.80","","15.1","6224","1415","734","655","117","542","64","28","927","","",".250","1.34","10.5"
"1884","Cowboys","16","62","0","94","82","702.2","4.28","1.63","0.18",".340","38.3%","","","","4.05","3.12","","1.2","","862","618","316","14","127","","","334","","",".303","1.41","-7.6"
"1943","Athletics","49","105","13","262","155","1394.0","3.25","3.46","0.47",".276","67.5%","","","","4.05","3.60","","10.2","6038","1421","717","627","73","536","","35","503","","",".260","1.40","0.7"
"1895","Pirates","71","60","6","162","133","1171.2","2.93","3.84","0.13",".299","56.1%","","","","4.05","4.54","","12.6","","1263","787","527","17","500","","0","382","","",".277","1.50","18.4"
"1975","Astros","64","97","25","427","162","1458.1","5.18","4.19","0.65",".284","71.9%","","","","4.05","3.85","","6.5","6337","1436","711","656","106","679","44","34","839","","",".255","1.45","4.4"
"1981","Phillies","59","48","23","291","107","960.1","5.44","3.25","0.67",".291","69.8%","","","","4.05","3.49","","9.4","4086","967","472","432","72","347","45","14","580","","",".260","1.37","4.1"
"1935","Red Sox","78","75","11","292","154","1376.0","3.07","3.40","0.44",".291","67.5%","","","","4.05","4.18","","19.9","6063","1520","732","619","67","520","","20","470","","",".275","1.48","21.3"
"2011","Pirates","72","90","43","711","162","1449.1","6.40","3.32","0.94",".300","73.7%","45.6%","9.8%","","4.05","4.20","4.18","8.5","6317","1513","712","652","152","535","65","62","1031","23284","23284",".265","1.41","9.1"
"1993","Mets","59","103","22","459","162","1438.0","5.43","2.72","0.87",".288","69.0%","","","","4.05","4.05","","14.1","6151","1483","744","647","139","434","61","50","867","","",".262","1.33","10.7"
"2015","Diamondbacks","79","83","44","712","162","1466.2","7.46","3.07","1.12",".294","73.7%","45.7%","12.3%","88.9","4.05","4.21","4.09","10.6","6257","1450","713","660","182","500","45","48","1215","24252","24252",".254","1.33","15.4"
"2016","Marlins","79","82","55","720","161","1435.0","8.65","3.73","0.95",".303","74.0%","43.0%","10.9%","88.4","4.05","3.97","4.21","15.5","6164","1358","682","646","152","595","62","61","1379","24244","24244",".247","1.36","13.5"
"2015","Orioles","81","81","43","615","162","1434.2","7.73","3.03","1.09",".298","73.6%","45.2%","12.0%","88.5","4.05","4.11","4.04","15.8","6085","1406","693","646","174","483","27","54","1233","23574","23574",".253","1.32","16.6"
"1977","Athletics","63","98","26","410","161","1436.2","4.94","3.51","0.91",".280","70.3%","","","","4.05","4.17","","11.7","6202","1459","749","647","145","560","49","24","788","","",".260","1.41","8.5"
"1929","Indians","81","71","10","254","152","1352.0","2.59","3.25","0.37",".300","67.1%","","","","4.05","4.27","","17.7","5998","1570","738","609","56","488","","26","389","","",".286","1.52","18.2"
"2004","Astros","92","70","47","655","162","1443.0","8.00","3.27","1.09",".299","74.3%","44.2%","11.9%","","4.05","4.07","3.95","20.7","6201","1416","698","650","174","525","61","68","1282","23746","23746",".252","1.35","20.9"
"1890","Athletics","68","63","2","146","132","1154.1","2.81","3.86","0.26",".303","54.5%","","","","4.05","4.00","","13.7","","1292","855","520","33","495","","35","361","","",".284","1.55","14.8"
"1957","Indians","76","77","23","357","153","1380.2","5.26","4.03","0.85",".279","71.0%","","","","4.05","3.95","","11.1","6076","1381","722","622","130","618","59","43","807","","",".255","1.45","4.6"
"2007","Indians","96","66","49","557","162","1462.2","6.44","2.52","0.90",".302","71.9%","45.3%","8.7%","","4.05","4.06","4.21","20.5","6206","1519","704","659","146","410","42","56","1047","22865","22865",".265","1.32","24.6"
"2000","Braves","95","67","53","538","162","1440.1","6.83","3.02","1.03",".288","71.9%","","","","4.06","4.19","","22.3","6165","1428","714","649","165","484","52","37","1093","","",".253","1.33","23.5"
"1970","Cardinals","76","86","20","440","162","1475.2","5.85","3.85","0.62",".293","69.7%","","","","4.06","3.57","","20.9","6425","1483","747","665","102","632","102","22","960","","",".257","1.43","15.5"
"2010","Yankees","95","67","39","592","162","1442.1","7.20","3.37","1.12",".281","74.0%","43.9%","10.7%","","4.06","4.34","4.15","16.4","6102","1349","693","650","179","540","37","62","1154","23607","23607",".245","1.31","20.5"
"1901","Brewers","48","89","4","173","139","1218.0","2.78","2.92","0.24",".306","56.4%","","","","4.06","3.62","","9.3","","1383","828","549","32","395","","63","376","","",".287","1.46","2.6"
"1978","Cubs","79","83","38","489","162","1455.1","4.75","3.33","0.77",".281","70.7%","","","","4.06","3.83","","13.2","6264","1475","724","656","125","539","93","33","768","","",".259","1.38","12.7"
"1961","White Sox","86","76","33","423","163","1448.2","5.06","3.09","0.98",".280","71.6%","","","","4.06","3.92","","14.4","6236","1491","726","653","158","498","25","12","814","","",".260","1.37","12.7"
"1934","Tigers","101","53","14","282","154","1370.2","4.20","3.20","0.56",".293","68.2%","","","","4.06","4.10","","17.9","5945","1467","708","618","86","488","","13","640","","",".269","1.43","20.3"
"2003","Phillies","86","76","33","599","162","1443.2","6.61","3.34","0.89",".284","72.3%","45.3%","9.7%","","4.06","4.12","4.32","16.6","6195","1386","697","651","142","536","51","77","1060","23033","23033",".248","1.33","16.7"
"1985","Red Sox","81","81","29","365","163","1461.1","5.62","3.33","0.80",".291","71.4%","","","","4.06","3.77","","18.6","6281","1487","720","659","130","540","54","35","913","","",".261","1.39","19.5"
"1965","Mets","50","112","14","465","164","1454.2","4.80","3.08","0.91",".276","69.7%","","","","4.06","3.89","","4.9","6232","1462","752","656","147","498","29","49","776","","",".257","1.35","2.1"
"1945","Giants","78","74","21","333","154","1374.2","3.47","3.47","0.56",".273","68.4%","","","","4.06","3.78","","12.8","5999","1401","700","620","85","530","","25","530","","",".257","1.40","12.7"
"1956","Tigers","82","72","15","342","155","1379.0","5.14","4.27","0.91",".280","73.4%","","","","4.06","4.07","","13.6","6087","1389","699","622","140","655","49","44","788","","",".258","1.48","16.4"
"2005","Blue Jays","80","82","35","594","162","1447.0","5.96","2.76","1.15",".286","74.2%","45.7%","11.7%","","4.06","4.42","4.26","14.0","6166","1475","705","653","185","444","29","68","958","22678","22678",".261","1.33","22.4"
"1995","Astros","76","68","32","538","144","1320.1","7.20","3.14","0.80",".308","70.1%","","","","4.06","3.82","","14.9","5703","1357","674","596","118","460","52","50","1056","","",".261","1.38","9.0"
"1984","Brewers","67","94","41","444","161","1433.0","4.93","3.01","0.86",".292","70.6%","","","","4.06","3.97","","12.7","6202","1532","734","647","137","480","44","22","785","","",".269","1.40","9.3"
"1893","Browns","57","75","4","157","135","1207.0","2.24","4.04","0.28",".288","56.4%","","","","4.06","4.63","","11.9","","1292","829","545","38","542","","0","301","","",".275","1.52","17.6"
"2016","Astros","84","78","44","662","162","1468.0","8.56","2.78","1.11",".306","73.4%","45.2%","12.6%","88.1","4.06","3.85","3.87","17.6","6180","1441","701","663","181","453","19","39","1396","24039","24039",".253","1.29","13.5"
"1939","Giants","77","74","20","314","151","1319.0","3.45","3.25","0.59",".284","68.7%","","","","4.07","4.20","","11.6","5756","1412","682","596","86","477","","25","505","","",".269","1.43","10.3"
"1975","Twins","76","83","22","322","159","1423.0","5.35","3.90","0.87",".276","70.5%","","","","4.07","4.03","","11.0","6146","1381","736","643","137","617","22","36","846","","",".251","1.40","10.8"
"1985","White Sox","85","77","39","468","163","1451.2","6.34","3.53","1.00",".282","72.4%","","","","4.07","3.97","","17.2","6221","1411","720","656","161","569","35","36","1023","","",".251","1.36","19.7"
"1938","Dodgers","69","80","14","306","151","1332.0","3.17","3.01","0.59",".288","67.9%","","","","4.07","4.15","","12.9","5811","1464","707","602","88","446","","30","469","","",".274","1.43","10.6"
"1989","Phillies","67","95","33","511","163","1433.1","5.64","3.85","0.80",".283","70.3%","","","","4.07","4.01","","7.3","6204","1408","735","648","127","613","75","31","899","","",".253","1.41","2.6"
"1990","Orioles","76","85","43","518","161","1435.1","4.87","3.37","1.01",".276","73.3%","","","","4.07","4.34","","7.4","6141","1445","698","649","161","537","43","16","776","","",".259","1.38","12.2"
"2002","Mariners","93","69","43","505","162","1445.1","6.62","2.75","1.11",".284","72.9%","40.2%","10.3%","","4.07","4.11","4.16","18.3","6117","1422","699","654","178","441","34","49","1063","22926","22926",".253","1.29","19.0"
"1988","Rangers","70","91","31","412","161","1438.2","5.71","4.09","0.81",".267","69.9%","","","","4.07","4.15","","10.9","6180","1310","735","651","129","654","33","56","912","","",".239","1.37","11.2"
"2015","Twins","83","79","45","682","162","1443.0","6.52","2.58","1.02",".300","72.8%","44.0%","10.4%","88.7","4.07","4.10","4.23","16.0","6139","1506","700","653","163","413","34","41","1046","22979","22979",".265","1.33","17.9"
"2018","Mets","77","85","41","663","162","1460.2","8.91","2.98","1.14",".295","73.0%","42.1%","12.2%","87.7","4.07","3.97","4.03","17.7","6178","1364","707","661","185","484","32","71","1446","24013","24013",".243","1.27","12.8"
"2008","Mets","89","73","43","719","162","1464.1","7.26","3.63","1.00",".289","73.6%","43.1%","10.5%","","4.07","4.32","4.26","13.0","6338","1415","715","663","163","590","53","70","1181","24633","24633",".249","1.37","14.2"
"1990","Giants","85","77","45","497","162","1446.1","4.90","3.44","0.82",".284","71.8%","","","","4.08","4.09","","7.8","6235","1477","710","655","131","553","84","21","788","","",".261","1.40","8.8"
"1983","Cubs","71","91","42","531","162","1428.2","5.08","3.14","0.74",".296","70.1%","","","","4.08","3.79","","16.0","6110","1496","719","647","117","498","83","25","807","","",".268","1.40","11.3"
"1948","Phillies","66","88","15","317","155","1362.1","3.65","3.71","0.63",".281","67.5%","","","","4.08","4.03","","12.4","5809","1385","727","617","95","561","","17","552","","",".265","1.43","7.3"
"2016","Cardinals","86","76","38","643","162","1448.1","8.02","2.95","0.99",".304","71.8%","49.5%","12.8%","87.6","4.08","3.88","3.88","16.6","6164","1432","712","656","159","475","35","52","1290","23345","23345",".254","1.32","13.8"
"1929","Browns","79","73","10","271","154","1371.0","2.72","3.03","0.66",".279","68.3%","","","","4.08","4.55","","14.7","5899","1469","713","621","100","462","","16","415","","",".271","1.41","22.2"
"2001","Mets","82","80","48","559","162","1445.2","7.41","2.73","1.16",".290","72.4%","","","","4.08","4.07","","17.2","6107","1418","713","655","186","438","60","43","1191","","",".252","1.28","15.9"
"1986","Blue Jays","86","76","44","453","163","1476.0","6.11","2.97","1.00",".285","71.5%","","","","4.08","3.94","","19.3","6264","1467","733","669","164","487","39","45","1002","","",".256","1.32","19.0"
"1964","Cubs","76","86","19","417","162","1445.0","4.59","2.63","0.90",".283","70.1%","","","","4.08","3.79","","10.8","6150","1510","724","655","144","423","64","17","737","","",".264","1.34","9.7"
"1893","Pirates","81","48","2","160","131","1167.0","2.16","3.89","0.22",".285","57.2%","","","","4.08","4.51","","11.8","","1232","766","529","29","504","","0","280","","",".272","1.49","17.8"
"1994","Padres","47","70","27","390","117","1045.2","7.42","3.38","0.85",".291","69.5%","","","","4.08","3.91","","15.4","4503","1008","531","474","99","393","62","25","862","","",".247","1.34","10.4"
"1886","Orioles","48","83","0","146","139","1206.2","6.00","3.01","0.19",".311","47.9%","","","","4.08","3.04","","13.7","","1197","878","547","25","403","","53","805","","",".260","1.33","2.5"
"1966","Reds","76","84","35","430","160","1436.0","6.54","3.07","0.96",".286","71.8%","","","","4.08","3.60","","16.5","6119","1408","702","651","153","490","55","45","1043","","",".252","1.32","13.6"
"1883","Orioles","28","68","0","107","96","844.2","3.09","2.02","0.13",".308","35.0%","","","","4.08","3.43","","7.3","","943","742","383","12","190","","","290","","",".284","1.34","-7.6"
"1982","Royals","90","72","45","390","162","1431.0","4.09","2.96","1.03",".267","71.4%","","","","4.08","4.33","","7.7","6109","1443","717","649","163","471","30","26","650","","",".257","1.34","12.1"
"1939","Indians","87","67","13","296","154","1364.2","4.05","3.97","0.49",".282","68.8%","","","","4.08","4.15","","16.5","5991","1394","700","619","75","602","","16","614","","",".259","1.46","21.9"
"1923","Athletics","69","83","12","284","153","1364.2","2.64","3.63","0.45",".281","65.8%","","","","4.08","4.25","","11.4","6016","1465","760","619","68","550","","23","400","","",".269","1.48","11.7"
"1943","Giants","55","98","19","364","156","1394.2","3.79","4.04","0.52",".287","70.2%","","","","4.08","3.70","","7.0","6176","1474","710","633","80","626","","21","588","","",".267","1.51","2.6"
"1897","Reds","76","56","2","172","134","1156.2","2.10","2.56","0.14",".312","60.8%","","","","4.09","3.91","","16.8","","1375","705","525","18","329","","57","270","","",".297","1.47","20.4"
"1923","Tigers","83","71","12","318","155","1373.2","2.93","2.94","0.38",".289","65.7%","","","","4.09","3.93","","13.3","5999","1502","741","624","58","449","","54","447","","",".273","1.42","10.9"
"2010","Astros","76","86","45","669","162","1439.1","7.57","3.43","0.88",".305","71.0%","44.3%","8.8%","","4.09","3.89","3.97","15.5","6221","1446","729","654","140","548","39","40","1210","23887","23887",".257","1.39","9.7"
"1977","Indians","71","90","30","391","161","1452.1","5.43","3.41","0.84",".282","70.0%","","","","4.09","3.94","","18.5","6213","1441","739","660","136","550","64","27","876","","",".256","1.37","13.2"
"1970","Tigers","79","83","39","450","162","1447.1","6.50","3.87","0.95",".289","72.6%","","","","4.09","3.93","","15.8","6319","1443","731","658","153","623","31","35","1045","","",".255","1.43","9.4"
"2012","Mets","74","88","36","667","162","1434.0","7.78","3.06","1.01",".290","71.1%","42.6%","10.5%","","4.09","3.93","4.04","14.3","6086","1368","709","652","161","488","29","40","1240","23377","23377",".246","1.29","6.8"
"2010","Marlins","80","82","39","643","162","1438.1","7.31","3.44","0.84",".301","71.3%","43.6%","8.1%","","4.09","3.92","4.11","16.1","6217","1433","717","654","134","549","42","51","1168","23826","23826",".255","1.38","14.7"
"2015","Padres","74","88","41","678","162","1440.1","8.70","3.22","1.07",".303","71.1%","46.9%","13.3%","88.3","4.09","3.93","3.71","9.7","6093","1371","731","655","171","516","35","54","1393","24009","24009",".248","1.31","2.2"
"1901","Senators","61","72","2","158","138","1183.0","2.34","2.16","0.39",".308","58.1%","","","","4.09","3.68","","10.6","","1396","771","538","51","284","","63","308","","",".295","1.42","7.7"
"1990","Phillies","77","85","35","536","162","1449.0","5.22","4.04","0.77",".272","70.6%","","","","4.09","4.17","","7.8","6259","1381","729","659","124","651","81","29","840","","",".248","1.40","8.7"
"2006","Astros","82","80","42","659","162","1468.2","7.11","2.94","1.12",".286","72.8%","45.2%","11.6%","","4.09","4.27","4.16","19.2","6219","1425","719","668","182","480","65","54","1160","23311","23311",".251","1.30","20.1"
"2010","White Sox","88","74","43","569","162","1446.1","7.15","3.05","0.85",".305","71.5%","44.9%","8.4%","","4.09","3.80","3.94","24.0","6180","1471","704","658","136","490","41","34","1149","23477","23477",".260","1.36","19.1"
"1988","Braves","54","106","25","478","160","1446.0","5.04","3.26","0.67",".288","68.9%","","","","4.10","3.80","","11.0","6246","1481","741","658","108","524","65","43","810","","",".261","1.39","4.0"
"1995","Cardinals","62","81","38","520","143","1265.2","5.99","3.16","0.96",".292","70.4%","","","","4.10","4.31","","9.3","5420","1290","658","576","135","445","37","40","842","","",".261","1.37","10.2"
"2004","Marlins","83","79","53","566","162","1439.0","6.98","3.21","1.04",".288","72.9%","43.7%","10.7%","","4.10","4.17","4.21","16.6","6110","1395","700","655","166","513","61","51","1116","22745","22745",".252","1.33","16.5"
"2003","Braves","101","61","51","651","162","1456.1","6.13","3.43","0.91",".283","70.6%","47.6%","11.0%","","4.10","4.21","4.24","15.2","6247","1425","740","663","147","555","69","42","992","22946","22946",".252","1.36","16.0"
"2016","Brewers","73","89","46","675","162","1434.1","7.37","3.34","1.12",".300","73.1%","46.0%","12.4%","88.1","4.10","4.37","4.42","11.1","6188","1450","733","653","178","532","33","66","1175","23795","23795",".259","1.38","12.5"
"1992","Rangers","77","85","42","521","162","1460.1","6.37","3.69","0.70",".300","69.6%","","","","4.10","3.70","","18.3","6325","1471","753","665","113","598","30","48","1034","","",".259","1.42","8.6"
"1978","Braves","69","93","32","455","162","1440.1","5.30","3.90","0.82",".276","70.0%","","","","4.10","3.99","","12.0","6261","1404","750","656","132","624","82","42","848","","",".251","1.41","8.9"
"2011","White Sox","79","83","42","572","162","1460.0","7.52","2.71","0.91",".303","71.3%","44.2%","9.4%","","4.10","3.66","3.69","23.2","6188","1463","706","665","147","439","50","44","1220","23669","23669",".256","1.30","18.3"
"2004","Mets","71","91","31","636","162","1449.0","6.07","3.68","0.97",".284","72.7%","45.7%","9.9%","","4.10","4.43","4.57","12.3","6333","1452","731","660","156","592","70","49","977","24308","24308",".255","1.41","14.1"
"1953","Dodgers","105","49","29","367","155","1380.2","5.33","3.32","1.10",".268","72.2%","","","","4.10","4.14","","15.0","5865","1337","689","629","169","509","","17","817","","",".250","1.34","18.3"
"1993","Cardinals","87","75","54","584","162","1453.0","4.80","2.37","0.94",".289","69.9%","","","","4.10","4.16","","10.9","6196","1553","744","662","152","383","50","43","775","","",".269","1.33","11.1"
"2019","Cubs","84","78","38","738","162","1442.0","9.01","3.33","1.22",".300","74.1%","45.9%","15.0%","88.7","4.10","4.25","4.29","17.0","6190","1376","717","657","195","534","16","80","1444","24342","24342",".247","1.32","19.3"
"1947","Cubs","69","85","15","371","155","1367.0","3.76","4.07","0.70",".285","70.4%","","","","4.10","4.07","","9.0","6020","1449","722","623","106","618","","20","571","","",".269","1.51","8.3"
"2012","Marlins","69","93","38","645","162","1440.2","6.95","3.09","0.83",".300","70.3%","45.0%","9.2%","","4.10","3.89","4.17","13.5","6186","1448","724","657","133","495","61","55","1113","23674","23674",".257","1.35","8.9"
"2000","Dodgers","86","76","36","533","162","1445.0","7.19","3.74","1.10",".283","73.3%","","","","4.10","4.52","","16.5","6249","1379","729","659","176","600","22","75","1154","","",".247","1.37","17.0"
"2008","White Sox","89","74","34","626","163","1457.2","7.08","2.84","0.96",".298","71.0%","45.5%","10.0%","","4.11","4.00","4.01","24.1","6218","1471","729","665","156","460","42","48","1147","23343","23343",".258","1.32","22.8"
"1995","Expos","66","78","42","540","144","1283.2","6.66","2.92","0.90",".294","71.0%","","","","4.11","4.03","","14.6","5491","1286","638","586","128","416","26","59","950","","",".256","1.33","15.1"
"1986","Yankees","90","72","58","451","162","1443.1","5.47","3.07","1.09",".279","71.5%","","","","4.11","4.20","","13.0","6173","1461","738","659","175","492","25","24","878","","",".258","1.35","12.8"
"2007","Braves","84","78","36","690","162","1456.1","6.83","3.32","1.06",".288","72.4%","45.3%","10.8%","","4.11","4.45","4.29","13.1","6263","1442","733","665","172","537","89","42","1106","23217","23217",".254","1.36","16.5"
"1871","Forest Citys","10","19","0","35","29","254.0","1.20","1.88","0.46",".328","15.2%","","","","4.11","4.60","","1.5","","346","341","116","13","53","","","34","","",".326","1.57","-0.2"
"1934","Braves","78","73","20","290","152","1359.2","3.06","2.68","0.52",".289","66.9%","","","","4.11","4.12","","8.1","5924","1512","714","621","78","405","","17","462","","",".275","1.41","8.4"
