"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1902","Orphans","68","69","2","150","141","1275.1","3.08","1.97","0.05",".280","68.3%","","","","2.21","2.71","","11.5","","1234","501","313","7","279","","44","437","","",".255","1.19","18.3"
"1919","Cubs","75","65","5","219","140","1265.0","3.52","2.09","0.10",".260","72.9%","","","","2.21","2.61","","19.1","5109","1127","407","311","14","294","","28","495","","",".235","1.12","26.1"
"1906","Pirates","93","60","2","196","154","1358.0","3.53","2.05","0.09",".270","71.5%","","","","2.21","2.39","","17.8","","1234","464","334","13","309","","42","532","","",".244","1.14","23.6"
"1882","White Stockings","55","29","0","85","84","763.2","3.29","1.20","0.15",".259","55.4%","","","","2.22","2.66","","9.8","","667","353","188","13","102","","","279","","",".236","1.01","18.3"
"1907","White Sox","87","64","9","210","157","1406.1","3.87","1.95","0.08",".274","71.2%","","","","2.22","2.09","","14.5","","1279","475","347","13","305","","22","604","","",".244","1.13","21.9"
"1908","White Sox","88","64","10","218","156","1414.0","3.97","1.81","0.07",".256","68.4%","","","","2.22","1.92","","15.4","","1170","479","349","11","284","","28","623","","",".227","1.03","18.5"
"1883","Blues","55","42","2","108","100","879.0","4.12","2.22","0.07",".281","57.7%","","","","2.22","3.19","","7.3","","818","443","217","7","217","","","402","","",".248","1.18","19.2"
"1904","Naps","86","65","0","169","154","1356.2","4.16","1.89","0.07",".283","70.4%","","","","2.22","2.22","","16.3","","1273","482","335","10","285","","36","627","","",".250","1.15","19.3"
"1906","Browns","76","73","5","175","154","1357.2","3.70","2.08","0.09",".255","67.6%","","","","2.23","2.37","","13.1","","1132","501","336","14","314","","61","558","","",".228","1.07","18.8"
"1883","Browns","65","33","1","103","98","879.1","3.33","1.54","0.07",".251","54.1%","","","","2.23","3.13","","11.2","","729","409","218","7","150","","","325","","",".227","1.00","23.5"
"1919","Reds","96","44","9","214","140","1274.0","2.88","2.11","0.15",".251","73.3%","","","","2.23","2.81","","12.5","5063","1104","401","316","21","298","","20","407","","",".233","1.10","24.0"
"1885","White Stockings","87","25","4","118","113","1015.2","4.06","1.79","0.33",".257","58.9%","","","","2.23","3.05","","14.0","","868","470","252","37","202","","0","458","","",".233","1.05","23.6"
"1884","Brewers","8","4","0","12","12","104.0","12.03","1.13","0.09",".237","46.2%","","","","2.25","1.10","","7.6","","49","34","26","1","13","","","139","","",".143","0.60","8.3"
"1877","Grays","35","25","0","61","61","559.0","2.27","0.66","0.06",".299","56.7%","","","","2.25","2.65","","9.5","","617","288","140","4","41","","","141","","",".281","1.18","13.7"
"1907","Naps","85","67","5","194","158","1392.2","3.32","2.34","0.05",".267","69.2%","","","","2.26","2.30","","12.5","","1253","523","350","8","362","","58","513","","",".242","1.16","18.8"
"1909","Tigers","98","54","12","208","158","1420.1","3.35","2.27","0.10",".263","71.4%","","","","2.26","2.38","","15.1","","1254","493","357","16","359","","56","528","","",".238","1.14","23.1"
"1883","Red Stockings","61","37","0","100","98","866.2","2.23","1.74","0.18",".252","57.2%","","","","2.26","3.60","","6.4","","766","413","218","17","168","","","215","","",".239","1.08","21.5"
"1880","Ruby Legs","40","43","5","103","85","762.2","3.50","1.14","0.15",".273","55.3%","","","","2.27","2.36","","9.6","","709","370","192","13","97","","","297","","",".248","1.06","11.9"
"1917","Giants","98","56","14","255","158","1426.2","3.48","2.06","0.18",".249","72.9%","","","","2.27","2.50","","12.3","5721","1221","457","360","29","327","","27","551","","",".228","1.09","23.3"
"1882","Grays","52","32","1","88","84","752.0","3.27","1.04","0.14",".268","55.4%","","","","2.27","2.59","","7.4","","690","356","190","12","87","","","273","","",".245","1.03","14.3"
"1909","Giants","92","61","15","224","157","1440.2","4.59","2.48","0.17",".268","69.0%","","","","2.27","2.27","","20.7","","1248","547","364","28","397","","30","735","","",".235","1.14","18.9"
"1908","Red Sox","75","79","7","220","155","1380.1","4.07","2.37","0.12",".266","69.3%","","","","2.28","2.16","","14.2","","1200","512","349","18","364","","47","624","","",".236","1.13","17.3"
"1879","Reds","43","37","0","84","81","726.0","3.05","1.00","0.14",".293","45.4%","","","","2.29","2.59","","4.9","","756","464","185","11","81","","","246","","",".270","1.15","2.1"
"1907","Pirates","91","63","5","208","157","1363.0","3.28","2.43","0.08",".263","69.0%","","","","2.30","2.37","","15.9","","1207","514","348","12","368","","46","497","","",".239","1.16","15.2"
"1902","Pirates","102","36","3","151","141","1264.2","4.01","1.78","0.03",".275","70.0%","","","","2.30","2.41","","18.0","","1142","440","323","4","250","","61","564","","",".243","1.10","27.1"
