,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Athletics,97,65,44,740,162,1465.2,7.6,2.91,1.13,0.27,73.50%,43.60%,12.20%,88.3,3.82,4.18,4.25,13.6
,Giants,73,89,36,711,162,1461.1,7.82,3.23,0.96,0.293,72.30%,44.50%,11.00%,88.6,3.95,3.98,4.2,13.1
,Diamondbacks,82,80,39,735,162,1463,8.91,3.21,1.07,0.289,75.70%,47.30%,13.70%,89.2,3.73,3.91,3.81,12.9
,Padres,66,96,36,697,162,1457,8.64,3.21,1.14,0.305,71.10%,44.40%,13.60%,88.6,4.41,4.1,3.99,12.4
,Twins,78,84,37,728,162,1443.1,8.59,3.57,1.23,0.302,72.40%,41.60%,13.20%,88.5,4.5,4.39,4.33,11.9
,Angels,80,82,35,763,162,1437.1,8.68,3.42,1.28,0.294,74.10%,42.10%,14.10%,89,4.15,4.36,4.18,11.3
,Rangers,67,95,42,668,162,1431,7.05,3.09,1.4,0.299,69.60%,43.00%,14.10%,88.9,4.92,4.79,4.59,10.8
,White Sox,62,100,34,715,162,1437,7.89,4.09,1.23,0.292,69.40%,40.80%,11.70%,88.6,4.85,4.73,4.88,9.9
,Tigers,64,98,37,704,162,1425.1,7.67,3.1,1.36,0.291,70.50%,39.60%,12.90%,88.5,4.6,4.59,4.55,9.6
,Blue Jays,73,89,39,752,162,1433.2,8.15,3.46,1.31,0.306,70.00%,42.50%,12.70%,88.5,4.85,4.53,4.54,8.8
,Reds,67,95,38,706,162,1441,7.86,3.32,1.42,0.3,71.50%,44.40%,15.80%,88.8,4.65,4.68,4.28,8.1
,Orioles,47,115,28,652,162,1431,7.57,3.7,1.47,0.31,70.00%,41.90%,14.40%,88.6,5.19,4.98,4.73,7.3
,Royals,58,104,33,645,162,1432,7.27,3.45,1.29,0.309,70.60%,43.10%,13.00%,89.2,4.95,4.66,4.63,6.4
,Marlins,63,98,30,707,161,1442,7.8,3.78,1.2,0.29,69.90%,40.90%,12.10%,88.8,4.76,4.57,4.65,2.7
2017,Indians,102,60,37,659,162,1440.2,10.08,2.54,1.02,0.303,77.50%,44.10%,13.00%,87.1,3.3,3.33,3.41,30.4
,Yankees,91,71,36,639,162,1448.2,9.69,3.13,1.19,0.28,74.50%,46.20%,14.20%,87,3.75,3.88,3.82,23.4
,Red Sox,93,69,39,677,162,1482.1,9.59,2.82,1.18,0.303,75.70%,41.00%,12.70%,87.5,3.73,3.78,3.91,23.2
,Nationals,97,65,46,649,162,1446.2,9.06,3.08,1.18,0.287,74.40%,44.00%,12.80%,86.8,3.88,3.99,4.12,23
,Diamondbacks,93,69,43,675,162,1441,9.26,3.22,1.07,0.294,74.20%,48.10%,13.10%,87.9,3.67,3.8,3.86,22.9
,Dodgers,104,58,51,698,162,1444.2,9.65,2.75,1.15,0.281,77.80%,42.70%,13.40%,86.3,3.38,3.67,3.7,21.7
,Astros,101,61,45,681,162,1446,9.91,3.25,1.2,0.3,73.70%,47.30%,14.90%,86.8,4.12,3.91,3.77,19
,Rockies,87,75,47,711,162,1437.2,7.95,3.33,1.19,0.305,72.20%,48.50%,14.20%,86.9,4.51,4.32,4.26,18.6
,Brewers,86,76,54,712,162,1445.2,8.38,3.44,1.15,0.298,74.80%,45.70%,13.50%,86.2,4,4.24,4.26,17.1
,Cubs,92,70,38,693,162,1447.1,8.95,3.44,1.21,0.285,74.20%,46.20%,14.50%,86.7,3.95,4.2,4.1,16.8
,Pirates,75,87,36,664,162,1440.2,7.88,3.19,1.14,0.306,73.20%,45.20%,12.90%,87.1,4.23,4.23,4.33,16.6
,Blue Jays,76,86,45,740,162,1465,8.43,3.37,1.25,0.303,71.80%,45.40%,13.30%,87.1,4.42,4.31,4.36,16.6
