,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Twins,82,80,29,352,163,1455.1,5.78,3.17,0.71,0.288,72.20%,,,,3.64,3.46,,20.5
,Red Sox,84,78,18,301,162,1455.1,4.64,2.86,0.78,0.279,72.80%,,,,3.72,3.69,,18.7
,Royals,77,85,17,371,162,1471.2,4.47,2.95,0.56,0.282,71.30%,,,,3.51,3.43,,18.3
,Cubs,66,96,26,509,162,1466.1,5.49,3.54,0.75,0.301,67.90%,,,,4.3,3.7,,18.1
,Yankees,89,73,24,344,162,1455.1,5.13,3.27,0.64,0.279,73.70%,,,,3.32,3.52,,17.9
,Rangers,83,76,12,350,161,1433.2,5.47,2.82,0.79,0.283,69.90%,,,,3.84,3.53,,17.8
,Pirates,88,74,17,391,162,1466,4.43,3.33,0.57,0.273,71.90%,,,,3.51,3.6,,17.5
,Expos,79,82,27,384,161,1429,5.18,3.43,0.62,0.272,70.80%,,,,3.6,3.53,,17.3
,White Sox,80,80,29,364,163,1465.2,5.07,3.37,0.63,0.287,70.00%,,,,3.94,3.59,,16.8
,Orioles,91,71,25,347,162,1474,4.28,2.93,0.62,0.268,73.20%,,,,3.28,3.55,,16.7
,Reds,98,64,27,419,163,1466.1,5.37,3.29,0.77,0.267,73.90%,,,,3.42,3.63,,16.4
,Angels,68,94,12,353,163,1439,6.17,4.06,0.63,0.281,72.80%,,,,3.53,3.57,,15.5
,Phillies,80,82,19,445,162,1447.1,5.55,4.24,0.69,0.282,72.00%,,,,3.92,3.82,,14.1
,Cardinals,86,75,20,454,161,1473.1,4.85,3.76,0.59,0.274,73.40%,,,,3.49,3.66,,14
,Astros,81,81,18,434,162,1450.2,4.58,3.73,0.52,0.275,73.20%,,,,3.48,3.63,,12.5
,Tigers,72,90,15,316,162,1455.2,5.37,3.84,0.92,0.281,70.40%,,,,4.17,4.06,,11.7
,Indians,77,84,27,376,162,1445.2,4.04,2.98,0.86,0.267,71.20%,,,,3.82,3.99,,10.9
,Giants,72,90,25,454,162,1439,4.73,3.5,0.73,0.272,69.40%,,,,3.8,3.79,,10.2
,Brewers,76,86,24,351,162,1457.2,3.83,3.04,0.78,0.275,73.40%,,,,3.77,3.92,,9.9
,Padres,60,102,19,514,162,1445.2,5.32,4.45,0.77,0.296,69.10%,,,,4.61,4.09,,3.9
1973,Twins,81,81,34,352,162,1451.2,5.45,3.22,0.71,0.285,71.10%,,,,3.77,3.53,,22.7
,Cubs,77,84,40,410,161,1437.2,5.54,2.74,0.8,0.291,73.00%,,,,3.66,3.47,,22.1
,Cardinals,81,81,36,426,162,1460.2,5.34,2.99,0.65,0.271,73.70%,,,,3.25,3.37,,19.9
,Mets,82,79,40,355,161,1465,6.31,3.01,0.78,0.273,75.60%,,,,3.27,3.34,,19
,White Sox,77,85,35,338,162,1456,5.24,3.55,0.68,0.291,71.60%,,,,3.86,3.64,,18.9
,Angels,79,83,19,326,162,1456.1,6.24,3.79,0.64,0.278,72.50%,,,,3.57,3.46,,17.7
,Red Sox,89,73,33,306,162,1440.1,5.05,3.12,0.99,0.274,75.30%,,,,3.66,3.98,,16.7
,Tigers,85,77,46,373,162,1447.2,5.66,3.06,0.96,0.288,74.20%,,,,3.9,3.77,,16.7
,Dodgers,95,66,38,374,162,1491,5.8,2.78,0.78,0.252,75.70%,,,,3,3.39,,16.6
,Yankees,80,82,39,305,162,1427.2,4.46,2.88,0.69,0.27,73.20%,,,,3.34,3.58,,15.7
,Royals,88,74,41,375,162,1449.1,4.91,3.83,0.71,0.295,70.50%,,,,4.21,3.84,,15
,Astros,82,80,26,430,162,1460.2,5.59,3.54,0.68,0.277,71.90%,,,,3.78,3.55,,14.6
,Orioles,97,65,26,302,162,1461.2,4.4,2.92,0.76,0.252,76.10%,,,,3.08,3.71,,14.1
,Phillies,71,91,22,419,162,1447.1,5.71,3.93,0.81,0.288,72.10%,,,,4,3.85,,13.3
,Braves,76,85,35,449,162,1462,4.94,3.54,0.89,0.278,69.40%,,,,4.25,3.98,,13.2
,Giants,88,74,44,414,162,1452.1,4.88,3.01,0.9,0.272,71.60%,,,,3.8,3.84,,13.1
,Pirates,80,82,44,446,162,1450.2,5.21,3.5,0.68,0.281,71.30%,,,,3.74,3.64,,12.6
,Expos,79,83,38,434,162,1451.2,5.37,4.22,0.79,0.269,72.30%,,,,3.73,3.99,,10.6
,Brewers,74,88,28,379,162,1454,4.15,3.86,0.74,0.279,71.20%,,,,3.98,4.05,,10.4
,Athletics,94,68,41,365,162,1457.1,4.92,3.05,0.88,0.255,74.60%,,,,3.29,3.83,,9.6
,Indians,71,91,21,368,162,1464.2,5.43,3.7,1.06,0.29,69.70%,,,,4.58,4.2,,9.6
,Reds,99,63,43,429,162,1473,4.89,3.16,0.82,0.266,75.30%,,,,3.43,3.78,,9.4
,Rangers,57,105,27,403,162,1430,5.23,4.28,0.82,0.295,67.80%,,,,4.64,4.1,,7.7
,Padres,60,102,23,431,162,1430,5.32,3.45,0.99,0.283,69.70%,,,,4.16,4.02,,4.6
1972,Cubs,85,70,32,353,156,1398.2,5.3,2.71,0.72,0.273,74.80%,,,,3.22,3.24,,21.5
,White Sox,87,67,42,402,154,1385.1,6.08,2.8,0.61,0.276,74.50%,,,,3.12,2.92,,19.8
,Cardinals,75,81,13,372,156,1399.2,5.86,3.41,0.56,0.277,72.20%,,,,3.43,3.09,,19.3
,Pirates,96,59,48,360,155,1414.1,5.33,2.76,0.57,0.268,76.10%,,,,2.81,3.02,,18.2
,Tigers,86,70,33,404,156,1388.1,6.17,3.01,0.65,0.266,76.50%,,,,2.96,3.08,,17.6
,Dodgers,85,70,29,331,155,1403,5.49,2.75,0.53,0.253,73.40%,,,,2.78,2.94,,17.5
,Royals,76,78,29,396,154,1381.1,5.22,2.64,0.55,0.276,73.50%,,,,3.24,2.98,,17.5
,Mets,83,73,41,363,156,1414.2,6.74,3.09,0.75,0.272,74.40%,,,,3.27,3.08,,17.3
,Red Sox,85,70,25,371,155,1382.2,5.98,3.33,0.66,0.281,72.20%,,,,3.5,3.22,,17.2
,Orioles,80,74,21,321,154,1371.2,5.17,2.59,0.56,0.245,77.90%,,,,2.54,2.95,,17
,Phillies,59,97,15,419,156,1400,5.96,3.45,0.75,0.278,72.60%,,,,3.67,3.37,,15.4
,Twins,77,77,34,357,154,1399.1,5.39,2.86,0.68,0.25,74.50%,,,,2.86,3.21,,15.2
,Athletics,93,62,43,391,155,1417.2,5.47,2.65,0.61,0.248,78.10%,,,,2.58,2.99,,14.2
,Expos,70,86,23,373,156,1401.1,5.7,3.72,0.66,0.273,73.30%,,,,3.6,3.38,,14
,Astros,84,69,31,398,153,1385.1,6.31,3.24,0.74,0.287,72.20%,,,,3.77,3.23,,12.8
,Indians,72,84,24,411,156,1410,5.4,3.41,0.79,0.256,78.80%,,,,2.97,3.55,,10.9
,Angels,75,80,16,347,155,1377.2,6.53,4.05,0.59,0.254,75.00%,,,,3.06,3.21,,9.4
,Reds,95,59,60,393,154,1412.2,5.13,2.77,0.82,0.265,76.30%,,,,3.21,3.41,,9.2
,Yankees,79,76,39,343,155,1373.1,4.1,2.75,0.57,0.267,75.20%,,,,3.03,3.29,,8.8
,Giants,69,86,23,374,155,1386.1,5.01,3.29,0.84,0.265,72.00%,,,,3.7,3.67,,8.5
,Braves,70,84,27,375,155,1377,4.78,3.35,1.01,0.277,70.40%,,,,4.27,3.97,,7.8
,Rangers,54,100,34,478,154,1374.2,5.68,4.01,0.6,0.272,72.10%,,,,3.54,3.45,,7.2
,Brewers,65,91,32,372,156,1391.2,4.79,3.14,0.75,0.262,73.70%,,,,3.45,3.54,,6.9
,Padres,58,95,19,423,153,1403.2,6.16,3.96,0.78,0.282,73.00%,,,,3.78,3.56,,5.7
1971,White Sox,79,83,32,421,162,1450.1,6.06,2.9,0.62,0.276,73.20%,,,,3.13,3.03,,26.9
,Cubs,83,79,13,364,162,1444,5.61,2.56,0.82,0.287,72.90%,,,,3.61,3.3,,23
,Mets,83,79,22,373,162,1466.1,7.1,3.25,0.61,0.265,75.20%,,,,3,2.92,,22.1
,Astros,79,83,25,407,162,1471.1,5.59,2.91,0.46,0.27,73.60%,,,,3.13,2.96,,20.6
,Royals,85,76,44,425,161,1420.1,4.91,3.14,0.53,0.268,73.90%,,,,3.25,3.25,,19.1
,Orioles,101,57,22,335,158,1415.1,5.04,2.65,0.79,0.255,76.60%,,,,3,3.4,,17.3
,Red Sox,85,77,35,409,162,1443,5.43,3.34,0.85,0.28,73.70%,,,,3.83,3.67,,16.4
,Tigers,91,71,32,427,162,1468.1,6.13,3.73,0.77,0.274,74.50%,,,,3.63,3.55,,16.3
,Dodgers,89,73,33,349,162,1449.2,5.3,2.48,0.68,0.272,73.40%,,,,3.23,3.13,,15.9
,Athletics,101,60,36,388,161,1469.1,6.12,3.07,0.8,0.252,75.90%,,,,3.06,3.34,,14.3
,Cardinals,90,72,22,437,163,1467,5.59,3.53,0.64,0.291,71.60%,,,,3.87,3.39,,14.3
,Twins,74,86,25,412,160,1416.2,5.69,3.36,0.88,0.279,73.00%,,,,3.82,3.67,,14.1
,Padres,61,100,17,398,161,1438,5.78,3.5,0.58,0.278,73.50%,,,,3.23,3.23,,14.1
,Pirates,97,65,48,391,162,1461,5.01,2.9,0.67,0.278,74.80%,,,,3.31,3.33,,13.2
,Angels,76,86,32,405,162,1481,5.49,3.69,0.61,0.253,75.10%,,,,3.1,3.42,,13
,Braves,82,80,31,386,162,1474.2,5.02,2.96,0.93,0.286,73.40%,,,,3.75,3.72,,13
,Giants,90,72,30,414,162,1454.2,5.14,2.91,0.79,0.258,71.80%,,,,3.33,3.49,,12.2
,Yankees,81,80,12,351,162,1452,4.38,2.62,0.78,0.263,71.90%,,,,3.45,3.53,,11.9
,Phillies,67,95,25,415,162,1470.2,5.13,3.21,0.81,0.27,71.60%,,,,3.71,3.62,,11.6
,Brewers,69,92,32,399,161,1416.1,5.05,3.62,0.83,0.263,75.10%,,,,3.38,3.78,,9.4
,Reds,79,83,38,417,162,1444,4.67,3.12,0.7,0.258,74.60%,,,,3.35,3.52,,8.7
,Senators,63,95,26,474,159,1418.2,4.83,3.51,0.84,0.273,73.50%,,,,3.7,3.85,,5.7
,Expos,71,90,25,377,162,1434.1,5.2,4.13,0.83,0.28,71.70%,,,,4.12,3.94,,5.7
,Indians,60,102,32,487,162,1440,5.86,4.81,0.96,0.271,72.80%,,,,4.27,4.24,,4.1
1970,Cubs,84,78,25,367,162,1435,6.27,2.98,0.9,0.283,71.90%,,,,3.76,3.59,,27.1
,Twins,98,64,58,431,162,1448.1,5.84,3.02,0.81,0.268,74.70%,,,,3.23,3.59,,21.5
,Cardinals,76,86,20,440,162,1475.2,5.85,3.85,0.62,0.293,69.70%,,,,4.06,3.57,,20.9
,Orioles,108,54,31,390,162,1478.2,5.73,2.85,0.85,0.26,76.50%,,,,3.15,3.59,,20.4
,Phillies,73,88,36,438,161,1461,6.45,3.31,0.81,0.297,70.80%,,,,4.17,3.55,,18.9
,Mets,83,79,32,390,162,1459.2,6.56,3.55,0.83,0.26,73.60%,,,,3.46,3.62,,18
,Red Sox,87,75,44,446,162,1446.1,6.24,3.7,0.97,0.277,72.20%,,,,3.9,3.98,,17.9
,Pirates,89,73,43,450,162,1453.2,6.13,3.87,0.66,0.288,72.80%,,,,3.71,3.59,,17.5
,Tigers,79,83,39,450,162,1447.1,6.5,3.87,0.95,0.289,72.60%,,,,4.09,3.93,,15.8
,Yankees,93,69,49,402,163,1471.2,4.75,2.76,0.8,0.264,74.40%,,,,3.25,3.7,,15
,Astros,79,83,35,464,162,1456,5.82,3.57,0.81,0.293,69.90%,,,,4.23,3.79,,14.4
,Indians,76,86,35,474,162,1451.1,6.67,4.27,1.01,0.275,75.60%,,,,3.91,4.12,,14.2
,Braves,76,86,24,366,162,1430.2,6.04,3.01,1.16,0.28,69.80%,,,,4.35,4.04,,13.9
,Royals,65,97,25,430,162,1463.2,5.63,3.94,0.85,0.267,72.00%,,,,3.78,4,,13.5
,Athletics,89,73,40,471,162,1442.2,5.35,3.38,0.84,0.251,75.30%,,,,3.3,3.85,,12.2
,Brewers,65,97,27,446,163,1446.2,5.57,3.65,0.91,0.274,70.00%,,,,4.21,4.02,,12.1
,Reds,102,60,60,414,162,1444.2,5.25,3.69,0.74,0.272,71.70%,,,,3.71,3.82,,12
,White Sox,56,106,30,442,162,1430.1,4.79,3.5,1.03,0.293,69.20%,,,,4.56,4.32,,10.5
,Giants,86,76,30,415,162,1457.2,5.75,3.73,0.96,0.29,68.50%,,,,4.5,4.06,,10.4
,Senators,70,92,40,478,162,1457.2,5.08,3.77,0.86,0.268,72.80%,,,,3.8,4.06,,9.3
,Angels,86,76,49,476,162,1462.1,5.67,3.44,0.95,0.255,75.10%,,,,3.48,3.98,,8.9
,Dodgers,87,74,42,388,161,1458.2,5.43,3.06,1.01,0.266,73.20%,,,,3.83,3.98,,6.9
,Padres,63,99,32,441,162,1440.1,5.54,3.82,0.93,0.287,69.90%,,,,4.37,4.1,,6.5
,Expos,73,89,32,447,162,1438.2,5.72,4.48,1.01,0.282,70.60%,,,,4.51,4.43,,5.9
1969,Cubs,92,70,27,408,163,1454.1,6.29,2.94,0.73,0.28,73.90%,,,,3.34,3.2,,24.7
,Cardinals,87,75,26,345,162,1460.1,6.19,3.15,0.61,0.269,76.30%,,,,2.94,3.13,,22
,Twins,97,65,43,464,162,1497.2,5.44,3.15,0.72,0.27,74.70%,,,,3.25,3.46,,21.7
,Orioles,109,53,36,397,162,1473.2,5.48,3.04,0.71,0.243,77.20%,,,,2.83,3.38,,20.5
,Pirates,88,74,33,429,162,1445.2,7,3.44,0.6,0.291,71.30%,,,,3.61,3.04,,20.5
,Astros,81,81,34,418,162,1435.2,7.65,3.43,0.7,0.293,71.10%,,,,3.6,3.03,,19.9
,Tigers,90,72,28,413,162,1455.1,6.38,3.62,0.79,0.259,75.10%,,,,3.32,3.51,,19.9
,Mets,100,62,35,365,162,1468.1,6.2,3.17,0.73,0.252,76.50%,,,,2.99,3.3,,17.3
,Giants,90,72,17,336,162,1473.2,5.53,2.82,0.73,0.27,72.60%,,,,3.26,3.35,,16.6
,Royals,69,93,25,412,163,1464.2,5.49,3.44,0.84,0.265,71.60%,,,,3.72,3.69,,15.7
,Indians,62,99,22,455,161,1437,6.26,4.27,0.84,0.274,71.70%,,,,3.94,3.85,,15.4
,Braves,93,69,42,383,162,1445,5.56,2.73,0.9,0.262,73.10%,,,,3.53,3.53,,15.1
,Yankees,80,81,20,361,162,1440.2,5,3.26,0.74,0.252,74.20%,,,,3.23,3.59,,14.9
,Dodgers,85,77,31,352,162,1457,6.02,2.59,0.75,0.269,75.80%,,,,3.09,3.2,,14.6
,Red Sox,87,75,41,460,162,1466.2,5.74,4.2,0.95,0.278,73.20%,,,,3.93,4.11,,13.4
,Angels,71,91,39,448,163,1438.1,5.54,3.23,0.79,0.264,71.80%,,,,3.55,3.6,,13.4
,White Sox,68,94,25,427,162,1437.2,5.07,3.53,0.91,0.285,72.20%,,,,4.21,3.95,,12.2
,Phillies,63,99,21,398,162,1434,5.78,3.58,0.84,0.296,70.90%,,,,4.17,3.71,,9.3
,Reds,89,73,44,470,163,1465,5.03,3.75,0.92,0.277,71.10%,,,,4.13,4.08,,7.5
,Athletics,88,74,36,438,162,1480.2,5.39,3.56,0.99,0.261,74.30%,,,,3.73,4.01,,7.2
,Senators,86,76,41,473,162,1447.1,5.19,4.08,0.84,0.26,74.90%,,,,3.49,4,,7.1
,Pilots,64,98,33,520,163,1463.2,5.92,4.02,1.06,0.286,71.40%,,,,4.35,4.16,,6.9
,Expos,52,110,21,461,162,1426,6.14,4.43,0.92,0.289,70.30%,,,,4.33,4.05,,4.2
,Padres,52,110,25,484,162,1422.1,4.83,3.75,0.72,0.285,69.50%,,,,4.24,3.8,,3.9
1968,Twins,79,83,29,391,162,1433.1,6.25,2.6,0.58,0.259,73.10%,,,,2.89,2.78,,23.1
,Indians,86,75,32,384,162,1464.1,7.11,3.32,0.6,0.24,76.20%,,,,2.66,2.89,,21
,Cardinals,97,65,32,358,162,1479.1,5.91,2.28,0.5,0.264,77.30%,,,,2.49,2.61,,19.8
,Giants,88,74,16,330,163,1469,5.77,2.11,0.53,0.265,73.60%,,,,2.71,2.62,,18.7
,Tigers,103,59,29,402,164,1489.2,6.74,2.94,0.78,0.246,79.50%,,,,2.71,3.06,,17.8
,Red Sox,86,76,31,387,162,1447,6.05,3.25,0.72,0.269,73.80%,,,,3.33,3.26,,17
,Astros,72,90,23,405,162,1446.2,6.35,2.98,0.42,0.286,72.30%,,,,3.26,2.65,,16.6
,Mets,73,89,32,375,163,1483.1,6.15,2.61,0.53,0.261,76.50%,,,,2.72,2.74,,16.5
,Orioles,91,71,31,396,162,1451.1,6.47,3.11,0.63,0.242,76.60%,,,,2.66,2.98,,16.2
,Braves,81,81,29,362,163,1474.2,5.32,2.21,0.53,0.265,73.30%,,,,2.92,2.77,,16.1
,Dodgers,76,86,31,380,162,1448.2,6.18,2.57,0.4,0.277,74.70%,,,,2.69,2.53,,15.2
,White Sox,67,95,40,484,162,1468,5.11,2.76,0.59,0.258,76.60%,,,,2.75,3.16,,13.2
,Yankees,83,79,27,368,164,1467.1,5.1,2.6,0.61,0.26,75.80%,,,,2.79,3.06,,13
,Phillies,76,86,27,389,162,1448.1,5.81,2.62,0.57,0.289,72.10%,,,,3.36,2.87,,12.9
,Pirates,80,82,30,407,163,1487,5.43,2.94,0.44,0.269,75.30%,,,,2.74,2.87,,12.3
,Cubs,84,78,32,384,163,1453.2,5.53,2.43,0.85,0.274,74.30%,,,,3.41,3.25,,10.7
,Athletics,82,80,29,415,163,1455.2,6.16,3.12,0.77,0.252,76.60%,,,,2.94,3.23,,9.8
,Reds,83,79,38,484,163,1490.1,5.82,3.46,0.69,0.276,72.40%,,,,3.56,3.33,,7.9
,Senators,65,96,28,457,161,1439.2,5.16,3.23,0.74,0.277,72.20%,,,,3.64,3.47,,5.1
,Angels,67,95,31,482,162,1437,5.44,3.25,0.82,0.25,73.10%,,,,3.43,3.51,,3.4
1967,Twins,91,71,24,383,164,1461,6.71,2.44,0.71,0.277,73.40%,,,,3.14,2.97,,24.8
,Reds,87,75,39,397,162,1468,6.53,3.05,0.62,0.276,75.60%,,,,3.05,3.09,,22.3
,Phillies,82,80,23,376,162,1453.2,5.99,2.5,0.53,0.283,72.80%,,,,3.1,2.89,,21.3
,Cardinals,101,60,45,433,161,1465,5.87,2.65,0.6,0.268,74.40%,,,,3.05,3.05,,18.2
,Giants,91,71,25,377,162,1474.1,6.04,2.77,0.69,0.261,75.50%,,,,2.92,3.17,,17.2
,Indians,75,87,27,398,162,1477.2,7.24,3.4,0.73,0.268,73.50%,,,,3.25,3.19,,17
,Red Sox,92,70,44,416,162,1459.1,6.23,2.94,0.88,0.263,74.60%,,,,3.36,3.5,,16.8
,White Sox,89,73,39,454,162,1490.1,5.6,2.81,0.53,0.245,76.90%,,,,2.45,3.11,,16.5
,Dodgers,73,89,24,391,162,1473,5.91,2.4,0.57,0.286,73.00%,,,,3.21,2.92,,15.8
,Tigers,91,71,40,417,163,1443.2,6.47,2.94,0.94,0.253,75.40%,,,,3.32,3.52,,12.7
,Yankees,72,90,27,414,163,1480.2,5.46,2.92,0.67,0.271,73.10%,,,,3.24,3.34,,12.4
,Astros,69,93,21,456,162,1445.2,6.6,3.02,0.75,0.294,68.20%,,,,4.03,3.25,,12.2
,Orioles,76,85,36,409,161,1457.1,6.39,3.5,0.72,0.257,74.00%,,,,3.32,3.38,,12.2
,Athletics,62,99,34,426,161,1428,6.24,3.52,0.79,0.265,71.20%,,,,3.68,3.54,,12
,Braves,77,85,32,438,162,1454,5.34,2.78,0.73,0.272,72.10%,,,,3.47,3.42,,11.8
,Cubs,87,74,28,406,162,1457,5.49,2.86,0.88,0.265,74.10%,,,,3.48,3.6,,11.4
,Senators,76,85,39,491,161,1473.1,5.36,3.02,0.69,0.264,72.00%,,,,3.38,3.43,,10.5
,Mets,61,101,19,439,162,1433.2,5.61,3.36,0.78,0.276,71.70%,,,,3.73,3.6,,7.3
,Pirates,81,81,35,446,163,1458.1,5.06,3.46,0.67,0.283,71.20%,,,,3.74,3.6,,6.9
,Angels,84,77,46,462,161,1430.1,5.61,3.3,0.74,0.258,74.40%,,,,3.19,3.55,,6.8
1966,Dodgers,95,67,35,376,162,1458,6.69,2.2,0.52,0.274,76.00%,,,,2.62,2.6,,25.5
,Twins,89,73,28,364,162,1438.2,6.35,2.45,0.87,0.256,73.70%,,,,3.13,3.27,,22.4
,Indians,81,81,28,388,162,1467.1,6.81,3,0.79,0.264,74.60%,,,,3.23,3.24,,21
,Giants,93,68,27,411,161,1476.2,5.93,2.19,0.85,0.268,72.60%,,,,3.24,3.27,,19.1
,White Sox,83,79,34,402,163,1475.1,5.47,2.46,0.62,0.248,75.40%,,,,2.68,3.12,,17.8
,Orioles,97,63,51,413,160,1466.1,6.57,3.15,0.78,0.263,74.10%,,,,3.32,3.33,,17.5
,Reds,76,84,35,430,160,1436,6.54,3.07,0.96,0.286,71.80%,,,,4.08,3.6,,16.5
,Astros,72,90,26,424,163,1443.2,5.79,2.44,0.81,0.288,70.00%,,,,3.75,3.32,,15.3
,Cardinals,83,79,32,423,162,1459.2,5.5,2.76,0.8,0.267,76.00%,,,,3.11,3.48,,14.6
,Phillies,87,75,23,407,162,1459.2,5.72,2.54,0.84,0.283,73.90%,,,,3.57,3.47,,14.6
,Pirates,92,70,43,447,162,1463.1,5.52,2.85,0.77,0.287,73.70%,,,,3.52,3.46,,14.4
,Yankees,70,89,32,387,160,1415.2,5.35,2.82,0.79,0.267,72.70%,,,,3.41,3.49,,13.8
,Braves,85,77,36,453,163,1469.1,5.41,2.97,0.79,0.278,71.50%,,,,3.68,3.54,,13.4
,Red Sox,72,90,31,473,162,1463.2,6.01,3.55,1.01,0.273,71.90%,,,,3.92,3.93,,12.5
,Athletics,74,86,47,466,160,1435,5.36,3.95,0.66,0.263,72.30%,,,,3.56,3.72,,12.1
,Senators,71,88,35,454,159,1419,5.49,2.84,0.98,0.257,71.20%,,,,3.7,3.74,,9.4
,Cubs,59,103,24,447,162,1458,5.6,2.96,1.14,0.284,68.70%,,,,4.33,3.99,,8.7
,Tigers,88,74,38,433,162,1454.1,6.35,3.22,1.14,0.267,73.50%,,,,3.85,3.96,,8.1
,Angels,80,82,40,458,162,1457.1,5.16,3.16,0.84,0.268,73.70%,,,,3.56,3.75,,7.2
,Mets,66,95,22,449,161,1427,4.88,3.29,1.05,0.284,71.00%,,,,4.17,4.15,,1.7
1965,Indians,87,75,41,444,162,1458.1,7.13,3.09,0.8,0.266,73.00%,,,,3.3,3.17,,21.7
,Pirates,90,72,27,409,163,1479,5.37,2.85,0.54,0.267,73.40%,,,,3.01,3.15,,20
,Phillies,85,76,21,408,162,1468.2,6.56,2.86,0.71,0.29,71.80%,,,,3.53,3.16,,19.5
,Giants,95,67,42,425,163,1465.1,6.51,2.51,0.84,0.267,74.60%,,,,3.2,3.2,,18.7
,Tigers,89,73,31,402,162,1455,6.61,3.15,0.85,0.264,75.10%,,,,3.35,3.42,,17.7
,Reds,89,73,34,406,162,1457.1,6.87,3.63,0.84,0.28,71.40%,,,,3.88,3.51,,16.7
,Yankees,77,85,31,414,162,1459.2,6.17,3.15,0.78,0.272,74.80%,,,,3.28,3.38,,16.6
,Astros,65,97,26,418,162,1461,5.74,2.39,0.76,0.286,68.60%,,,,3.84,3.22,,16.3
,Orioles,94,68,41,390,162,1477.2,5.72,3.11,0.73,0.255,74.90%,,,,2.98,3.39,,16.2
,Red Sox,62,100,25,430,162,1439.1,6.21,3.4,0.99,0.284,68.30%,,,,4.24,3.76,,15.9
,Dodgers,97,65,34,364,162,1476,6.58,2.59,0.77,0.252,77.20%,,,,2.81,3.1,,15.6
,White Sox,95,67,53,429,162,1481.2,5.75,2.79,0.74,0.253,75.70%,,,,2.99,3.3,,14.2
,Cardinals,80,81,35,423,162,1461.1,5.64,2.88,1.02,0.273,73.80%,,,,3.77,3.78,,13.8
,Angels,75,87,33,398,162,1441.2,5.29,3.51,0.57,0.26,74.30%,,,,3.17,3.39,,13.7
,Braves,86,76,38,428,162,1447.2,6.01,3.36,0.76,0.273,73.40%,,,,3.52,3.47,,12
,Twins,102,60,45,461,162,1457.1,5.77,3.11,1.03,0.25,76.70%,,,,3.14,3.81,,11.9
,Cubs,72,90,35,456,164,1472,5.23,2.94,0.94,0.277,71.20%,,,,3.78,3.75,,10.2
,Athletics,59,103,32,540,162,1433,5.54,3.61,1.01,0.273,70.40%,,,,4.24,4.03,,6.6
,Mets,50,112,14,465,164,1454.2,4.8,3.08,0.91,0.276,69.70%,,,,4.06,3.89,,4.9
,Senators,70,92,40,489,162,1435.2,5.44,3.97,1,0.269,72.70%,,,,3.93,4.15,,4.1
1964,Reds,92,70,35,366,163,1467,6.88,2.67,0.69,0.274,74.70%,,,,3.07,3.02,,24.8
,White Sox,98,64,45,381,162,1467.2,5.86,2.46,0.76,0.248,77.80%,,,,2.72,3.28,,19.4
,Yankees,99,63,45,379,164,1506.2,5.91,3.01,0.77,0.258,76.10%,,,,3.15,3.45,,19.1
,Dodgers,80,82,27,377,164,1483.2,6.44,2.78,0.53,0.266,72.80%,,,,2.95,2.93,,18.8
,Cardinals,93,69,38,394,162,1445.1,5.46,2.55,0.83,0.275,71.90%,,,,3.43,3.5,,18.1
,Pirates,80,82,29,436,162,1443.2,5.93,2.97,0.57,0.292,71.90%,,,,3.52,3.17,,17.9
,Angels,82,80,41,447,162,1450.2,5.99,3.29,0.62,0.266,76.00%,,,,2.91,3.37,,17.7
,Orioles,97,65,41,401,163,1458.2,5.79,2.81,0.8,0.262,75.90%,,,,3.16,3.48,,17.1
,Indians,79,83,37,441,164,1487.2,7.03,3.42,0.93,0.289,73.80%,,,,3.75,3.59,,17
,Giants,90,72,30,413,162,1476.1,6.24,2.93,0.72,0.271,75.20%,,,,3.19,3.31,,16.2
,Colt .45's,66,96,31,410,162,1428,5.37,2.22,0.66,0.283,70.90%,,,,3.41,3.17,,14.7
,Red Sox,72,90,38,414,162,1422,6.92,3.61,1.13,0.296,70.10%,,,,4.5,3.96,,14.7
,Twins,79,83,29,440,163,1477.2,6.69,3.32,1.1,0.266,74.80%,,,,3.58,3.88,,14.5
,Tigers,85,77,35,411,163,1453,6.15,3.32,1.02,0.265,73.70%,,,,3.84,3.92,,13.8
,Phillies,92,70,41,435,162,1461,6.22,2.71,0.79,0.281,73.60%,,,,3.36,3.38,,13
,Cubs,76,86,19,417,162,1445,4.59,2.63,0.9,0.283,70.10%,,,,4.08,3.79,,10.8
,Senators,62,100,26,453,162,1435.1,4.98,3.17,1.08,0.269,71.20%,,,,3.98,4.17,,7.2
,Braves,88,74,39,430,162,1434.2,5.68,2.84,1,0.276,68.80%,,,,4.12,3.79,,5.3
,Mets,53,109,15,429,163,1438.2,4.49,2.92,0.81,0.286,67.80%,,,,4.25,3.86,,5.1
,Athletics,57,105,27,507,163,1455.2,5.97,3.8,1.36,0.283,71.90%,,,,4.71,4.62,,1.4
1963,White Sox,94,68,39,373,162,1469,5.71,2.7,0.61,0.266,75.40%,,,,2.97,3.06,,22.7
,Reds,86,76,36,344,162,1439.2,6.55,2.66,0.73,0.274,73.20%,,,,3.29,3.05,,21.1
,Yankees,104,57,31,341,161,1449,5.99,2.96,0.71,0.258,75.50%,,,,3.07,3.21,,20.8
,Cardinals,93,69,32,405,162,1463.1,6.02,2.85,0.76,0.267,72.70%,,,,3.32,3.29,,19.7
